Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2810.9,2836.3,1904.7,2008.4,2089.9,2131.9
Total Revenues,2810.9,2836.3,1904.7,2008.4,2089.9,2131.9
Cost Of Revenues,1659.3,1650.6,1130.8,1192.9,1241.8,1258.2
Gross Profit,1151.6,1185.7,773.9,815.5,848.2,873.7
Selling General & Admin Expenses,258.8,273.0,144.4,153.9,157.9,158.7
Depreciation & Amortization,135.1,143.0,80.3,87.9,95.3,97.3
Other Operating Expense/(Income),312.6,331.8,243.7,259.5,262.3,266.1
Total Operating Expenses,706.5,747.8,468.4,501.4,515.4,522.2
Operating Income,445.1,437.9,305.5,314.1,332.8,351.5
Interest Expense,(181.3),(176.0),(184.5),(187.3),(158.1),(144.6)
Net Interest Expenses,(181.3),(176.0),(184.5),(187.3),(158.1),(144.6)
Currency Exchange Gains (Loss),0.5,,,,,
"EBT, Excl. Unusual Items",264.3,261.9,121.0,126.8,174.7,207.0
"EBT, Incl. Unusual Items",33.0,236.8,67.4,78.4,183.8,188.3
Income Tax Expense,28.8,37.2,9.9,25.1,40.6,41.0
Earnings From Continuing Operations,4.2,199.6,57.5,53.3,143.2,147.3
Earnings Of Discontinued Operations,,,(233.0),56.8,(812.4),(840.1)
Net Income to Company,4.2,199.6,(175.5),110.1,(669.2),(692.8)
Minority Interest,2.0,0.2,(0.3),(1.2),(2.9),(3.1)
Net Income,6.1,199.8,(175.8),108.9,(672.1),(695.9)
NI to Common Incl Extra Items,6.1,199.8,(175.8),108.9,(672.1),(695.9)
NI to Common Excl. Extra Items,6.1,199.8,57.2,52.1,140.3,144.2
Revenue Per Share,$32.80,$32.62,$21.82,$22.92,$23.78,$24.23
Basic EPS,$0.07,$2.30,($2.01),$1.24,($7.65),($7.91)
Basic EPS - Continuing Ops,$0.07,$2.30,$0.66,$0.59,$1.60,$1.64
Basic Weighted Average Shares Outst.,85.7,86.9,87.3,87.6,87.9,88.0
Diluted EPS,$0.07,$2.30,($2.02),$1.24,($7.59),($7.91)
Diluted EPS - Continuing Ops,$0.07,$2.30,$0.65,$0.59,$1.58,$1.64
Diluted Weighted Average Shares Outst.,86.0,87.1,87.4,87.8,88.6,88.0
Normalized Basic EPS,$1.95,$1.89,$0.86,$0.89,$1.21,$1.43
Normalized Diluted EPS,$1.94,$1.88,$0.86,$0.89,$1.20,$1.43
EBITDA,580.2,580.9,385.9,402.0,428.0,448.8
EBITA,445.1,437.9,305.5,314.1,332.8,351.5
EBIT,445.1,437.9,305.5,314.1,332.8,351.5
EBITDAR,653.6,657.7,420.2,437.5,465.4,
Effective Tax Rate,87.3%,15.7%,14.7%,32.0%,22.1%,21.8%
Normalized Net Income,167.2,163.9,75.4,78.0,106.2,126.3
Interest on Long-Term Debt,,,,3.2,3.2,
Foreign Sales,1110.4,1110.4,,,,
