Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,17410.8,18203.4,13878.3,13642.5,13240.0,13317.5
Total Revenues,17410.8,18203.4,13878.3,13642.5,13240.0,13317.5
Cost Of Revenues,16768.0,17519.7,13399.3,13030.8,12530.4,12589.4
Gross Profit,642.8,683.7,479.0,611.7,709.6,728.1
Selling General & Admin Expenses,115.1,125.4,135.6,148.3,188.2,185.6
Total Operating Expenses,115.1,125.4,135.6,148.3,188.2,185.6
Operating Income,527.7,558.3,343.4,463.3,521.3,542.5
Interest Expense,(258.2),(231.3),(201.0),(161.5),(159.9),(150.2)
Interest And Investment Income,8.2,,11.3,14.8,10.8,13.2
Net Interest Expenses,(250.0),(231.3),(189.7),(146.7),(149.2),(137.0)
Currency Exchange Gains (Loss),,,9.1,,,
Other Non Operating Income (Expenses),,(1.3),,,,
"EBT, Excl. Unusual Items",381.8,467.3,212.2,365.9,420.9,452.6
"EBT, Incl. Unusual Items",125.6,429.2,212.2,249.2,232.6,296.2
Income Tax Expense,(37.9),7.7,(3.5),13.5,45.8,55.4
Earnings From Continuing Operations,163.5,421.5,215.7,235.7,186.9,240.7
Earnings Of Discontinued Operations,,,(59.0),(472.0),(356.8),(423.8)
Net Income to Company,163.5,421.5,156.7,(236.3),(170.0),(183.1)
Minority Interest,(67.4),(82.1),(20.2),(24.7),(16.4),(17.8)
Net Income,96.1,339.4,136.5,(261.1),(186.4),(200.8)
NI to Common Incl Extra Items,96.1,339.4,136.5,(261.1),(186.4),(200.8)
NI to Common Excl. Extra Items,96.1,339.4,195.5,211.0,170.5,222.9
Revenue Per Share,$112.49,$116.89,$87.23,$86.87,$83.27,$84.54
Basic EPS,$0.62,$2.18,$0.86,($1.66),($1.17),($1.27)
Basic EPS - Continuing Ops,$0.62,$2.18,$1.23,$1.34,$1.07,$1.42
Basic Weighted Average Shares Outst.,154.8,155.7,159.1,157.0,159.0,157.5
Diluted EPS,$0.62,$2.13,$0.84,($1.64),($1.15),($1.27)
Diluted EPS - Continuing Ops,$0.62,$2.13,$1.20,$1.32,$1.06,$1.42
Diluted Weighted Average Shares Outst.,156.1,159.1,162.3,159.7,161.3,157.5
Normalized Basic EPS,$1.11,$1.35,$0.71,$1.30,$1.55,$1.68
Normalized Diluted EPS,$1.10,$1.32,$0.69,$1.28,$1.53,$1.68
EBITDA,926.5,819.4,598.5,719.5,753.3,756.2
EBITA,730.1,661.0,440.4,549.3,573.3,593.8
EBIT,527.7,558.3,343.4,463.3,521.3,542.5
EBITDAR,1310.2,1085.3,,,1000.6,
Effective Tax Rate,NM,1.8%,NM,5.4%,19.7%,18.7%
Normalized Net Income,171.3,210.0,112.4,204.0,246.7,265.1
Interest on Long-Term Debt,,,,,1.9,
Foreign Sales,4843.8,18203.4,13878.3,13642.5,13240.0,
