Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,(3.44%),7.56%,(5.24%),(23.33%),(17.30%)
Total Revenues,(3.44%),7.56%,(5.24%),(23.33%),(17.30%)
Cost Of Revenues,(2.77%),11.71%,(4.63%),(23.19%),(17.02%)
Gross Profit,(9.76%),(34.57%),(15.68%),(26.09%),(21.75%)
Selling General & Admin Expenses,45.05%,9.11%,6.71%,(22.21%),(14.85%)
Total Operating Expenses,(30.43%),9.11%,6.71%,(22.21%),(16.06%)
Operating Income,15.45%,(66.67%),(69.53%),(58.82%),(35.98%)
Interest Expense,(530.00%),(12.70%),(17.61%),(29.34%),-5.79%
Interest And Investment Income,100.00%,25.00%,120.00%,0.00%,(57.14%)
Net Interest Expenses,(577.78%),(12.30%),(13.87%),(31.41%),-1.70%
Currency Exchange Gains (Loss),,,,(80.00%),0.00%
Other Non Operating Income (Expenses),"(4,500.00%)",-95.65%,(800.00%),(5.56%),(552.63%)
"EBT, Excl. Unusual Items",17.19%,(90.06%),56.56%,,89.69%
"EBT, Incl. Unusual Items",181.43%,,,,-55.56%
Income Tax Expense,(94.62%),384.85%,(14.58%),(86.10%),(83.50%)
Earnings From Continuing Operations,,,-74.52%,(19.12%),-81.76%
Net Income to Company,,,-74.52%,(19.12%),-81.76%
Minority Interest,(1.19%),-1.18%,-1.19%,-26.51%,-19.23%
Net Income,,,-70.86%,(11.41%),-72.21%
NI to Common Incl Extra Items,,,-70.86%,(11.41%),-72.21%
NI to Common Excl. Extra Items,,,-70.86%,(11.41%),-72.21%
Revenue Per Share,(3.26%),7.79%,(5.54%),(23.50%),(17.87%)
Basic EPS,,,-70.95%,(11.08%),-72.40%
Basic EPS - Continuing Ops,,,-70.95%,(11.08%),-72.40%
Basic Weighted Average Shares Outst.,(0.18%),(0.21%),0.32%,0.21%,0.69%
Diluted EPS,,,-70.93%,(11.08%),-72.32%
Diluted EPS - Continuing Ops,,,-70.93%,(11.08%),-72.32%
Diluted Weighted Average Shares Outst.,0.24%,(0.64%),0.32%,0.21%,0.69%
Normalized Basic EPS,19.75%,,,,
Normalized Diluted EPS,19.24%,,,,
Dividend Per Share,,32.53%,,,
EBITDA,11.32%,(39.58%),(43.95%),(8.93%),(16.58%)
EBITA,15.63%,(62.00%),(61.66%),(42.40%),(32.01%)
EBIT,15.45%,(66.67%),(69.53%),(58.82%),(35.98%)
EBITDAR,10.68%,,,,
Effective Tax Rate,(98.09%),,,,-62.87%
Normalized Net Income,19.55%,,,,
R&D Expense From Footnotes,6.09%,5.12%,(11.50%),(18.50%),(18.50%)
Foreign Sales,17.38%,52.57%,(5.24%),(23.03%),
