Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,5.72%,5.74%,6.58%,(1.66%),(3.43%)
Total Interest And Dividend Income,6.11%,9.22%,10.43%,(4.49%),(1.38%)
Gain (Loss) on Sale of Investments,(52.17%),,,(3.99%),
Other Revenues,(4.33%),36.98%,(4.41%),(17.58%),4.53%
Total Revenues,5.34%,3.82%,15.54%,(3.21%),13.10%
Policy Benefits,8.57%,4.76%,9.42%,(3.67%),(5.85%)
Policy Acquisition / Underwriting Costs,3.47%,16.71%,5.64%,(6.88%),(11.68%)
Other Operating Expenses,(0.29%),10.66%,10.68%,(6.12%),16.34%
Total Operating Expenses,6.55%,8.41%,8.37%,(4.75%),(6.44%)
Operating Income,(1.34%),(23.77%),76.65%,4.90%,286.01%
"Interest Expense, Total",(10.39%),-27.06%,(9.68%),(29.41%),(37.68%)
"EBT, Excl. Unusual Items",(2.36%),(23.45%),82.88%,3.53%,327.10%
Restructuring Charges,,,,(347.37%),(347.37%)
Other Unusual Items,(300.00%),-83.54%,(25.93%),(114.71%),(114.71%)
"EBT, Incl. Unusual Items",(8.01%),(11.74%),73.40%,(23.47%),345.60%
Income Tax Expense,107.56%,(50.61%),95.90%,(46.86%),247.06%
Earnings From Continuing Operations,(28.59%),8.39%,68.09%,(17.03%),373.64%
Net Income to Company,(28.59%),8.39%,68.09%,(17.03%),504.18%
Minority Interest,-89.47%,,115.38%,(60.71%),(71.43%)
Net Income,(26.81%),11.58%,69.25%,(18.39%),443.82%
NI to Common Incl Extra Items,(26.81%),11.58%,69.25%,(18.39%),443.82%
NI to Common Excl. Extra Items,(26.81%),11.58%,69.25%,(18.39%),326.97%
Revenue Per Share,4.27%,2.41%,14.37%,(1.90%),16.13%
Basic EPS,(27.58%),10.07%,67.41%,(17.31%),458.38%
Basic EPS - Continuing Ops,(27.58%),10.07%,67.41%,(17.31%),338.40%
Basic Weighted Average Shares Outst.,1.04%,1.37%,1.01%,(1.33%),(2.61%)
Diluted EPS,(27.97%),10.80%,68.38%,(16.75%),463.12%
Diluted EPS - Continuing Ops,(27.97%),10.80%,68.38%,(16.75%),342.11%
Diluted Weighted Average Shares Outst.,1.47%,0.89%,0.44%,(1.98%),(2.89%)
Normalized Basic EPS,(0.32%),(21.83%),82.14%,2.61%,298.84%
Normalized Diluted EPS,(0.78%),(21.43%),82.98%,3.33%,299.99%
Dividend Per Share,11.96%,12.40%,13.79%,12.12%,11.76%
Payout Ratio,51.97%,4.41%,(31.60%),34.19%,
EBITDA,(3.63%),(11.68%),64.71%,6.67%,159.31%
EBITA,(1.33%),(23.47%),75.98%,4.93%,277.46%
EBIT,(1.34%),(23.77%),76.65%,4.90%,286.01%
EBITDAR,,,,6.47%,
Effective Tax Rate,125.63%,(44.04%),12.99%,(30.57%),(22.11%)
Normalized Net Income,0.72%,(20.77%),83.87%,1.25%,288.44%
