Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1419.3,1511.3,1662.6,1955.6,2071.5,2117.0
Total Revenues,1419.3,1511.3,1662.6,1955.6,2071.5,2117.0
Cost Of Revenues,834.4,903.4,992.9,1150.3,1160.4,1162.8
Gross Profit,584.9,607.9,669.7,805.3,911.2,954.1
Selling General & Admin Expenses,503.4,479.6,501.3,607.9,668.3,683.8
Depreciation & Amortization,19.7,17.1,13.3,18.4,28.8,31.0
Total Operating Expenses,523.1,496.7,514.6,626.4,697.1,714.8
Operating Income,61.8,111.2,155.1,178.9,214.0,239.3
Interest Expense,(5.2),(5.0),(7.4),(14.5),(11.0),(9.9)
Interest And Investment Income,0.1,0.2,0.3,0.1,0.3,0.3
Net Interest Expenses,(5.1),(4.9),(7.1),(14.4),(10.7),(9.6)
Other Non Operating Income (Expenses),1.7,1.8,3.2,2.0,1.3,1.3
"EBT, Excl. Unusual Items",64.0,111.4,159.0,171.9,208.6,235.7
"EBT, Incl. Unusual Items",61.6,80.8,159.0,170.4,210.8,237.6
Income Tax Expense,23.9,50.1,38.9,42.5,25.6,34.2
Earnings From Continuing Operations,37.6,30.7,120.1,127.9,185.2,203.4
Net Income to Company,37.6,30.7,120.1,127.9,185.2,203.4
Minority Interest,(0.4),(0.4),(0.8),(1.1),(1.6),(1.8)
Net Income,37.3,30.3,119.3,126.8,183.6,201.7
NI to Common Incl Extra Items,37.3,30.3,119.3,126.8,183.6,201.7
NI to Common Excl. Extra Items,37.3,30.3,119.3,126.8,183.6,201.7
Revenue Per Share,$42.75,$44.84,$50.70,$60.84,$63.62,$64.80
Basic EPS,$1.12,$0.90,$3.64,$3.95,$5.64,$6.17
Basic EPS - Continuing Ops,$1.12,$0.90,$3.64,$3.95,$5.64,$6.17
Basic Weighted Average Shares Outst.,33.2,33.7,32.8,32.1,32.6,32.7
Diluted EPS,$1.10,$0.88,$3.55,$3.84,$5.52,$6.06
Diluted EPS - Continuing Ops,$1.10,$0.88,$3.55,$3.84,$5.52,$6.06
Diluted Weighted Average Shares Outst.,33.7,34.3,33.6,33.0,33.3,33.3
Normalized Basic EPS,$1.19,$2.06,$3.01,$3.31,$3.96,$4.46
Normalized Diluted EPS,$1.17,$2.02,$2.93,$3.22,$3.87,$4.38
EBITDA,81.5,128.3,168.4,197.4,242.9,270.3
EBITA,64.3,111.2,155.1,185.7,230.6,258.3
EBIT,61.8,111.2,155.1,178.9,214.0,239.3
EBITDAR,109.0,,,235.2,284.5,
Effective Tax Rate,38.9%,62.0%,24.4%,24.9%,12.2%,14.4%
Normalized Net Income,39.6,69.3,98.6,106.4,128.8,145.6
Interest on Long-Term Debt,5.2,5.0,7.4,14.5,11.0,
