Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.48%,10.01%,17.63%,5.93%,6.92%
Total Revenues,6.48%,10.01%,17.63%,5.93%,6.92%
Cost Of Revenues,8.27%,9.91%,15.86%,0.87%,0.18%
Gross Profit,3.93%,10.17%,20.24%,13.14%,16.48%
Selling General & Admin Expenses,(4.73%),4.52%,21.27%,9.93%,10.32%
Depreciation & Amortization,(12.98%),(22.55%),38.96%,56.29%,48.62%
Total Operating Expenses,(5.04%),3.59%,21.72%,11.30%,11.57%
Operating Income,79.95%,39.57%,15.34%,19.62%,34.09%
Interest Expense,-2.58%,(46.49%),(96.95%),-23.95%,-31.38%
Interest And Investment Income,110.67%,75.95%,(71.94%),274.36%,352.24%
Net Interest Expenses,-4.24%,(45.54%),(103.57%),-25.57%,-33.18%
Other Non Operating Income (Expenses),2.43%,83.15%,(37.13%),(35.64%),(35.27%)
"EBT, Excl. Unusual Items",74.12%,42.67%,8.11%,21.35%,37.98%
"EBT, Incl. Unusual Items",31.24%,96.76%,7.18%,23.71%,40.32%
Income Tax Expense,109.39%,(22.46%),9.38%,(39.69%),(16.52%)
Earnings From Continuing Operations,(18.46%),291.52%,6.47%,44.78%,58.46%
Net Income to Company,(18.46%),291.52%,6.47%,44.78%,58.46%
Minority Interest,(3.24%),(104.97%),(37.16%),(46.74%),(67.21%)
Net Income,(18.68%),293.87%,6.27%,44.76%,58.39%
NI to Common Incl Extra Items,(18.68%),293.87%,6.27%,44.76%,58.39%
NI to Common Excl. Extra Items,(18.68%),293.87%,6.27%,44.76%,58.39%
Revenue Per Share,4.89%,13.07%,20.01%,4.58%,5.46%
Basic EPS,(19.73%),304.40%,8.41%,42.77%,56.22%
Basic EPS - Continuing Ops,(19.73%),304.40%,8.41%,42.77%,56.22%
Basic Weighted Average Shares Outst.,1.52%,(2.71%),(1.98%),1.30%,1.39%
Diluted EPS,(20.00%),303.41%,8.17%,43.75%,57.39%
Diluted EPS - Continuing Ops,(20.00%),303.41%,8.17%,43.75%,57.39%
Diluted Weighted Average Shares Outst.,1.67%,(2.03%),(1.84%),0.84%,0.55%
Normalized Basic EPS,72.70%,45.94%,9.93%,19.50%,35.80%
Normalized Diluted EPS,72.58%,45.21%,10.03%,20.22%,36.93%
EBITDA,57.50%,31.28%,17.20%,23.04%,35.61%
EBITA,72.95%,39.57%,19.72%,24.18%,39.42%
EBIT,79.95%,39.57%,15.34%,19.62%,34.09%
EBITDAR,,,,20.96%,
Effective Tax Rate,59.53%,(60.60%),2.05%,(51.24%),(40.51%)
Normalized Net Income,74.79%,42.33%,7.88%,21.10%,37.69%
Interest on Long-Term Debt,(2.58%),46.49%,96.95%,(23.95%),
