Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2194.6,2305.0,2378.4,2239.6,2027.5,2079.3
Total Revenues,2194.6,2305.0,2378.4,2239.6,2027.5,2079.3
Cost Of Revenues,932.4,979.0,987.2,943.0,883.7,922.8
Gross Profit,1262.2,1326.0,1391.2,1296.6,1143.8,1156.5
Selling General & Admin Expenses,398.1,373.1,417.7,376.8,321.4,309.9
Depreciation & Amortization,19.5,20.3,22.0,21.3,19.1,18.3
Other Operating Expense/(Income),43.3,58.0,69.7,48.9,47.1,49.6
Total Operating Expenses,571.1,537.8,624.2,591.5,528.1,505.2
Operating Income,691.1,788.2,767.0,705.1,615.7,651.3
Interest Expense,(91.7),(87.8),(80.6),(76.2),(92.3),(100.3)
Interest And Investment Income,46.4,64.5,27.4,25.2,34.1,64.0
Net Interest Expenses,(45.3),(23.3),(53.2),(51.0),(58.2),(36.3)
"EBT, Excl. Unusual Items",974.6,1067.1,713.6,316.1,514.1,736.5
"EBT, Incl. Unusual Items",974.6,1067.1,713.6,308.0,508.4,730.8
Income Tax Expense,235.6,58.4,181.3,2.9,81.4,129.7
Earnings From Continuing Operations,739.0,1008.7,532.3,305.1,427.0,601.1
Net Income to Company,739.0,1008.7,532.3,305.1,427.0,601.1
Minority Interest,(266.2),(319.2),(288.7),(289.4),(224.8),(233.4)
Net Income,472.8,689.5,243.6,15.7,202.2,367.7
NI to Common Incl Extra Items,472.8,689.5,243.6,15.7,202.2,367.7
NI to Common Excl. Extra Items,472.8,689.5,243.6,15.7,202.2,367.7
Revenue Per Share,$40.49,$41.16,$44.37,$44.35,$43.60,$46.00
Basic EPS,$8.72,$12.31,$4.54,$0.31,$4.35,$8.13
Basic EPS - Continuing Ops,$8.72,$12.31,$4.54,$0.31,$4.35,$8.13
Basic Weighted Average Shares Outst.,54.2,56.0,53.6,50.5,46.5,45.2
Diluted EPS,$8.57,$12.03,$4.52,$0.31,$4.33,$8.08
Diluted EPS - Continuing Ops,$8.57,$12.03,$4.52,$0.31,$4.33,$8.08
Diluted Weighted Average Shares Outst.,57.0,58.6,53.8,50.6,46.7,46.1
Normalized Basic EPS,$6.33,$6.21,$2.93,($1.82),$2.08,$5.02
Normalized Diluted EPS,$6.02,$5.93,$2.92,($1.81),$2.07,$4.92
Dividend Per Share,,$0.80,$1.20,$1.28,$0.35,$0.04
Payout Ratio,,6.51%,26.44%,415.92%,8.31%,
EBITDA,820.8,894.9,903.8,870.9,775.3,825.1
EBITA,801.3,874.6,881.8,849.6,756.2,651.3
EBIT,691.1,788.2,767.0,705.1,615.7,651.3
EBITDAR,856.3,932.4,944.3,910.4,808.7,
Effective Tax Rate,24.2%,5.5%,25.4%,0.9%,16.0%,17.7%
Normalized Net Income,342.9,347.7,157.3,(91.8),96.5,226.9
Foreign Sales,717.1,733.6,766.7,597.4,503.5,
