Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,"19,736.49%",(48.60%),945.67%,(47.87%),(35.87%)
Total Revenues,"19,736.49%",(48.60%),945.67%,(47.87%),(35.87%)
Gross Profit,"19,736.49%",(48.60%),945.67%,(47.87%),(35.87%)
Selling General & Admin Expenses,(20.52%),(3.48%),52.83%,93.16%,20.62%
R&D Expenses,(20.06%),8.98%,48.01%,59.11%,65.72%
Total Operating Expenses,(20.19%),5.37%,49.29%,68.35%,50.52%
Operating Income,-56.76%,(51.20%),,,
Interest And Investment Income,56.18%,152.58%,563.58%,32.09%,(3.13%)
Net Interest Expenses,56.18%,152.58%,563.58%,32.09%,(3.13%)
Other Non Operating Income (Expenses),,(80.04%),,,(19.28%)
"EBT, Excl. Unusual Items",-59.81%,(58.38%),,,
"EBT, Incl. Unusual Items",-57.93%,(58.38%),,,
Income Tax Expense,0.00%,0.00%,"7,131.38%",(98.62%),(98.62%)
Earnings From Continuing Operations,-57.93%,(58.38%),,,
Net Income to Company,-57.93%,(58.38%),,,
Net Income,-57.93%,(58.38%),,,
NI to Common Incl Extra Items,-57.93%,(58.38%),,,
NI to Common Excl. Extra Items,-57.93%,(58.38%),,,
Revenue Per Share,,(55.12%),846.52%,(51.47%),(39.29%)
Basic EPS,-65.28%,(38.52%),,,
Basic EPS - Continuing Ops,-65.28%,(38.52%),,,
Basic Weighted Average Shares Outst.,21.04%,13.18%,12.22%,7.31%,5.62%
Diluted EPS,-64.93%,(38.52%),,,
Diluted EPS - Continuing Ops,-64.93%,(38.52%),,,
Diluted Weighted Average Shares Outst.,21.04%,13.18%,17.90%,2.14%,3.02%
Normalized Basic EPS,-66.96%,(40.30%),,,
Normalized Diluted EPS,-66.96%,(40.30%),,,
EBITDA,-60.74%,(58.60%),,,
EBITA,-57.90%,(53.66%),,,
EBIT,-56.76%,(51.20%),,,
EBITDAR,-62.95%,(66.43%),,,
Normalized Net Income,-59.81%,(58.38%),,,
R&D Expense From Footnotes,(18.05%),4.05%,53.01%,59.01%,64.73%
