Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,13.06%,11.76%,(2.56%),(0.84%),9.01%
Total Revenues,13.06%,11.76%,(2.56%),(0.84%),9.01%
Cost Of Revenues,14.03%,11.98%,(1.46%),(0.44%),9.24%
Gross Profit,6.76%,10.25%,(10.27%),(3.90%),7.20%
Selling General & Admin Expenses,5.73%,5.67%,(4.05%),(5.71%),(2.89%)
Depreciation & Amortization,(3.52%),21.34%,1.83%,(0.39%),1.53%
Other Operating Expense/(Income),(2.14%),(44.54%),650.25%,(99.08%),(99.04%)
Total Operating Expenses,5.03%,6.40%,(1.59%),(7.49%),(4.73%)
Operating Income,11.07%,19.27%,(28.44%),6.43%,47.28%
Interest Expense,(17.65%),(39.14%),(0.98%),-39.14%,-36.25%
Interest And Investment Income,72.28%,53.61%,14.53%,(58.83%),(55.52%)
Net Interest Expenses,(10.69%),(36.27%),-2.06%,-33.99%,-31.40%
Currency Exchange Gains (Loss),,,,9.13%,(0.65%)
Other Non Operating Income (Expenses),-12.83%,-89.64%,(167.95%),(235.45%),
"EBT, Excl. Unusual Items",10.78%,16.40%,(33.66%),19.06%,77.56%
"EBT, Incl. Unusual Items",(3.02%),31.05%,,,
Income Tax Expense,50.23%,(34.46%),(52.96%),95.61%,230.42%
Earnings From Continuing Operations,(22.37%),77.13%,,,
Net Income to Company,(22.37%),77.13%,,,
Minority Interest,(163.56%),(3.44%),-27.14%,-48.30%,(7.58%)
Net Income,(23.07%),78.08%,,,
NI to Common Incl Extra Items,(23.07%),78.08%,,,
NI to Common Excl. Extra Items,(23.07%),78.08%,,,
Revenue Per Share,15.96%,13.30%,1.99%,6.25%,17.13%
Basic EPS,(21.13%),80.34%,,,
Basic EPS - Continuing Ops,(21.13%),80.34%,,,
Basic Weighted Average Shares Outst.,(2.51%),(1.36%),(4.47%),(6.67%),(6.94%)
Diluted EPS,(21.13%),80.80%,,,
Diluted EPS - Continuing Ops,(21.13%),80.80%,,,
Diluted Weighted Average Shares Outst.,(2.46%),(1.47%),(5.51%),(5.90%),(6.09%)
Normalized Basic EPS,12.95%,18.21%,(30.63%),28.39%,91.36%
Normalized Diluted EPS,12.89%,18.33%,(29.82%),27.34%,89.64%
EBITDA,8.88%,19.54%,(24.36%),5.20%,37.81%
EBITA,9.93%,18.28%,(27.41%),5.02%,43.46%
EBIT,11.07%,19.27%,(28.44%),6.43%,47.28%
EBITDAR,8.72%,18.66%,(22.02%),3.63%,
Effective Tax Rate,54.89%,(49.98%),,,
Normalized Net Income,10.14%,16.53%,(33.71%),19.71%,78.09%
Foreign Sales,16.21%,12.91%,(0.65%),6.35%,
