Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,566.2,611.6,652.3,697.6,714.8,714.8
Total Revenues,566.2,611.6,652.3,697.6,714.8,714.8
Cost Of Revenues,269.0,274.7,258.6,286.5,324.2,324.2
Gross Profit,297.2,336.9,393.7,411.1,390.6,390.6
Selling General & Admin Expenses,346.2,321.7,327.1,399.3,357.8,357.8
R&D Expenses,38.4,38.2,41.8,20.2,10.3,10.3
Other Operating Expense/(Income),19.7,20.1,(7.4),(1.4),16.6,16.6
Total Operating Expenses,404.3,380.0,361.5,418.1,384.7,384.7
Operating Income,(107.1),(43.1),32.2,(7.0),5.9,5.9
Interest Expense,(32.7),(31.6),(26.4),(15.0),(15.6),(15.6)
Interest And Investment Income,0.6,2.5,7.8,6.7,1.2,1.2
Net Interest Expenses,(32.1),(29.1),(18.6),(8.3),(14.4),(14.4)
"EBT, Excl. Unusual Items",(139.2),(72.2),13.6,(15.3),(8.5),(8.5)
"EBT, Incl. Unusual Items",(139.2),(72.2),(18.1),(64.0),(60.5),(60.5)
Income Tax Expense,(55.9),(40.1),(9.6),(18.1),(33.3),(33.3)
Earnings From Continuing Operations,(83.3),(32.1),(8.5),(45.9),(27.2),(27.2)
Earnings Of Discontinued Operations,123.1,111.4,66.0,,,
Net Income to Company,39.8,79.3,57.5,(45.9),(27.2),(27.2)
Net Income,39.8,79.3,57.5,(45.9),(27.2),(27.2)
NI to Common Incl Extra Items,39.8,79.3,57.5,(45.9),(27.2),(27.2)
NI to Common Excl. Extra Items,(83.3),(32.1),(8.5),(45.9),(27.2),(27.2)
Revenue Per Share,$12.15,$13.07,$13.82,$14.66,$14.95,$14.95
Basic EPS,$0.85,$1.69,$1.22,($0.96),($0.57),($0.57)
Basic EPS - Continuing Ops,($1.79),($0.69),($0.18),($0.96),($0.57),($0.57)
Basic Weighted Average Shares Outst.,46.6,46.8,47.2,47.6,47.8,47.8
Diluted EPS,$0.85,$1.69,$1.22,($0.96),($0.57),($0.57)
Diluted EPS - Continuing Ops,($1.79),($0.69),($0.18),($0.96),($0.57),($0.57)
Diluted Weighted Average Shares Outst.,46.6,46.8,47.2,47.6,47.8,47.8
Normalized Basic EPS,($1.87),($0.96),$0.18,($0.20),($0.11),($0.11)
Normalized Diluted EPS,($1.87),($0.96),$0.18,($0.20),($0.11),($0.11)
EBITDA,(65.7),(3.6),65.7,29.9,48.8,48.8
EBITA,(85.7),(22.4),52.2,13.0,25.3,25.3
EBIT,(107.1),(43.1),32.2,(7.0),5.9,5.9
EBITDAR,,,,47.4,73.4,73.4
Effective Tax Rate,NM,NM,NM,NM,NM,NM
Normalized Net Income,(87.0),(45.1),8.5,(9.6),(5.3),(5.3)
Interest Capitalized,,,,1.8,0.1,0.1
Interest on Long-Term Debt,32.7,32.4,27.9,16.8,15.7,15.7
R&D Expense From Footnotes,38.4,38.2,41.8,37.7,34.9,34.9
Foreign Sales,156.2,144.6,195.3,216.6,232.8,232.8
