Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.02%,6.65%,6.94%,2.47%,0.00%
Total Revenues,8.02%,6.65%,6.94%,2.47%,0.00%
Cost Of Revenues,2.12%,(5.86%),10.79%,13.16%,0.00%
Gross Profit,13.36%,16.86%,4.42%,(4.99%),0.00%
Selling General & Admin Expenses,(7.08%),1.68%,22.07%,(10.39%),0.00%
R&D Expenses,(0.52%),9.42%,(51.67%),(49.01%),0.00%
Other Operating Expense/(Income),2.03%,,-81.08%,,0.00%
Total Operating Expenses,(6.01%),(4.87%),15.66%,(7.99%),0.00%
Operating Income,-59.76%,,,,0.00%
Interest Expense,-3.36%,-16.46%,-43.18%,(4.00%),0.00%
Interest And Investment Income,316.67%,212.00%,(14.10%),(82.09%),0.00%
Net Interest Expenses,-9.35%,-36.08%,-55.38%,(73.49%),0.00%
"EBT, Excl. Unusual Items",-48.13%,,,-44.44%,0.00%
"EBT, Incl. Unusual Items",-48.13%,-74.93%,(253.59%),-5.47%,0.00%
Income Tax Expense,-28.26%,-76.06%,(88.54%),(83.98%),0.00%
Earnings From Continuing Operations,-61.46%,-73.52%,(440.00%),-40.74%,0.00%
Earnings Of Discontinued Operations,(9.50%),(40.75%),,,
Net Income to Company,99.25%,(27.49%),,-40.74%,0.00%
Net Income,99.25%,(27.49%),,-40.74%,0.00%
NI to Common Incl Extra Items,99.25%,(27.49%),,-40.74%,0.00%
NI to Common Excl. Extra Items,-61.46%,-73.52%,(440.00%),-40.74%,0.00%
Revenue Per Share,7.56%,5.74%,6.05%,2.01%,0.00%
Basic EPS,99.35%,(27.92%),,-40.73%,0.00%
Basic EPS - Continuing Ops,-61.68%,-73.90%,(435.71%),-40.73%,0.00%
Basic Weighted Average Shares Outst.,0.43%,0.85%,0.85%,0.42%,0.00%
Diluted EPS,98.86%,(27.92%),,-40.63%,0.00%
Diluted EPS - Continuing Ops,-61.45%,-73.90%,(435.71%),-40.63%,0.00%
Diluted Weighted Average Shares Outst.,0.43%,0.85%,0.85%,0.42%,0.00%
Normalized Basic EPS,-48.44%,,,-44.43%,0.00%
Normalized Diluted EPS,-48.44%,,,-44.43%,0.00%
EBITDA,-94.52%,,(54.49%),63.21%,0.00%
EBITA,-73.86%,,(75.10%),94.62%,0.00%
EBIT,-59.76%,,,,0.00%
EBITDAR,,,,54.85%,
Effective Tax Rate,,,,,0.00%
Normalized Net Income,-48.13%,,,-44.44%,0.00%
Interest Capitalized,,,,(94.44%),
Interest on Long-Term Debt,(0.92%),(13.89%),(39.78%),(6.55%),
R&D Expense From Footnotes,(0.52%),9.42%,(9.81%),(7.43%),0.00%
Foreign Sales,(7.43%),35.06%,10.91%,7.48%,
