Income Statement,Jul 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,4.18%,9.16%,2.53%,(9.65%),1.72%
Total Revenues,4.18%,9.16%,2.53%,(9.65%),1.72%
Cost Of Revenues,2.78%,9.55%,3.17%,(8.58%),2.66%
Gross Profit,14.03%,6.66%,(1.63%),(17.00%),(5.16%)
Selling General & Admin Expenses,21.25%,11.45%,(5.99%),(1.32%),(1.65%)
Other Operating Expense/(Income),(99.81%),"614,733.33%",5.01%,,
Total Operating Expenses,20.60%,16.65%,(5.49%),(6.21%),(6.55%)
Operating Income,(1.81%),(22.90%),15.68%,(56.42%),6.09%
Interest Expense,(8.31%),-6.86%,(45.42%),-9.00%,-30.63%
Net Interest Expenses,(8.31%),-6.86%,(45.42%),-9.00%,-30.63%
Currency Exchange Gains (Loss),,,(96.93%),"15,065.48%",
Other Non Operating Income (Expenses),"(1,222.09%)",,,(14.30%),
"EBT, Excl. Unusual Items",(13.03%),(15.27%),3.04%,(71.04%),82.17%
"EBT, Incl. Unusual Items",(35.06%),(53.26%),66.99%,,
Income Tax Expense,(45.98%),512.00%,(78.42%),,(63.31%)
Earnings From Continuing Operations,(32.63%),,,,
Earnings Of Discontinued Operations,126.54%,,-72.12%,-58.98%,
Net Income to Company,3.70%,,,,
Net Income,3.70%,,,,
NI to Common Incl Extra Items,3.70%,,,,
NI to Common Excl. Extra Items,(32.63%),,,,
Revenue Per Share,7.31%,15.64%,11.95%,(1.25%),4.91%
Basic EPS,6.85%,,,,
Basic EPS - Continuing Ops,(30.67%),,,,
Basic Weighted Average Shares Outst.,(2.92%),(5.61%),(8.41%),(8.51%),(3.04%)
Diluted EPS,7.52%,,,,
Diluted EPS - Continuing Ops,(30.03%),,,,
Diluted Weighted Average Shares Outst.,(3.40%),(6.80%),(7.60%),(9.32%),(2.39%)
Normalized Basic EPS,(10.44%),(10.11%),12.38%,(68.42%),87.88%
Normalized Diluted EPS,(10.10%),(9.28%),11.38%,(68.13%),86.63%
Dividend Per Share,2.94%,5.71%,8.11%,5.00%,1.20%
Payout Ratio,(3.50%),,,,
EBITDA,7.07%,(12.80%),9.32%,(42.57%),(4.89%)
EBITA,5.44%,(15.26%),11.68%,(49.19%),(4.20%)
EBIT,(1.81%),(22.90%),15.68%,(56.42%),6.09%
EBITDAR,7.12%,,,,
Effective Tax Rate,(16.80%),"1,209.31%",(87.07%),199.87%,
Normalized Net Income,(13.03%),(15.27%),3.04%,(71.04%),82.17%
Foreign Sales,3.09%,13.90%,2.23%,(10.49%),
