Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,12350.5,12754.6,13007.3,13190.7,15430.0,15430.0
Total Revenues,12350.5,12754.6,13007.3,13190.7,15430.0,15430.0
Cost Of Revenues,10223.0,10513.5,10646.5,10763.9,12451.1,12451.1
Gross Profit,2127.5,2241.1,2360.9,2426.8,2979.0,2979.0
Selling General & Admin Expenses,1908.8,2008.8,2047.4,2042.1,2326.8,2326.8
Total Operating Expenses,1911.5,2011.8,2053.5,2057.3,2336.6,2336.6
Operating Income,216.0,229.3,307.4,369.5,642.4,642.4
Interest Expense,(143.5),(175.7),(139.1),(104.4),(80.3),(80.3)
Interest And Investment Income,0.2,,,,,
Net Interest Expenses,(143.3),(175.7),(139.1),(104.4),(80.3),(80.3)
Other Non Operating Income (Expenses),(0.1),,,,,
"EBT, Excl. Unusual Items",72.7,53.7,168.3,265.1,562.1,562.1
"EBT, Incl. Unusual Items",72.7,23.5,138.9,244.0,558.0,558.0
Income Tax Expense,28.0,(28.4),11.8,56.2,136.8,136.8
Earnings From Continuing Operations,44.7,52.0,127.1,187.8,421.2,421.2
Earnings Of Discontinued Operations,(0.5),(1.7),0.2,(0.6),(0.2),(0.2)
Net Income to Company,44.2,50.3,127.3,187.2,421.0,421.0
Net Income,44.2,50.3,127.3,187.2,421.0,421.0
NI to Common Incl Extra Items,44.2,50.3,127.3,187.2,421.0,421.0
NI to Common Excl. Extra Items,44.7,52.0,127.1,187.8,421.2,421.2
Revenue Per Share,$140.09,$144.31,$111.56,$96.87,$113.36,$113.36
Basic EPS,$0.50,$0.57,$1.09,$1.37,$3.09,$3.09
Basic EPS - Continuing Ops,$0.51,$0.59,$1.09,$1.38,$3.09,$3.09
Basic Weighted Average Shares Outst.,88.2,88.4,116.6,136.2,136.1,136.1
Diluted EPS,$0.48,$0.54,$1.05,$1.35,$3.03,$3.03
Diluted EPS - Continuing Ops,$0.49,$0.56,$1.05,$1.35,$3.03,$3.03
Diluted Weighted Average Shares Outst.,90.7,92.3,121.1,139.1,138.9,138.9
Normalized Basic EPS,$0.52,$0.38,$0.90,$1.22,$2.58,$2.58
Normalized Diluted EPS,$0.50,$0.36,$0.87,$1.19,$2.53,$2.53
Payout Ratio,0.06%,,0.02%,0.01%,0.01%,0.01%
EBITDA,394.3,393.4,469.6,526.5,809.8,809.8
EBITA,244.8,255.3,329.2,383.0,654.3,654.3
EBIT,216.0,229.3,307.4,369.5,642.4,642.4
EBITDAR,693.1,695.3,777.8,848.9,1137.4,1137.4
Effective Tax Rate,38.5%,NM,8.5%,23.0%,24.5%,24.5%
Normalized Net Income,45.4,33.5,105.2,165.7,351.3,351.3
Interest Capitalized,0.1,0.2,0.2,0.0,0.0,0.0
Interest on Long-Term Debt,21.3,25.7,10.7,10.2,12.3,12.3
