Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,3.27%,1.98%,1.41%,16.98%,16.98%
Total Revenues,3.27%,1.98%,1.41%,16.98%,16.98%
Cost Of Revenues,2.84%,1.26%,1.10%,15.67%,15.67%
Gross Profit,5.34%,5.35%,2.79%,22.75%,22.75%
Selling General & Admin Expenses,5.24%,1.92%,(0.26%),13.94%,13.94%
Total Operating Expenses,5.25%,2.07%,0.19%,13.58%,13.58%
Operating Income,6.17%,34.05%,20.20%,73.85%,73.85%
Interest Expense,(22.45%),-20.80%,-24.96%,-23.08%,-23.08%
Net Interest Expenses,(22.60%),-20.80%,-24.96%,-23.08%,-23.08%
"EBT, Excl. Unusual Items",(26.14%),213.53%,57.52%,112.04%,112.04%
"EBT, Incl. Unusual Items",(67.60%),489.94%,75.62%,128.72%,128.72%
Income Tax Expense,,,375.33%,143.41%,143.41%
Earnings From Continuing Operations,16.28%,144.53%,47.73%,124.32%,124.32%
Earnings Of Discontinued Operations,(251.68%),,,-73.84%,-73.84%
Net Income to Company,13.74%,153.00%,47.08%,124.94%,124.94%
Net Income,13.74%,153.00%,47.08%,124.94%,124.94%
NI to Common Incl Extra Items,13.74%,153.00%,47.08%,124.94%,124.94%
NI to Common Excl. Extra Items,16.28%,144.53%,47.73%,124.32%,124.32%
Revenue Per Share,3.01%,(22.70%),(13.17%),17.03%,17.03%
Basic EPS,13.82%,91.48%,26.10%,125.79%,125.04%
Basic EPS - Continuing Ops,15.30%,84.74%,26.50%,124.23%,124.43%
Basic Weighted Average Shares Outst.,0.25%,31.92%,16.79%,(0.05%),(0.05%)
Diluted EPS,12.89%,94.70%,28.17%,124.36%,125.06%
Diluted EPS - Continuing Ops,14.29%,87.50%,28.57%,124.44%,124.44%
Diluted Weighted Average Shares Outst.,1.68%,31.29%,14.84%,(0.17%),(0.17%)
Normalized Basic EPS,(27.01%),137.38%,35.19%,111.56%,112.13%
Normalized Diluted EPS,(27.28%),141.19%,36.90%,112.57%,112.39%
Payout Ratio,,,(33.50%),(41.00%),(55.64%)
EBITDA,(0.24%),19.38%,12.11%,53.82%,53.82%
EBITA,4.30%,28.93%,16.34%,70.83%,70.83%
EBIT,6.17%,34.05%,20.20%,73.85%,73.85%
EBITDAR,0.31%,11.87%,9.14%,33.98%,
Effective Tax Rate,,,170.75%,6.42%,6.42%
Normalized Net Income,(26.14%),213.53%,57.52%,112.04%,112.04%
Interest Capitalized,216.18%,(13.02%),(93.58%),(25.00%),
Interest on Long-Term Debt,20.31%,(58.42%),(4.65%),20.76%,
