Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9.19%,4.40%,(1.10%),(2.19%),7.11%
Total Revenues,9.19%,4.40%,(1.10%),(2.19%),7.11%
Fuel & Purchased Power,12.85%,11.06%,(8.76%),(14.05%),17.06%
Operations And Maintenance,7.52%,5.00%,2.80%,0.75%,1.41%
Depreciation & Amortization,7.24%,4.29%,6.52%,7.33%,5.06%
Other Operating Expenses,(42.13%),6.37%,(5.69%),(0.81%),(1.10%)
Total Operating Expenses,5.05%,7.67%,(2.30%),(4.69%),8.11%
Operating Income,23.96%,(5.49%),3.04%,5.99%,3.95%
"Interest Expense, Total",(1.04%),(0.77%),-1.64%,(4.05%),(0.29%)
Interest and Investment Income,(28.90%),61.52%,(0.55%),(10.48%),(12.04%)
Net Interest Expenses,(1.35%),(0.33%),-1.65%,(4.22%),(0.43%)
Allow. For Equity Funds Used For Const.,(29.02%),,,,
Allow. For Borrowed Funds Used For Const.,(18.99%),,,,
Other Non-Operating Inc. (Exp.),,,,,-55.39%
"EBT, Excl. Unusual Items",36.84%,(9.18%),2.64%,9.40%,3.89%
Other Unusual Items,,,,,0.00%
"EBT, Incl. Unusual Items",36.84%,(9.18%),(5.07%),13.49%,13.77%
Income Tax Expense,24.14%,,,11.28%,(38.49%)
Earnings From Continuing Operations,41.95%,34.16%,(23.69%),13.80%,21.05%
Earnings Of Discontinued Operations,-73.35%,-59.72%,,,
Net Income to Company,131.48%,42.55%,(21.76%),13.80%,21.05%
Minority Interest,(47.42%),-0.15%,-1.46%,(8.16%),(5.15%)
Net Income,142.61%,45.98%,(22.88%),14.20%,22.28%
NI to Common Incl Extra Items,142.61%,45.98%,(22.88%),14.20%,22.28%
NI to Common Excl. Extra Items,41.57%,36.67%,(24.88%),14.20%,22.28%
Revenue Per Share,6.52%,2.11%,(11.29%),(4.88%),4.61%
Basic EPS,135.91%,42.61%,(30.83%),10.91%,19.41%
Basic EPS - Continuing Ops,38.17%,33.58%,(32.67%),10.91%,19.41%
Basic Weighted Average Shares Outst.,2.50%,2.25%,11.47%,2.83%,2.40%
Diluted EPS,134.29%,45.04%,(29.61%),11.25%,19.50%
Diluted EPS - Continuing Ops,36.96%,35.80%,(31.38%),11.25%,19.50%
Diluted Weighted Average Shares Outst.,3.47%,0.66%,9.57%,2.70%,2.29%
Normalized Basic EPS,32.80%,(11.93%),(7.65%),6.29%,1.34%
Normalized Diluted EPS,31.67%,(10.68%),(6.10%),6.62%,1.44%
Dividend Per Share,7.74%,6.63%,6.22%,5.85%,5.77%
Payout Ratio,(54.46%),(24.53%),51.65%,(4.85%),
EBITDA,18.23%,(2.45%),4.20%,6.45%,4.14%
EBITA,24.02%,(5.48%),3.79%,6.01%,2.96%
EBIT,23.96%,(5.49%),3.04%,5.99%,3.95%
EBITDAR,,,,6.36%,
Effective Tax Rate,(9.27%),,,(1.97%),(45.94%)
Normalized Net Income,35.98%,(9.97%),3.04%,9.52%,3.76%
Interest Capitalized,(18.99%),,,,
Interest on Long-Term Debt,1.04%,0.77%,(1.64%),4.05%,
