Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1762.8,1857.3,2009.9,2384.7,2606.1,2723.6
Other Revenues,,,,1.7,4.5,4.6
Total Revenues,1762.8,1857.3,2009.9,2386.4,2610.6,2728.3
Cost Of Revenues,925.2,994.7,1068.9,1308.2,1436.4,1516.3
Gross Profit,837.6,862.6,940.9,1078.2,1174.2,1212.0
Depreciation & Amortization,21.0,22.7,22.8,23.4,26.3,27.7
Other Operating Expense/(Income),262.9,283.5,332.1,377.1,366.0,353.2
Total Operating Expenses,370.5,391.6,441.5,505.8,500.8,492.5
Operating Income,467.0,471.0,499.4,572.4,673.4,719.5
Interest Expense,(39.5),(38.3),(40.6),(63.7),(59.0),(60.0)
Interest And Investment Income,1.5,1.6,2.7,5.8,2.8,1.9
Net Interest Expenses,(38.0),(36.7),(37.8),(57.9),(56.2),(58.1)
Other Non Operating Income (Expenses),1.1,22.5,1.6,,,
"EBT, Excl. Unusual Items",430.1,456.8,463.3,514.5,617.3,661.3
"EBT, Incl. Unusual Items",423.5,449.7,462.5,525.9,624.1,658.1
Income Tax Expense,166.0,50.1,118.2,127.4,143.6,130.2
Earnings From Continuing Operations,257.5,399.6,344.3,398.5,480.5,527.8
Net Income to Company,257.5,399.6,344.3,398.5,480.5,527.8
Net Income,257.5,399.6,344.3,398.5,480.5,527.8
NI to Common Incl Extra Items,257.5,399.6,344.3,398.5,480.5,527.8
NI to Common Excl. Extra Items,257.5,399.6,344.3,398.5,480.5,527.8
Revenue Per Share,$6.31,$6.65,$7.24,$8.48,$9.22,$9.63
Basic EPS,$0.92,$1.43,$1.24,$1.42,$1.70,$1.86
Basic EPS - Continuing Ops,$0.92,$1.43,$1.24,$1.42,$1.70,$1.86
Basic Weighted Average Shares Outst.,279.6,279.4,277.7,281.6,283.3,283.4
Diluted EPS,$0.91,$1.40,$1.22,$1.40,$1.69,$1.85
Diluted EPS - Continuing Ops,$0.91,$1.40,$1.22,$1.40,$1.69,$1.85
Diluted Weighted Average Shares Outst.,282.9,284.4,282.2,283.7,284.8,284.7
Normalized Basic EPS,$0.96,$1.02,$1.04,$1.14,$1.36,$1.46
Normalized Diluted EPS,$0.95,$1.00,$1.03,$1.13,$1.35,$1.45
Dividend Per Share,$0.25,$0.28,$0.31,$0.33,$0.35,$0.36
Payout Ratio,27.29%,19.45%,24.60%,22.92%,20.94%,19.47%
EBITDA,574.7,579.1,608.8,701.1,808.2,858.8
EBITA,553.7,556.5,586.0,677.7,781.9,831.1
EBIT,467.0,471.0,499.4,572.4,673.4,719.5
EBITDAR,624.0,,,753.7,864.4,
Effective Tax Rate,39.2%,11.1%,25.6%,24.2%,23.0%,19.8%
Normalized Net Income,268.8,285.5,289.5,321.6,385.8,413.3
Foreign Sales,14.5,15.9,15.2,17.7,35.1,
