Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,17.16%,11.70%,8.92%,13.46%,11.11%
Total Revenues,17.16%,11.70%,8.92%,13.46%,11.13%
Cost Of Revenues,13.64%,9.86%,4.94%,7.76%,3.57%
Gross Profit,19.16%,12.70%,11.03%,16.30%,14.86%
Selling General & Admin Expenses,10.71%,11.05%,6.86%,6.69%,7.19%
Depreciation & Amortization,22.85%,8.87%,9.59%,22.60%,17.88%
Total Operating Expenses,16.20%,10.01%,8.15%,14.31%,12.40%
Operating Income,24.11%,16.91%,15.27%,19.05%,18.22%
Interest Expense,(55.07%),(28.92%),(25.68%),(5.11%),(9.72%)
Interest And Investment Income,,,29.11%,,
Net Interest Expenses,(60.52%),(19.34%),(25.40%),(13.79%),(19.68%)
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",18.12%,15.94%,12.78%,17.05%,16.72%
"EBT, Incl. Unusual Items",17.37%,11.49%,10.30%,62.82%,51.52%
Income Tax Expense,,,16.96%,38.17%,78.61%
Earnings From Continuing Operations,134.43%,(29.94%),8.39%,70.45%,45.17%
Net Income to Company,134.43%,(29.94%),8.39%,70.45%,45.17%
Net Income,134.43%,(29.94%),8.39%,70.45%,45.17%
NI to Common Incl Extra Items,134.43%,(29.94%),8.39%,70.45%,45.17%
NI to Common Excl. Extra Items,134.43%,(29.94%),8.39%,70.45%,45.17%
Revenue Per Share,18.47%,11.62%,9.03%,9.49%,5.94%
Basic EPS,136.99%,(29.99%),8.51%,64.47%,38.39%
Basic EPS - Continuing Ops,136.99%,(29.99%),8.51%,64.47%,38.39%
Basic Weighted Average Shares Outst.,(1.11%),0.08%,(0.09%),3.62%,4.90%
Diluted EPS,135.44%,(29.69%),8.17%,64.75%,38.33%
Diluted EPS - Continuing Ops,135.44%,(29.69%),8.17%,64.75%,38.33%
Diluted Weighted Average Shares Outst.,(0.41%),(0.37%),0.21%,3.48%,5.10%
Normalized Basic EPS,19.46%,15.87%,12.91%,12.98%,11.27%
Normalized Diluted EPS,18.59%,16.38%,12.56%,13.13%,11.05%
Dividend Per Share,8.33%,15.38%,13.33%,11.76%,(17.14%)
Payout Ratio,(53.92%),64.31%,4.47%,(31.59%),
EBITDA,23.56%,13.47%,12.94%,20.47%,17.71%
EBITA,28.13%,17.85%,17.20%,25.59%,9.79%
EBIT,24.11%,16.91%,15.27%,19.05%,18.22%
EBITDAR,20.98%,13.48%,13.05%,20.08%,
Effective Tax Rate,,,6.03%,(15.13%),17.88%
Normalized Net Income,18.12%,15.94%,12.78%,17.05%,16.72%
Interest on Long-Term Debt,55.07%,28.92%,25.68%,5.11%,
