Income Statement,Jul 2016,Jul 2017,Aug 2018,Aug 2019,Jul 2020,TTM
Revenues,2912.4,2926.3,3030.4,3072.0,2522.8,2251.2
Total Revenues,2912.4,2926.3,3030.4,3072.0,2522.8,2251.2
Cost Of Revenues,1934.4,1908.4,1991.2,2009.8,1704.9,1553.0
Gross Profit,978.0,1017.9,1039.2,1062.1,817.9,698.2
Selling General & Admin Expenses,697.5,704.7,745.6,779.3,756.5,746.9
Total Operating Expenses,697.5,704.7,745.6,779.3,756.5,746.9
Operating Income,280.5,313.2,293.6,282.8,61.4,(48.6)
Interest Expense,(14.1),(14.3),(15.2),(16.5),(22.3),(36.8)
Net Interest Expenses,(14.1),(14.3),(15.2),(16.5),(22.3),(36.8)
"EBT, Excl. Unusual Items",266.4,298.9,278.4,266.4,(103.4),(218.3)
"EBT, Incl. Unusual Items",266.4,298.9,278.4,266.4,(61.2),43.0
Income Tax Expense,77.1,97.0,30.8,43.0,(28.7),(4.9)
Earnings From Continuing Operations,189.3,201.9,247.6,223.4,(32.5),47.8
Net Income to Company,189.3,201.9,247.6,223.4,(32.5),47.8
Net Income,189.3,201.9,247.6,223.4,(32.5),47.8
NI to Common Incl Extra Items,189.3,201.9,247.6,223.4,(32.5),47.8
NI to Common Excl. Extra Items,189.3,201.9,247.6,223.4,(32.5),47.8
Revenue Per Share,$121.63,$121.77,$126.21,$127.80,$105.71,$94.89
Basic EPS,$7.91,$8.40,$10.31,$9.29,($1.36),$2.02
Basic EPS - Continuing Ops,$7.91,$8.40,$10.31,$9.29,($1.36),$2.02
Basic Weighted Average Shares Outst.,23.9,24.0,24.0,24.0,23.9,23.7
Diluted EPS,$7.86,$8.37,$10.29,$9.27,($1.36),$2.02
Diluted EPS - Continuing Ops,$7.86,$8.37,$10.29,$9.27,($1.36),$2.02
Diluted Weighted Average Shares Outst.,24.1,24.1,24.1,24.1,23.9,23.7
Normalized Basic EPS,$6.95,$7.77,$7.25,$6.93,($2.71),($5.75)
Normalized Diluted EPS,$6.92,$7.75,$7.23,$6.91,($2.71),($5.75)
Dividend Per Share,$4.45,$4.65,$4.85,$5.05,$3.90,$1.30
Payout Ratio,55.77%,55.37%,46.97%,54.13%,NM,131.26%
EBITDA,358.7,399.5,387.3,390.4,179.6,65.1
EBITA,280.5,313.2,293.6,282.8,61.4,(48.6)
EBIT,280.5,313.2,293.6,282.8,61.4,(48.6)
EBITDAR,433.4,474.7,464.0,468.7,267.1,
Effective Tax Rate,28.9%,32.4%,11.1%,16.1%,NM,NM
Normalized Net Income,166.5,186.8,174.0,166.5,(64.6),(136.4)
