Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,430.4,507.2,590.1,1037.7,1116.3,1127.3
Total Revenues,430.4,507.2,590.1,1037.7,1116.3,1127.3
Cost Of Revenues,220.2,253.1,276.0,570.7,626.6,640.8
Gross Profit,210.2,254.1,314.1,467.0,489.7,486.6
Selling General & Admin Expenses,77.2,86.5,98.2,178.4,206.2,210.0
R&D Expenses,57.5,54.8,52.0,51.7,52.3,51.6
Total Operating Expenses,134.7,141.3,150.1,230.1,258.5,261.7
Operating Income,75.5,112.8,164.0,236.9,231.2,224.9
Interest Expense,(4.7),(4.5),(2.9),(45.7),(42.5),(39.0)
Interest And Investment Income,0.9,2.4,4.4,2.3,0.7,0.2
Net Interest Expenses,(3.8),(2.2),1.5,(43.3),(41.8),(38.7)
Currency Exchange Gains (Loss),0.7,(1.5),(1.6),0.0,(0.2),(0.2)
Other Non Operating Income (Expenses),(1.0),1.0,1.7,(4.1),(1.5),0.9
"EBT, Excl. Unusual Items",71.4,110.2,165.6,189.6,187.6,186.9
"EBT, Incl. Unusual Items",70.4,109.4,161.7,63.1,173.3,(43.0)
Income Tax Expense,10.6,22.4,51.7,23.9,30.5,3.9
Earnings From Continuing Operations,59.8,87.0,110.0,39.2,142.8,(46.9)
Net Income to Company,59.8,87.0,110.0,39.2,142.8,(46.9)
Net Income,59.8,87.0,110.0,39.2,142.8,(46.9)
Preferred Dividend and Other Adjustments,0.4,0.3,0.1,,,
NI to Common Incl Extra Items,59.5,86.7,109.9,39.2,142.8,(46.9)
NI to Common Excl. Extra Items,59.5,86.7,109.9,39.2,142.8,(46.9)
Revenue Per Share,$17.88,$20.27,$23.13,$36.32,$38.31,$38.70
Basic EPS,$2.47,$3.47,$4.31,$1.37,$4.90,($1.61)
Basic EPS - Continuing Ops,$2.47,$3.47,$4.31,$1.37,$4.90,($1.61)
Basic Weighted Average Shares Outst.,24.1,25.0,25.5,28.6,29.1,29.1
Diluted EPS,$2.43,$3.40,$4.19,$1.35,$4.83,($1.61)
Diluted EPS - Continuing Ops,$2.43,$3.40,$4.19,$1.35,$4.83,($1.61)
Diluted Weighted Average Shares Outst.,24.5,25.5,26.2,29.1,29.6,29.1
Normalized Basic EPS,$1.85,$2.75,$4.06,$4.15,$4.02,$4.01
Normalized Diluted EPS,$1.82,$2.70,$3.94,$4.07,$3.96,$4.01
Dividend Per Share,$0.54,$0.78,$1.40,$1.66,$1.74,$1.78
Payout Ratio,14.47%,21.90%,27.93%,118.13%,35.28%,
EBITDA,101.5,138.8,189.9,336.1,359.5,352.9
EBITA,83.7,120.6,171.5,297.4,317.3,224.9
EBIT,75.5,112.8,164.0,236.9,231.2,224.9
EBITDAR,104.3,141.9,194.2,344.0,369.0,
Effective Tax Rate,15.0%,20.5%,32.0%,37.9%,17.6%,NM
Normalized Net Income,44.6,68.9,103.5,118.5,117.2,116.8
R&D Expense From Footnotes,57.5,54.8,52.0,51.7,52.3,51.6
Foreign Sales,368.0,507.2,590.1,1037.7,1116.3,
