Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,14.50%,7.36%,(16.75%),(10.08%),(6.51%)
Total Revenues,14.50%,7.36%,(16.75%),(10.08%),(6.51%)
Cost Of Revenues,3.28%,5.16%,(4.37%),(12.57%),(8.11%)
Gross Profit,58.20%,12.95%,(46.07%),0.38%,0.09%
Selling General & Admin Expenses,0.17%,6.42%,(14.92%),(7.28%),0.39%
R&D Expenses,0.00%,1.23%,(2.44%),16.25%,13.41%
Total Operating Expenses,0.15%,5.79%,(13.48%),(4.06%),2.37%
Operating Income,148.72%,17.44%,(64.50%),6.49%,(2.74%)
Interest Expense,-2.28%,-8.88%,(6.67%),(0.96%),-2.84%
Net Interest Expenses,-2.28%,-8.88%,(6.67%),(0.96%),-2.84%
Currency Exchange Gains (Loss),,(66.67%),,"(1,200.00%)",-68.75%
Other Non Operating Income (Expenses),8.00%,64.81%,(24.72%),(43.28%),(17.78%)
"EBT, Excl. Unusual Items",305.13%,26.27%,(72.18%),(9.61%),0.98%
"EBT, Incl. Unusual Items",,26.64%,,,
Income Tax Expense,,(3.64%),,-44.44%,-88.89%
Earnings From Continuing Operations,"10,571.43%",33.33%,,,
Net Income to Company,"10,571.43%",33.33%,,,
Minority Interest,,0.00%,,,
Net Income,"10,557.14%",33.38%,,,
NI to Common Incl Extra Items,"10,557.14%",33.38%,,,
NI to Common Excl. Extra Items,"10,557.14%",33.38%,,,
Revenue Per Share,12.51%,12.14%,(10.62%),(10.01%),(7.14%)
Basic EPS,"9,989.58%",39.17%,,,
Basic EPS - Continuing Ops,"9,989.58%",39.17%,,,
Basic Weighted Average Shares Outst.,1.77%,(4.26%),(6.87%),(0.08%),0.68%
Diluted EPS,"9,675.00%",39.39%,,,
Diluted EPS - Continuing Ops,"9,675.00%",39.39%,,,
Diluted Weighted Average Shares Outst.,4.13%,(4.40%),(9.73%),0.93%,2.06%
Normalized Basic EPS,295.06%,31.93%,(70.08%),(9.34%),0.29%
Normalized Diluted EPS,287.14%,32.01%,(69.13%),(10.24%),(1.06%)
Dividend Per Share,0.00%,600.00%,19.05%,0.00%,0.00%
Payout Ratio,(99.06%),404.21%,,,
EBITDA,88.11%,14.72%,(53.66%),11.33%,5.36%
EBITA,147.93%,17.57%,(64.11%),6.39%,(2.70%)
EBIT,148.72%,17.44%,(64.50%),6.49%,(2.74%)
EBITDAR,,,,8.86%,
Effective Tax Rate,,(23.90%),321.67%,,
Normalized Net Income,304.44%,26.31%,(72.14%),(9.61%),0.98%
Interest Capitalized,(50.00%),88.89%,(41.18%),(60.00%),
Interest on Long-Term Debt,,,,(33.33%),
R&D Expense From Footnotes,0.00%,1.23%,(2.44%),16.25%,13.41%
Foreign Sales,98.68%,7.36%,(16.75%),(10.08%),
