Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,2114.6,1730.7,1798.0,1914.8,1960.1,1944.2
Total Revenues,2114.6,1730.7,1798.0,1914.8,1960.1,1944.2
Cost Of Revenues,1243.4,898.2,854.5,879.1,961.4,993.7
Gross Profit,871.2,832.5,943.5,1035.7,998.7,950.5
Selling General & Admin Expenses,445.0,432.5,441.2,428.9,427.2,432.8
Total Operating Expenses,445.0,432.5,441.2,428.9,427.2,432.8
Operating Income,426.2,400.0,502.3,606.8,571.5,517.7
Interest Expense,(40.2),(57.2),(95.9),(139.1),(144.3),(139.4)
Interest And Investment Income,2.4,1.8,,,,
Net Interest Expenses,(37.8),(55.4),(95.9),(139.1),(144.3),(139.4)
Other Non Operating Income (Expenses),1.8,1.5,13.4,7.7,21.7,46.0
"EBT, Excl. Unusual Items",390.2,346.1,419.8,458.4,446.2,416.4
"EBT, Incl. Unusual Items",369.1,327.7,399.2,303.9,424.2,391.9
Income Tax Expense,122.3,92.8,88.1,62.2,120.4,106.3
Earnings From Continuing Operations,246.8,234.9,311.1,241.7,303.8,285.6
Earnings Of Discontinued Operations,,67.6,77.6,(109.8),(89.3),(51.2)
Net Income to Company,246.8,302.5,388.7,131.9,214.5,234.4
Minority Interest,(7.5),(6.9),(7.9),(7.9),(7.0),(7.2)
Net Income,239.3,295.6,380.8,124.0,207.5,227.2
NI to Common Incl Extra Items,239.3,295.6,380.8,124.0,207.5,227.2
NI to Common Excl. Extra Items,239.3,228.0,303.2,233.8,296.8,278.4
Revenue Per Share,$13.47,$11.80,$13.24,$15.26,$16.12,$15.97
Basic EPS,$1.52,$2.01,$2.80,$0.99,$1.71,$1.87
Basic EPS - Continuing Ops,$1.52,$1.55,$2.23,$1.86,$2.44,$2.29
Basic Weighted Average Shares Outst.,157.0,146.7,135.8,125.5,121.6,121.8
Diluted EPS,$1.51,$1.99,$2.78,$0.98,$1.70,$1.86
Diluted EPS - Continuing Ops,$1.51,$1.53,$2.21,$1.85,$2.43,$2.28
Diluted Weighted Average Shares Outst.,158.0,148.2,136.8,126.4,122.1,122.2
Normalized Basic EPS,$1.51,$1.43,$1.87,$2.22,$2.24,$2.08
Normalized Diluted EPS,$1.50,$1.41,$1.86,$2.20,$2.23,$2.07
Dividend Per Share,$0.53,$0.56,$0.59,$0.60,$0.60,$0.60
Payout Ratio,34.39%,27.30%,21.03%,60.32%,35.13%,32.09%
EBITDA,490.2,460.9,573.1,693.3,671.1,619.4
EBITA,455.1,424.8,527.5,639.9,616.3,563.1
EBIT,426.2,400.0,502.3,606.8,571.5,517.7
EBITDAR,539.5,504.6,,721.3,701.7,
Effective Tax Rate,33.1%,28.3%,22.1%,20.5%,28.4%,27.1%
Normalized Net Income,236.4,209.4,254.5,278.6,271.9,253.1
Interest on Long-Term Debt,,,,,0.8,
R&D Expense From Footnotes,161.0,125.1,,79.5,72.9,83.4
Foreign Sales,408.2,400.5,450.1,414.5,411.5,
