Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,(18.15%),3.89%,6.50%,2.37%,6.49%
Total Revenues,(18.15%),3.89%,6.50%,2.37%,6.49%
Cost Of Revenues,(27.76%),(4.87%),2.88%,9.36%,15.52%
Gross Profit,(4.44%),13.33%,9.77%,(3.57%),(1.55%)
Selling General & Admin Expenses,(2.81%),2.01%,(2.79%),(0.40%),7.53%
Total Operating Expenses,(2.81%),2.01%,(2.79%),(0.40%),7.53%
Operating Income,(6.15%),25.58%,20.80%,(5.82%),(8.05%)
Interest Expense,(42.29%),(67.66%),(45.05%),(3.74%),-4.85%
Interest And Investment Income,(25.00%),,,,
Net Interest Expenses,(46.56%),(73.10%),(45.05%),(3.74%),-4.85%
Other Non Operating Income (Expenses),(16.67%),793.33%,(42.54%),181.82%,482.28%
"EBT, Excl. Unusual Items",(11.30%),21.29%,9.19%,(2.66%),2.21%
"EBT, Incl. Unusual Items",(11.22%),21.82%,(23.87%),39.59%,35.32%
Income Tax Expense,(24.12%),(5.06%),(29.40%),93.57%,47.64%
Earnings From Continuing Operations,(4.82%),32.44%,(22.31%),25.69%,31.25%
Earnings Of Discontinued Operations,,14.79%,,-18.67%,-68.14%
Net Income to Company,22.57%,28.50%,(66.07%),62.62%,311.95%
Minority Interest,-8.00%,(14.49%),0.00%,-11.39%,-8.86%
Net Income,23.53%,28.82%,(67.44%),67.34%,363.67%
NI to Common Incl Extra Items,23.53%,28.82%,(67.44%),67.34%,363.67%
NI to Common Excl. Extra Items,(4.72%),32.98%,(22.89%),26.95%,32.76%
Revenue Per Share,(12.42%),12.20%,15.24%,5.63%,6.84%
Basic EPS,32.57%,39.51%,(64.71%),72.37%,365.20%
Basic EPS - Continuing Ops,2.25%,44.04%,(16.46%),31.23%,33.20%
Basic Weighted Average Shares Outst.,(6.56%),(7.43%),(7.58%),(3.11%),(0.33%)
Diluted EPS,31.53%,39.56%,(64.70%),73.33%,375.03%
Diluted EPS - Continuing Ops,1.32%,44.44%,(16.29%),31.35%,34.15%
Diluted Weighted Average Shares Outst.,(6.20%),(7.69%),(7.60%),(3.40%),(0.57%)
Normalized Basic EPS,(5.46%),31.04%,18.71%,0.71%,2.90%
Normalized Diluted EPS,(5.80%),31.93%,18.50%,1.21%,3.15%
Dividend Per Share,4.72%,5.36%,1.69%,0.00%,0.00%
Payout Ratio,(20.62%),(22.95%),186.84%,(41.76%),(78.55%)
EBITDA,(5.98%),24.34%,20.97%,(3.20%),(5.06%)
EBITA,(6.66%),24.18%,21.31%,(3.69%),(4.38%)
EBIT,(6.15%),25.58%,20.80%,(5.82%),(8.05%)
EBITDAR,(6.47%),,,(2.72%),
Effective Tax Rate,(14.52%),(22.07%),(7.26%),38.66%,9.10%
Normalized Net Income,(11.41%),21.52%,9.48%,(2.41%),2.56%
R&D Expense From Footnotes,(22.30%),,,(8.30%),28.51%
Foreign Sales,(1.89%),12.38%,(7.91%),(0.72%),
