Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(39.19%),13.20%,51.73%,(7.71%),(9.43%)
Total Revenues,(39.19%),13.20%,51.73%,(7.71%),(9.43%)
Cost Of Revenues,(42.29%),15.64%,31.03%,(7.40%),(7.62%)
Gross Profit,(32.33%),8.61%,93.26%,(8.15%),(11.81%)
Selling General & Admin Expenses,(29.77%),8.87%,88.50%,(2.03%),(8.90%)
R&D Expenses,(16.54%),4.27%,80.70%,11.00%,(12.83%)
Total Operating Expenses,(29.10%),8.64%,97.88%,1.10%,(6.20%)
Operating Income,(40.14%),8.51%,79.98%,(37.33%),(32.08%)
Interest Expense,(14.26%),(11.26%),(143.91%),-9.92%,-11.93%
Interest And Investment Income,(71.21%),31.58%,28.00%,0.00%,0.00%
Net Interest Expenses,(31.42%),(10.36%),(149.99%),-10.19%,-12.24%
Currency Exchange Gains (Loss),(94.74%),,-97.83%,,
"EBT, Excl. Unusual Items",(50.60%),0.54%,67.04%,(51.83%),(43.97%)
"EBT, Incl. Unusual Items",(76.49%),90.21%,(45.33%),14.92%,(22.15%)
Income Tax Expense,(95.20%),,,,
Earnings From Continuing Operations,(70.23%),164.50%,(84.52%),239.72%,68.38%
Earnings Of Discontinued Operations,,(73.59%),,-96.58%,-95.62%
Net Income to Company,16.75%,(8.87%),,,
Minority Interest,(7.83%),-22.48%,-26.46%,-70.04%,-56.24%
Net Income,17.94%,(7.21%),,,
NI to Common Incl Extra Items,17.94%,(7.21%),,,
NI to Common Excl. Extra Items,(79.91%),289.01%,(92.23%),628.64%,90.78%
Revenue Per Share,(39.35%),15.98%,34.49%,(8.43%),(10.14%)
Basic EPS,17.89%,(5.24%),,,
Basic EPS - Continuing Ops,(79.96%),306.58%,(93.08%),642.58%,89.28%
Basic Weighted Average Shares Outst.,0.26%,(2.39%),12.83%,0.77%,0.79%
Diluted EPS,17.89%,(5.69%),,,
Diluted EPS - Continuing Ops,(79.96%),304.60%,(93.32%),633.33%,87.07%
Diluted Weighted Average Shares Outst.,0.65%,(2.58%),12.35%,2.35%,1.87%
Normalized Basic EPS,(57.51%),10.73%,66.86%,(50.46%),(43.63%)
Normalized Diluted EPS,(57.43%),10.26%,66.86%,(51.23%),(44.23%)
EBITDA,(28.42%),8.00%,72.86%,(20.51%),(18.18%)
EBITA,(38.57%),8.76%,104.59%,(21.89%),(17.68%)
EBIT,(40.14%),8.51%,79.98%,(37.33%),(32.08%)
EBITDAR,(27.99%),7.26%,69.59%,(17.58%),
Effective Tax Rate,(79.60%),,,,
Normalized Net Income,(57.32%),7.23%,86.69%,(50.32%),(43.19%)
Interest on Long-Term Debt,13.91%,22.80%,136.32%,(11.85%),
R&D Expense From Footnotes,(16.54%),4.27%,80.70%,11.00%,(12.83%)
Foreign Sales,(39.00%),13.27%,12.75%,(4.09%),
