Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1576.9,1666.7,1782.6,1938.6,2079.6,2091.1
Total Revenues,1576.9,1666.7,1782.6,1938.6,2079.6,2091.1
Cost Of Revenues,1115.4,1150.5,1227.6,1321.1,1378.2,1366.9
Gross Profit,461.5,516.2,555.0,617.4,701.4,724.2
Selling General & Admin Expenses,238.3,271.5,271.2,301.0,330.2,351.2
Depreciation & Amortization,34.3,35.5,38.5,40.9,46.6,46.9
Total Operating Expenses,273.0,307.1,310.1,346.3,386.8,408.6
Operating Income,188.5,209.1,244.9,271.2,314.6,315.7
Interest Expense,(3.7),(4.3),(5.0),(4.5),(2.4),(1.8)
Interest And Investment Income,0.4,0.4,0.7,0.5,0.8,0.7
Net Interest Expenses,(3.3),(3.8),(4.3),(4.0),(1.6),(1.0)
Other Non Operating Income (Expenses),2.1,8.4,0.3,8.3,7.9,21.0
"EBT, Excl. Unusual Items",187.2,213.7,240.9,275.4,320.9,335.6
"EBT, Incl. Unusual Items",177.1,116.9,239.6,261.6,396.0,410.7
Income Tax Expense,68.3,18.7,34.1,41.7,76.5,81.8
Earnings From Continuing Operations,108.7,98.2,205.5,219.9,319.5,329.0
Net Income to Company,108.7,98.2,205.5,219.9,319.5,329.0
Net Income,108.7,98.2,205.5,219.9,319.5,329.0
NI to Common Incl Extra Items,108.7,98.2,205.5,219.9,319.5,329.0
NI to Common Excl. Extra Items,108.7,98.2,205.5,219.9,319.5,329.0
Revenue Per Share,$96.25,$103.80,$111.01,$121.39,$130.34,$131.03
Basic EPS,$6.64,$6.11,$12.80,$13.77,$20.02,$20.61
Basic EPS - Continuing Ops,$6.64,$6.11,$12.80,$13.77,$20.02,$20.61
Basic Weighted Average Shares Outst.,16.4,16.1,16.1,16.0,16.0,16.0
Diluted EPS,$6.48,$5.86,$12.23,$13.31,$19.48,$20.13
Diluted EPS - Continuing Ops,$6.48,$5.86,$12.23,$13.31,$19.48,$20.13
Diluted Weighted Average Shares Outst.,16.8,16.7,16.8,16.5,16.4,16.3
Normalized Basic EPS,$7.14,$8.32,$9.38,$10.78,$12.57,$13.14
Normalized Diluted EPS,$6.97,$7.98,$8.96,$10.41,$12.23,$12.83
Dividend Per Share,$1.00,$1.08,$1.16,$1.24,$1.32,$1.34
Payout Ratio,15.12%,17.69%,9.08%,9.00%,6.60%,6.50%
EBITDA,219.1,240.3,278.4,311.8,365.7,367.1
EBITA,188.9,209.2,245.3,275.5,324.6,325.7
EBIT,188.5,209.1,244.9,271.2,314.6,315.7
EBITDAR,259.2,,,360.9,425.8,
Effective Tax Rate,38.6%,16.0%,14.2%,15.9%,19.3%,19.9%
Normalized Net Income,117.0,133.6,150.6,172.1,200.6,209.8
Interest Capitalized,3.0,,,,,
