Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,15.65%,10.35%,7.64%,(29.55%),0.00%
Other Revenues,42.75%,17.44%,(6.42%),(57.85%),0.00%
Total Revenues,16.51%,10.62%,7.06%,(30.57%),0.00%
Cost Of Revenues,4.27%,11.44%,11.10%,(22.01%),0.00%
Gross Profit,32.67%,9.77%,2.80%,(40.30%),0.00%
Selling General & Admin Expenses,4.49%,9.68%,(0.70%),(16.55%),0.00%
Depreciation & Amortization,(4.52%),114.52%,31.39%,37.19%,0.00%
Total Operating Expenses,4.08%,14.01%,1.79%,(11.16%),0.00%
Operating Income,55.71%,7.49%,3.38%,(56.70%),0.00%
Interest Expense,(1.33%),(1.93%),(1.96%),(4.75%),0.00%
Interest And Investment Income,67.47%,25.88%,34.14%,(23.09%),0.00%
Net Interest Expenses,-4.38%,-1.69%,-4.28%,(12.30%),0.00%
Other Non Operating Income (Expenses),114.69%,,,(14.71%),0.00%
"EBT, Excl. Unusual Items",68.81%,6.82%,5.26%,(68.51%),0.00%
"EBT, Incl. Unusual Items",68.23%,9.65%,(1.22%),(80.36%),0.00%
Income Tax Expense,206.29%,(55.16%),(17.31%),,0.00%
Earnings From Continuing Operations,14.63%,76.87%,3.01%,(66.18%),0.00%
Net Income to Company,14.63%,76.87%,3.01%,(66.18%),0.00%
Net Income,14.63%,76.87%,3.01%,(66.18%),0.00%
Preferred Dividend and Other Adjustments,13.12%,47.69%,8.33%,(68.71%),0.00%
NI to Common Incl Extra Items,14.64%,77.07%,2.98%,(66.16%),0.00%
NI to Common Excl. Extra Items,14.64%,77.07%,2.98%,(66.16%),0.00%
Revenue Per Share,16.01%,10.62%,8.56%,(30.34%),0.00%
Basic EPS,13.94%,77.42%,4.48%,(66.03%),0.00%
Basic EPS - Continuing Ops,13.94%,77.42%,4.48%,(66.03%),0.00%
Basic Weighted Average Shares Outst.,0.43%,0.03%,(1.38%),(0.33%),0.00%
Diluted EPS,13.71%,76.77%,4.72%,(66.08%),0.00%
Diluted EPS - Continuing Ops,13.71%,76.77%,4.72%,(66.08%),0.00%
Diluted Weighted Average Shares Outst.,0.66%,0.13%,(1.65%),(0.25%),0.00%
Normalized Basic EPS,68.21%,6.90%,6.71%,(68.44%),0.00%
Normalized Diluted EPS,67.96%,6.75%,7.15%,(68.45%),0.00%
Dividend Per Share,3.61%,0.00%,1.16%,(74.14%),0.00%
Payout Ratio,(8.11%),(43.38%),(4.19%),55.35%,0.00%
EBITDA,51.35%,9.38%,4.22%,(50.47%),0.00%
EBITA,55.68%,9.88%,3.65%,(54.57%),0.00%
EBIT,55.71%,7.49%,3.38%,(56.70%),0.00%
EBITDAR,,,,(49.08%),
Effective Tax Rate,82.04%,(59.10%),(16.28%),,0.00%
Normalized Net Income,68.81%,6.82%,5.26%,(68.51%),0.00%
Interest Capitalized,,,,(50.00%),
R&D Expense From Footnotes,(0.85%),(4.27%),(13.39%),50.52%,0.00%
Foreign Sales,13.06%,9.57%,(3.61%),(38.71%),
