Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.89%,12.07%,3.39%,(7.86%),(11.35%)
Total Revenues,6.89%,12.07%,3.39%,(7.86%),(11.35%)
Cost Of Revenues,6.72%,11.77%,3.57%,(9.25%),(12.56%)
Gross Profit,7.29%,12.74%,2.98%,(4.60%),(8.60%)
Selling General & Admin Expenses,8.64%,10.01%,(2.55%),(5.17%),(8.19%)
Depreciation & Amortization,0.49%,3.54%,0.70%,(2.60%),(3.12%)
Other Operating Expense/(Income),(7.05%),3.66%,3.37%,9.03%,13.04%
Total Operating Expenses,5.16%,7.45%,(1.28%),(4.03%),(6.04%)
Operating Income,21.84%,43.98%,21.73%,(6.65%),(16.81%)
Interest Expense,(4.03%),-4.17%,-1.37%,-7.62%,-8.29%
Interest And Investment Income,141.96%,55.93%,42.90%,(18.10%),(31.54%)
Net Interest Expenses,(2.73%),-5.49%,-2.99%,-7.05%,-7.00%
Other Non Operating Income (Expenses),,-23.52%,,,
"EBT, Excl. Unusual Items",30.95%,172.72%,50.98%,(8.67%),(19.73%)
"EBT, Incl. Unusual Items",573.35%,60.99%,56.90%,17.75%,13.80%
Income Tax Expense,,,75.06%,(21.36%),(26.25%)
Earnings From Continuing Operations,,(34.85%),48.91%,37.95%,33.84%
Net Income to Company,,(34.85%),48.91%,37.95%,33.84%
Net Income,,(34.85%),48.91%,37.95%,33.84%
NI to Common Incl Extra Items,,(34.85%),48.91%,37.95%,33.84%
NI to Common Excl. Extra Items,,(34.85%),48.91%,37.95%,33.84%
Revenue Per Share,7.75%,13.91%,3.95%,(7.25%),(10.39%)
Basic EPS,,(33.96%),49.59%,38.88%,35.30%
Basic EPS - Continuing Ops,,(33.96%),49.59%,38.88%,35.30%
Basic Weighted Average Shares Outst.,(0.80%),(1.62%),(0.54%),(0.66%),(1.08%)
Diluted EPS,,(34.09%),50.00%,39.08%,35.02%
Diluted EPS - Continuing Ops,,(34.09%),50.00%,39.08%,35.02%
Diluted Weighted Average Shares Outst.,(0.58%),(1.50%),(0.37%),(0.78%),(1.22%)
Normalized Basic EPS,31.67%,173.75%,52.49%,(7.95%),(18.85%)
Normalized Diluted EPS,31.37%,179.81%,51.72%,(7.74%),(18.73%)
EBITDA,6.21%,15.95%,8.72%,(4.33%),(9.36%)
EBITA,13.72%,32.50%,18.69%,(5.52%),(14.99%)
EBIT,21.84%,43.98%,21.73%,(6.65%),(16.81%)
EBITDAR,5.41%,15.16%,7.67%,(6.25%),
Effective Tax Rate,,,11.58%,(33.22%),(35.19%)
Normalized Net Income,30.95%,172.72%,50.98%,(8.67%),(19.73%)
Interest on Long-Term Debt,(2.34%),(4.17%),(1.37%),(7.62%),
Foreign Sales,,,(6.51%),(14.18%),
