Income Statement,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,6.90%,20.80%,25.52%,(6.05%),(4.59%)
Total Revenues,6.90%,20.80%,25.52%,(6.05%),(4.59%)
Cost Of Revenues,9.96%,21.03%,24.96%,(9.83%),(5.26%)
Gross Profit,(9.20%),19.34%,29.14%,17.59%,(1.13%)
Selling General & Admin Expenses,0.94%,3.64%,2.69%,22.39%,19.92%
Total Operating Expenses,0.94%,3.64%,2.69%,22.39%,19.92%
Operating Income,(29.64%),64.71%,77.25%,12.53%,(17.99%)
Interest Expense,-29.89%,-7.23%,(74.26%),-13.36%,-16.06%
Net Interest Expenses,-29.89%,-7.23%,(74.26%),-13.36%,-16.06%
"EBT, Excl. Unusual Items",(29.52%),100.06%,77.93%,18.30%,(18.28%)
"EBT, Incl. Unusual Items",(13.85%),152.68%,62.33%,38.11%,(14.74%)
Income Tax Expense,9.30%,97.35%,131.14%,32.71%,(11.73%)
Earnings From Continuing Operations,(19.07%),169.53%,46.99%,40.01%,(15.67%)
Earnings Of Discontinued Operations,-46.91%,,,,(17.69%)
Net Income to Company,(15.39%),198.94%,43.02%,41.10%,(15.67%)
Net Income,(15.39%),198.94%,43.02%,41.10%,(15.67%)
NI to Common Incl Extra Items,(15.39%),198.94%,43.02%,41.10%,(15.67%)
NI to Common Excl. Extra Items,(19.07%),169.53%,46.99%,40.01%,(15.67%)
Revenue Per Share,6.50%,19.59%,24.45%,(6.91%),(5.63%)
Basic EPS,(16.54%),196.40%,41.27%,39.90%,(16.59%)
Basic EPS - Continuing Ops,(19.66%),169.22%,45.43%,38.47%,(16.59%)
Basic Weighted Average Shares Outst.,0.38%,1.01%,0.87%,0.92%,1.10%
Diluted EPS,(15.48%),191.92%,42.24%,39.76%,(16.87%)
Diluted EPS - Continuing Ops,(18.87%),165.12%,46.49%,38.32%,(16.87%)
Diluted Weighted Average Shares Outst.,0.64%,0.67%,0.83%,0.99%,1.02%
Normalized Basic EPS,(29.63%),96.26%,76.72%,16.98%,(19.18%)
Normalized Diluted EPS,(29.63%),98.11%,76.64%,17.01%,(19.10%)
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,18.56%,(66.21%),(29.51%),(28.47%),19.78%
EBITDA,(18.38%),36.01%,34.83%,21.37%,(8.85%)
EBITA,(29.79%),63.78%,42.94%,29.60%,(17.99%)
EBIT,(29.64%),64.71%,77.25%,12.53%,(17.99%)
EBITDAR,(17.24%),,,,
Effective Tax Rate,26.85%,(21.90%),42.38%,(3.93%),3.52%
Normalized Net Income,(29.52%),100.06%,77.93%,18.30%,(18.28%)
Interest Capitalized,173.67%,(25.51%),(95.89%),733.33%,
Foreign Sales,366.15%,(69.21%),(10.63%),(13.58%),
