Income Statement,Jul 2017,Jul 2018,Jul 2019,Jul 2020,TTM
Revenues,16.21%,13.21%,5.30%,10.66%,4.70%
Total Revenues,16.21%,13.21%,5.30%,10.66%,4.70%
Cost Of Revenues,14.20%,13.14%,7.11%,13.43%,5.12%
Gross Profit,18.50%,13.30%,3.33%,7.52%,4.22%
Selling General & Admin Expenses,19.94%,11.88%,6.91%,18.13%,6.24%
R&D Expenses,19.19%,34.19%,27.08%,3.36%,(0.07%)
Total Operating Expenses,19.88%,13.51%,8.65%,16.63%,5.65%
Operating Income,15.60%,12.83%,(8.27%),(15.99%),0.50%
Interest Expense,(29.61%),(22.91%),(79.71%),(335.09%),(169.15%)
Net Interest Expenses,(29.61%),(22.91%),(79.71%),(335.09%),(169.15%)
"EBT, Excl. Unusual Items",15.26%,12.32%,(11.97%),(46.13%),(31.53%)
"EBT, Incl. Unusual Items",13.10%,10.62%,(35.91%),(90.77%),68.00%
Income Tax Expense,2.58%,(24.05%),(23.40%),,(55.99%)
Earnings From Continuing Operations,19.06%,27.55%,(39.54%),(75.10%),127.94%
Net Income to Company,19.06%,27.55%,(39.54%),(75.10%),127.94%
Net Income,19.06%,27.55%,(39.54%),(75.10%),127.94%
Preferred Dividend and Other Adjustments,(11.68%),(25.75%),(84.06%),(98.04%),(50.00%)
NI to Common Incl Extra Items,19.31%,27.87%,(39.38%),(75.07%),127.95%
NI to Common Excl. Extra Items,19.31%,27.87%,(39.38%),(75.07%),127.95%
Revenue Per Share,15.86%,12.96%,4.95%,9.24%,4.25%
Basic EPS,18.81%,27.63%,(39.51%),(75.42%),126.99%
Basic EPS - Continuing Ops,18.81%,27.63%,(39.51%),(75.42%),126.99%
Basic Weighted Average Shares Outst.,0.30%,0.24%,0.32%,1.29%,0.42%
Diluted EPS,18.75%,27.49%,(39.51%),(75.76%),123.26%
Diluted EPS - Continuing Ops,18.75%,27.49%,(39.51%),(75.76%),123.26%
Diluted Weighted Average Shares Outst.,0.37%,0.22%,0.29%,1.32%,1.83%
Normalized Basic EPS,14.79%,11.88%,(12.21%),(46.84%),(31.82%)
Normalized Diluted EPS,14.59%,12.36%,(12.33%),(46.93%),(32.76%)
Dividend Per Share,16.67%,21.43%,17.65%,(47.50%),
Payout Ratio,(2.00%),(4.78%),94.74%,115.00%,(100.00%)
EBITDA,17.24%,12.69%,(1.99%),1.12%,9.61%
EBITA,16.37%,12.30%,(4.95%),(5.04%),7.07%
EBIT,15.60%,12.83%,(8.27%),(15.99%),0.50%
EBITDAR,17.16%,12.76%,(1.43%),(1.80%),
Effective Tax Rate,(9.29%),(31.34%),19.49%,,(73.80%)
Normalized Net Income,15.26%,12.32%,(11.97%),(46.13%),(31.53%)
R&D Expense From Footnotes,34.77%,18.67%,27.08%,3.36%,(0.07%)
Foreign Sales,13.89%,33.83%,10.66%,8.37%,
