Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,40.95%,47.05%,(11.60%),(30.37%),(10.14%)
Other Revenues,69.65%,11.51%,(46.36%),59.28%,(46.12%)
Total Revenues,41.33%,46.47%,(12.02%),(29.69%),(11.05%)
Cost Of Revenues,1.67%,(10.48%),3.70%,(12.22%),(12.70%)
Gross Profit,112.52%,95.38%,(18.21%),(38.41%),(10.06%)
Selling General & Admin Expenses,(18.12%),48.92%,6.30%,(23.16%),(21.54%)
Depreciation & Amortization,(1.88%),19.75%,3.05%,(1.31%),(2.12%)
Other Operating Expense/(Income),,,,-70.62%,-98.22%
Total Operating Expenses,(22.82%),24.35%,14.49%,(28.83%),2.62%
Operating Income,,976.76%,(65.07%),(83.43%),(39.54%)
Interest Expense,-11.39%,-9.61%,(3.73%),(12.83%),-3.90%
Interest And Investment Income,,,,0.00%,0.00%
Net Interest Expenses,-11.39%,-9.61%,(2.36%),(13.01%),-3.95%
Other Non Operating Income (Expenses),,,,"(1,096.40%)",(43.18%)
"EBT, Excl. Unusual Items",-88.75%,,(91.73%),,
"EBT, Incl. Unusual Items",,826.51%,(94.57%),,-97.01%
Income Tax Expense,(412.91%),,(87.13%),,
Earnings From Continuing Operations,,199.32%,(96.38%),,-87.78%
Net Income to Company,,131.94%,(96.38%),,-87.78%
Minority Interest,,,(30.15%),-51.16%,-72.63%
Net Income,,109.20%,,(499.25%),-82.43%
NI to Common Incl Extra Items,,109.20%,,(499.25%),-82.43%
NI to Common Excl. Extra Items,,169.98%,,(499.25%),-82.43%
Revenue Per Share,41.54%,57.75%,(2.10%),(32.72%),(19.36%)
Basic EPS,,125.97%,,(478.16%),-84.07%
Basic EPS - Continuing Ops,,190.78%,,(478.16%),-84.07%
Basic Weighted Average Shares Outst.,(0.24%),(7.20%),(10.18%),4.46%,10.30%
Diluted EPS,,124.85%,,(478.57%),-84.03%
Diluted EPS - Continuing Ops,,189.84%,,(478.57%),-84.03%
Diluted Weighted Average Shares Outst.,0.68%,(7.07%),(11.14%),4.46%,10.30%
Normalized Basic EPS,-88.71%,,,(55.48%),-41.71%
Normalized Diluted EPS,-88.82%,,,(55.48%),-41.71%
EBITDA,,69.10%,12.36%,(47.75%),(48.59%)
EBITA,,991.17%,(62.48%),(75.83%),(36.64%)
EBIT,,976.76%,(65.07%),(83.43%),(39.54%)
EBITDAR,,67.97%,19.39%,(44.74%),
Effective Tax Rate,,,136.86%,(37.86%),
Normalized Net Income,-88.75%,,,(61.23%),-35.71%
Interest Capitalized,,,,(75.78%),
Interest on Long-Term Debt,(11.39%),(9.61%),7.49%,9.74%,
