Income Statement,Oct 2016,Sep 2017,Sep 2018,Sep 2019,Oct 2020,TTM
Revenues,857.4,1723.3,1902.6,1430.6,1229.0,1234.3
Total Revenues,857.4,1723.3,1902.6,1430.6,1229.0,1234.3
Cost Of Revenues,476.0,946.6,1071.9,924.5,818.1,812.7
Gross Profit,381.4,776.7,830.7,506.2,410.9,421.6
Selling General & Admin Expenses,181.7,291.1,314.5,296.0,288.8,293.4
R&D Expenses,69.2,102.7,110.5,94.5,94.2,93.7
Total Operating Expenses,253.8,409.8,435.7,399.6,387.0,390.3
Operating Income,127.6,366.9,395.0,106.6,23.9,31.4
Interest Expense,(1.3),(34.4),(25.8),(19.1),(17.0),(17.4)
Interest And Investment Income,1.1,1.1,1.6,1.1,1.1,0.9
Net Interest Expenses,(0.2),(33.3),(24.3),(18.0),(16.0),(16.5)
Currency Exchange Gains (Loss),(6.3),4.7,(11.3),(5.8),(3.5),(3.4)
Other Non Operating Income (Expenses),1.8,5.3,3.5,1.6,6.5,7.7
"EBT, Excl. Unusual Items",122.9,343.6,362.9,84.4,10.9,19.1
"EBT, Incl. Unusual Items",122.9,302.1,361.6,60.0,(442.7),(435.6)
Income Tax Expense,35.4,93.4,114.2,6.2,(28.6),(15.8)
Earnings From Continuing Operations,87.5,208.6,247.4,53.8,(414.1),(419.8)
Earnings Of Discontinued Operations,,(1.5),(0.0),,,
Net Income to Company,87.5,207.1,247.4,53.8,(414.1),(419.8)
Net Income,87.5,207.1,247.4,53.8,(414.1),(419.8)
NI to Common Incl Extra Items,87.5,207.1,247.4,53.8,(414.1),(419.8)
NI to Common Excl. Extra Items,87.5,208.6,247.4,53.8,(414.1),(419.8)
Revenue Per Share,$35.51,$70.38,$77.43,$59.32,$50.99,$51.05
Basic EPS,$3.62,$8.46,$10.07,$2.23,($17.18),($17.36)
Basic EPS - Continuing Ops,$3.62,$8.52,$10.07,$2.23,($17.18),($17.36)
Basic Weighted Average Shares Outst.,24.1,24.5,24.6,24.1,24.1,24.2
Diluted EPS,$3.58,$8.36,$9.95,$2.22,($17.18),($17.36)
Diluted EPS - Continuing Ops,$3.58,$8.42,$9.95,$2.22,($17.18),($17.36)
Diluted Weighted Average Shares Outst.,24.4,24.8,24.9,24.3,24.1,24.2
Normalized Basic EPS,$3.18,$8.77,$9.23,$2.19,$0.28,$0.49
Normalized Diluted EPS,$3.15,$8.67,$9.13,$2.17,$0.28,$0.49
EBITDA,162.0,471.1,508.4,223.0,100.7,95.9
EBITA,136.1,427.4,455.0,168.1,54.0,51.8
EBIT,127.6,366.9,395.0,106.6,23.9,31.4
EBITDAR,174.6,487.6,530.5,245.9,122.1,
Effective Tax Rate,28.8%,30.9%,31.6%,10.4%,NM,NM
Normalized Net Income,76.8,214.7,226.8,52.8,6.8,11.9
Interest on Long-Term Debt,,,,18.2,16.2,
R&D Expense From Footnotes,84.5,122.1,135.8,121.2,119.0,118.5
Foreign Sales,652.4,1425.6,1593.1,1091.1,932.9,
