Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.75%,13.63%,8.57%,(17.78%),(13.44%)
Total Revenues,3.75%,13.63%,8.57%,(17.78%),(13.44%)
Cost Of Revenues,3.11%,8.41%,7.83%,(16.32%),(14.62%)
Gross Profit,4.47%,19.52%,9.33%,(19.25%),(12.21%)
Selling General & Admin Expenses,13.78%,15.17%,2.62%,(8.08%),(12.23%)
Depreciation & Amortization,,,,6.42%,6.42%
Other Operating Expense/(Income),(35.70%),(13.56%),-1.89%,-21.82%,-20.27%
Total Operating Expenses,5.59%,15.19%,8.42%,(7.12%),(11.16%)
Operating Income,0.82%,34.27%,11.98%,(53.63%),(16.13%)
Interest Expense,-58.79%,,,,
Interest And Investment Income,125.41%,118.74%,(15.94%),(94.76%),
Net Interest Expenses,324.74%,141.70%,(15.94%),(94.76%),
Currency Exchange Gains (Loss),,,(87.67%),,
Other Non Operating Income (Expenses),,,,134.21%,143.45%
"EBT, Excl. Unusual Items",2.12%,36.02%,11.86%,(54.21%),(19.19%)
"EBT, Incl. Unusual Items",3.83%,35.23%,12.40%,(65.59%),(33.88%)
Income Tax Expense,164.15%,(44.46%),(12.63%),(57.95%),(23.78%)
Earnings From Continuing Operations,(43.40%),144.80%,20.20%,(67.32%),(36.19%)
Net Income to Company,(43.40%),144.80%,20.20%,(67.32%),(36.19%)
Minority Interest,(9.95%),-6.95%,,,
Net Income,(45.22%),155.18%,23.20%,(67.32%),(36.19%)
NI to Common Incl Extra Items,(45.22%),155.18%,23.20%,(67.32%),(36.19%)
NI to Common Excl. Extra Items,(45.22%),155.18%,23.20%,(67.32%),(36.19%)
Revenue Per Share,3.64%,13.88%,11.40%,(15.97%),(11.76%)
Basic EPS,(45.20%),155.20%,26.54%,(66.59%),(34.95%)
Basic EPS - Continuing Ops,(45.20%),155.20%,26.54%,(66.59%),(34.95%)
Basic Weighted Average Shares Outst.,0.11%,(0.21%),(2.55%),(2.15%),(1.90%)
Diluted EPS,(45.22%),155.70%,26.77%,(66.46%),(34.79%)
Diluted EPS - Continuing Ops,(45.22%),155.70%,26.77%,(66.46%),(34.79%)
Diluted Weighted Average Shares Outst.,(0.25%),(0.07%),(2.71%),(2.51%),(2.12%)
Normalized Basic EPS,1.63%,38.05%,18.32%,(53.22%),(17.62%)
Normalized Diluted EPS,1.99%,38.32%,18.31%,(52.99%),(17.44%)
Dividend Per Share,5.80%,23.29%,6.67%,,
Payout Ratio,93.09%,(51.77%),(15.64%),(19.23%),(58.90%)
EBITDA,1.85%,26.78%,10.59%,(46.14%),(14.83%)
EBITA,0.34%,33.43%,11.88%,(53.35%),(16.14%)
EBIT,0.82%,34.27%,11.98%,(53.63%),(16.13%)
EBITDAR,3.78%,35.55%,8.23%,(30.74%),
Effective Tax Rate,154.36%,(58.93%),(22.27%),22.21%,15.27%
Normalized Net Income,1.79%,37.96%,15.26%,(54.21%),(19.19%)
Interest on Long-Term Debt,(58.79%),,,,
Foreign Earnings,,32.53%,13.43%,(36.58%),
Foreign Sales,8.53%,13.51%,2.39%,(18.35%),
