Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,20.37%,13.59%,4.76%,5.61%,5.90%
Other Revenue,20.23%,9.66%,7.74%,7.86%,7.69%
Total Revenues,20.35%,12.99%,5.20%,5.95%,6.18%
Property Expenses,19.29%,15.89%,6.73%,8.28%,8.65%
Selling General & Admin Exp.,5.41%,9.67%,8.33%,2.34%,(0.11%)
Depreciation & Amortization,18.96%,9.58%,7.97%,10.46%,9.02%
Total Operating Expenses,16.77%,12.63%,7.41%,8.14%,7.44%
Operating Income,31.91%,13.99%,(1.03%),(0.75%),2.18%
Total Interest Expense,(91.99%),(47.12%),(17.41%),(8.09%),(6.06%)
Net Interest Expenses,(91.99%),(47.12%),(17.41%),(8.09%),(6.06%)
"EBT, Excl. Unusual Items",22.70%,6.05%,(7.17%),(4.47%),0.43%
"EBT, Incl. Unusual Items",22.70%,6.05%,(7.17%),(4.47%),0.43%
Income Tax Expense,46.22%,,,(16.42%),(11.11%)
Earnings From Continuing Operations,22.67%,6.24%,(7.24%),(4.46%),0.44%
Net Income to Company,22.67%,6.24%,(7.24%),(4.46%),0.44%
Minority Interest,(10.44%),(12.50%),-19.57%,-34.01%,-40.18%
Net Income,27.50%,4.10%,(2.67%),4.57%,12.57%
Pref. Dividends and Other Adj.,46.92%,,,,
NI to Common Incl Extra Items,24.29%,24.47%,(2.67%),4.57%,12.57%
NI to Common Excl. Extra Items,24.29%,24.47%,(2.67%),4.57%,12.57%
Revenue Per Share,14.98%,9.21%,0.05%,(3.72%),(5.79%)
Basic EPS,18.76%,20.49%,(7.50%),(4.83%),(0.12%)
Basic EPS - Continuing Ops,18.76%,20.49%,(7.50%),(4.83%),(0.12%)
Basic Weighted Average Shares Outst.,4.66%,3.45%,5.18%,10.03%,12.70%
Diluted EPS,19.48%,20.65%,(7.66%),(4.88%),(0.53%)
Diluted EPS - Continuing Ops,19.48%,20.65%,(7.66%),(4.88%),(0.53%)
Diluted Weighted Average Shares Outst.,4.05%,3.17%,5.14%,9.99%,12.70%
Normalized Basic EPS,26.80%,(1.49%),(2.43%),3.26%,10.06%
Normalized Diluted EPS,27.27%,(1.10%),(2.90%),2.80%,10.06%
Dividend Per Share,49.79%,15.64%,14.98%,2.73%,0.41%
Payout Ratio,24.33%,7.51%,19.17%,0.92%,(8.30%)
FFO,20.01%,14.68%,1.18%,4.38%,5.58%
FFO Payout Ratio %,,,14.64%,1.11%,(2.23%)
AFFO,20.01%,14.68%,1.18%,4.38%,
Funds Available for Distribution,20.01%,14.68%,1.18%,4.38%,
FFO Per Share (Diluted),19.41%,14.22%,0.79%,4.12%,5.12%
FFO Shares (Diluted),0.57%,0.29%,0.37%,0.40%,0.44%
Adjusted FFO Per Share (Diluted),,14.28%,0.86%,4.03%,
EBITDA,25.03%,11.78%,3.58%,5.13%,5.84%
EBITA,32.04%,14.08%,(0.80%),(0.67%),2.18%
EBIT,31.91%,13.99%,(1.03%),(0.75%),2.18%
EBITDAR,14.15%,20.91%,4.85%,5.82%,
Effective Tax Rate,15.20%,,,(15.57%),(11.59%)
Normalized Net Income,32.84%,1.61%,2.28%,13.21%,24.04%
Interest Capitalized,(20.36%),70.48%,143.93%,(6.40%),
