Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1681.4,1857.6,2266.1,2621.2,2923.9,3041.4
Total Revenues,1681.4,1857.6,2266.1,2621.2,2923.9,3041.4
Cost Of Revenues,1023.3,1135.7,1423.4,1656.2,1845.0,1906.2
Gross Profit,658.1,721.9,842.7,965.0,1078.9,1135.2
Selling General & Admin Expenses,343.3,367.4,435.6,511.7,526.7,543.8
Total Operating Expenses,385.0,408.8,500.5,601.2,638.6,656.7
Operating Income,273.1,313.1,342.2,363.8,440.3,478.5
Interest Expense,(27.7),(29.8),(63.8),(60.9),(86.4),(101.1)
Interest And Investment Income,1.3,0.7,0.8,1.5,0.8,0.6
Net Interest Expenses,(26.4),(29.1),(63.0),(59.4),(85.6),(100.5)
Currency Exchange Gains (Loss),3.4,,,(9.6),11.9,2.7
Other Non Operating Income (Expenses),(1.8),5.1,(4.0),2.4,3.3,12.9
"EBT, Excl. Unusual Items",258.6,311.9,291.2,317.9,470.7,489.8
"EBT, Incl. Unusual Items",222.9,297.0,281.7,304.1,447.1,458.0
Income Tax Expense,66.8,171.4,54.5,50.0,81.8,79.6
Earnings From Continuing Operations,156.1,125.6,227.2,254.1,365.3,378.4
Earnings Of Discontinued Operations,0.3,(0.1),1.5,,,
Net Income to Company,156.4,125.4,228.7,254.1,365.3,378.4
Minority Interest,(1.6),(2.1),(2.4),(2.0),(1.0),(3.3)
Net Income,154.8,123.4,226.4,252.0,364.3,375.1
NI to Common Incl Extra Items,154.8,123.4,226.4,252.0,364.3,375.1
NI to Common Excl. Extra Items,154.5,123.5,224.9,252.0,364.3,375.1
Revenue Per Share,$35.76,$39.12,$47.26,$53.79,$59.01,$61.14
Basic EPS,$3.29,$2.60,$4.72,$5.17,$7.35,$7.54
Basic EPS - Continuing Ops,$3.29,$2.60,$4.69,$5.17,$7.35,$7.54
Basic Weighted Average Shares Outst.,47.0,47.5,47.9,48.7,49.6,49.7
Diluted EPS,$3.23,$2.54,$4.62,$5.07,$7.20,$7.36
Diluted EPS - Continuing Ops,$3.22,$2.54,$4.59,$5.07,$7.20,$7.36
Diluted Weighted Average Shares Outst.,48.0,48.6,49.0,49.7,50.6,50.9
Normalized Basic EPS,$3.40,$4.06,$3.75,$4.04,$5.92,$6.09
Normalized Diluted EPS,$3.34,$3.97,$3.67,$3.96,$5.79,$5.95
EBITDA,399.8,444.2,504.0,561.9,675.2,717.7
EBITA,314.8,354.4,407.0,453.3,552.2,591.4
EBIT,273.1,313.1,342.2,363.8,440.3,478.5
EBITDAR,421.6,,,596.0,714.0,
Effective Tax Rate,30.0%,57.7%,19.3%,16.5%,18.3%,17.4%
Normalized Net Income,160.0,192.8,179.7,196.7,293.2,302.8
Interest on Long-Term Debt,,,,2.9,1.3,
Foreign Sales,831.0,898.3,998.5,1150.1,1296.8,
