Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.48%,21.99%,15.67%,11.55%,11.67%
Total Revenues,10.48%,21.99%,15.67%,11.55%,11.67%
Cost Of Revenues,10.98%,25.33%,16.35%,11.40%,10.87%
Gross Profit,9.69%,16.74%,14.52%,11.80%,13.03%
Selling General & Admin Expenses,7.04%,18.56%,17.46%,2.94%,4.63%
Total Operating Expenses,6.19%,22.42%,20.13%,6.22%,6.29%
Operating Income,14.62%,9.31%,6.31%,21.03%,23.79%
Interest Expense,(7.46%),(114.17%),-4.53%,(41.97%),(53.25%)
Interest And Investment Income,(47.49%),17.68%,87.44%,(45.20%),(66.67%)
Net Interest Expenses,(10.20%),(116.45%),-5.72%,(44.20%),(56.34%)
Other Non Operating Income (Expenses),,,,37.88%,
"EBT, Excl. Unusual Items",20.61%,(6.63%),9.16%,48.07%,60.00%
"EBT, Incl. Unusual Items",33.21%,(5.14%),7.95%,47.04%,56.16%
Income Tax Expense,156.41%,(68.22%),(8.15%),63.54%,80.63%
Earnings From Continuing Operations,(19.54%),80.93%,11.81%,43.79%,51.84%
Net Income to Company,(19.77%),82.32%,11.08%,43.79%,51.84%
Minority Interest,(30.79%),(12.27%),-13.14%,-50.93%,(114.73%)
Net Income,(20.30%),83.51%,11.33%,44.55%,51.45%
NI to Common Incl Extra Items,(20.30%),83.51%,11.33%,44.55%,51.45%
NI to Common Excl. Extra Items,(20.06%),82.09%,12.07%,44.55%,51.45%
Revenue Per Share,9.40%,20.81%,13.82%,9.70%,9.79%
Basic EPS,(21.03%),81.59%,9.57%,42.21%,48.90%
Basic EPS - Continuing Ops,(20.95%),80.38%,10.27%,42.21%,48.90%
Basic Weighted Average Shares Outst.,0.99%,0.98%,1.63%,1.68%,1.71%
Diluted EPS,(21.45%),81.92%,9.74%,42.01%,47.92%
Diluted EPS - Continuing Ops,(21.12%),80.71%,10.46%,42.01%,47.92%
Diluted Weighted Average Shares Outst.,1.26%,0.93%,1.38%,1.85%,2.15%
Normalized Basic EPS,19.46%,(7.70%),7.62%,46.47%,56.88%
Normalized Diluted EPS,18.89%,(7.67%),7.83%,46.30%,56.20%
EBITDA,11.11%,13.46%,11.49%,20.17%,20.31%
EBITA,12.58%,14.84%,11.37%,21.80%,22.04%
EBIT,14.62%,9.31%,6.31%,21.03%,23.79%
EBITDAR,,,,19.80%,
Effective Tax Rate,92.49%,(66.50%),(14.90%),11.23%,15.66%
Normalized Net Income,20.51%,(6.83%),9.46%,49.10%,59.55%
Interest on Long-Term Debt,,,,(55.71%),
Foreign Sales,8.10%,11.15%,15.19%,12.75%,
