Income Statement,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Revenues,8.43%,1.65%,(5.64%),7.84%,7.84%
Total Revenues,8.43%,1.65%,(5.64%),7.84%,7.84%
Cost Of Revenues,15.21%,19.21%,0.06%,(6.58%),(6.58%)
Gross Profit,7.40%,(1.21%),(6.76%),10.89%,10.89%
Selling General & Admin Expenses,6.04%,(6.34%),(10.08%),0.45%,0.45%
R&D Expenses,14.42%,1.78%,18.75%,16.14%,16.14%
Depreciation & Amortization,12.58%,9.01%,49.24%,(7.51%),(7.51%)
Total Operating Expenses,7.33%,(4.87%),(4.32%),3.37%,3.37%
Operating Income,-23.83%,,(72.97%),734.48%,734.48%
Interest Expense,(21.32%),,,,
Interest And Investment Income,91.57%,147.71%,(10.09%),(79.28%),(79.28%)
Net Interest Expenses,417.96%,417.24%,(10.09%),(79.28%),(79.28%)
"EBT, Excl. Unusual Items",(75.53%),,(59.92%),355.62%,355.62%
"EBT, Incl. Unusual Items",(75.53%),,,(69.26%),(69.26%)
Income Tax Expense,,(88.24%),,,
Earnings From Continuing Operations,"(12,085.04%)",,,(448.34%),(448.34%)
Net Income to Company,"(12,085.04%)",,,(448.34%),(448.34%)
Net Income,"(12,085.04%)",,,(448.34%),(448.34%)
NI to Common Incl Extra Items,"(12,085.04%)",,,(448.34%),(448.34%)
NI to Common Excl. Extra Items,"(12,085.04%)",,,(448.34%),(448.34%)
Revenue Per Share,7.13%,0.35%,(5.54%),5.86%,5.85%
Basic EPS,"(13,581.97%)",,,(452.92%),(438.25%)
Basic EPS - Continuing Ops,"(13,581.97%)",,,(452.92%),(438.25%)
Basic Weighted Average Shares Outst.,1.21%,1.29%,(0.07%),1.88%,1.88%
Diluted EPS,"(13,600.00%)",,,(452.92%),(438.25%)
Diluted EPS - Continuing Ops,"(13,600.00%)",,,(452.92%),(438.25%)
Diluted Weighted Average Shares Outst.,1.21%,5.21%,(3.80%),1.88%,1.88%
Normalized Basic EPS,(61.17%),,(59.59%),333.71%,347.23%
Normalized Diluted EPS,(61.17%),,(58.44%),333.71%,347.23%
EBITDA,17.54%,222.59%,(46.09%),255.02%,255.02%
EBITA,-23.83%,,(69.41%),637.39%,637.39%
EBIT,-23.83%,,(72.97%),734.48%,734.48%
EBITDAR,17.64%,98.38%,(34.64%),,
Effective Tax Rate,,,(16.47%),,
Normalized Net Income,(75.53%),,(59.92%),355.62%,355.62%
Interest on Long-Term Debt,21.32%,,,,
R&D Expense From Footnotes,14.42%,1.78%,18.75%,21.25%,21.25%
Foreign Sales,150.09%,1.65%,(5.64%),7.84%,
