Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,3391.9,3662.3,3387.7,3363.9,3571.9,3571.9
Total Revenues,3391.9,3662.3,3387.7,3363.9,3571.9,3571.9
Cost Of Revenues,2635.3,2875.7,2646.4,2589.1,2688.8,2688.8
Gross Profit,756.6,786.6,741.4,774.8,883.1,883.1
Selling General & Admin Expenses,318.6,347.9,311.1,367.2,379.5,379.5
Depreciation & Amortization,289.9,302.1,321.2,325.5,350.2,350.2
Total Operating Expenses,608.5,650.0,632.3,692.7,729.7,729.7
Operating Income,148.1,136.6,109.1,82.2,153.5,153.5
Interest Expense,(94.2),(88.9),(86.4),(78.7),(72.7),(72.7)
Net Interest Expenses,(94.2),(88.9),(86.4),(78.7),(72.7),(72.7)
Currency Exchange Gains (Loss),(1.9),(6.9),(6.4),(1.3),(2.3),(2.3)
Other Non Operating Income (Expenses),(6.4),(4.4),(6.0),(2.5),(5.2),(5.2)
"EBT, Excl. Unusual Items",116.1,64.8,169.4,364.6,391.5,391.5
"EBT, Incl. Unusual Items",122.5,64.2,118.0,380.4,353.6,353.6
Income Tax Expense,15.3,(69.2),12.0,59.5,53.3,53.3
Earnings From Continuing Operations,107.2,133.4,105.9,321.0,300.3,300.3
Net Income to Company,107.2,133.4,105.9,321.0,300.3,300.3
Minority Interest,(4.9),(4.9),(4.4),(8.4),(3.5),(3.5)
Net Income,102.3,128.5,101.5,312.6,296.8,296.8
NI to Common Incl Extra Items,102.3,128.5,101.5,312.6,296.8,296.8
NI to Common Excl. Extra Items,102.3,128.5,101.5,312.6,296.8,296.8
Revenue Per Share,$20.61,$22.23,$20.56,$20.43,$21.97,$21.97
Basic EPS,$0.62,$0.78,$0.62,$1.90,$1.83,$1.83
Basic EPS - Continuing Ops,$0.62,$0.78,$0.62,$1.90,$1.83,$1.83
Basic Weighted Average Shares Outst.,164.6,164.8,164.8,164.6,162.6,162.6
Diluted EPS,$0.62,$0.77,$0.60,$1.86,$1.78,$1.78
Diluted EPS - Continuing Ops,$0.62,$0.77,$0.60,$1.86,$1.78,$1.78
Diluted Weighted Average Shares Outst.,165.2,166.7,167.9,168.4,167.2,167.2
Normalized Basic EPS,$0.41,$0.22,$0.62,$1.33,$1.48,$1.48
Normalized Diluted EPS,$0.41,$0.21,$0.60,$1.30,$1.44,$1.44
EBITDA,438.0,438.7,430.2,407.7,503.6,503.6
EBITA,225.8,214.6,184.2,155.8,227.5,227.5
EBIT,148.1,136.6,109.1,82.2,153.5,153.5
EBITDAR,481.6,487.4,482.0,474.7,574.9,574.9
Effective Tax Rate,12.5%,NM,10.2%,15.6%,15.1%,15.1%
Normalized Net Income,67.6,35.6,101.5,219.5,241.2,241.2
Interest on Long-Term Debt,94.2,88.9,86.4,78.7,72.7,72.7
Foreign Sales,1574.3,3662.3,3387.7,3363.9,3571.9,3571.9
