Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,7.97%,(7.50%),(0.70%),6.18%,0.00%
Total Revenues,7.97%,(7.50%),(0.70%),6.18%,0.00%
Cost Of Revenues,9.12%,(7.97%),(2.16%),3.85%,0.00%
Gross Profit,3.96%,(5.75%),4.51%,13.98%,0.00%
Selling General & Admin Expenses,9.19%,(10.57%),18.02%,3.36%,0.00%
Depreciation & Amortization,4.21%,6.32%,1.34%,7.58%,0.00%
Total Operating Expenses,6.82%,(2.72%),9.55%,5.34%,0.00%
Operating Income,(7.77%),(20.15%),(24.66%),86.78%,0.00%
Interest Expense,-5.59%,-2.81%,-8.97%,-7.61%,0.00%
Net Interest Expenses,-5.59%,-2.81%,-8.97%,-7.61%,0.00%
Currency Exchange Gains (Loss),(272.06%),-6.77%,-79.61%,(74.68%),0.00%
Other Non Operating Income (Expenses),-30.76%,(35.73%),-58.63%,(111.56%),0.00%
"EBT, Excl. Unusual Items",(44.12%),161.29%,115.17%,7.39%,0.00%
"EBT, Incl. Unusual Items",(47.61%),83.76%,222.47%,(7.05%),0.00%
Income Tax Expense,,,394.28%,(10.39%),0.00%
Earnings From Continuing Operations,24.37%,(20.55%),202.96%,(6.43%),0.00%
Net Income to Company,24.37%,(20.55%),202.96%,(6.43%),0.00%
Minority Interest,-0.51%,-8.96%,(88.11%),-58.04%,0.00%
Net Income,25.56%,(21.00%),207.99%,(5.05%),0.00%
NI to Common Incl Extra Items,25.56%,(21.00%),207.99%,(5.05%),0.00%
NI to Common Excl. Extra Items,25.56%,(21.00%),207.99%,(5.05%),0.00%
Revenue Per Share,7.85%,(7.52%),(0.62%),7.54%,0.00%
Basic EPS,25.77%,(21.04%),206.25%,(3.91%),0.00%
Basic EPS - Continuing Ops,25.77%,(21.04%),206.25%,(3.91%),0.00%
Basic Weighted Average Shares Outst.,0.09%,0.02%,(0.09%),(1.25%),0.00%
Diluted EPS,24.19%,(22.08%),210.00%,(4.30%),0.00%
Diluted EPS - Continuing Ops,24.19%,(22.08%),210.00%,(4.30%),0.00%
Diluted Weighted Average Shares Outst.,0.92%,0.71%,0.28%,(0.69%),0.00%
Normalized Basic EPS,(47.23%),179.84%,115.04%,11.55%,0.00%
Normalized Diluted EPS,(47.86%),187.72%,117.26%,10.96%,0.00%
EBITDA,0.16%,(1.92%),(5.25%),23.54%,0.00%
EBITA,(4.97%),(14.13%),(15.44%),46.03%,0.00%
EBIT,(7.77%),(20.15%),(24.66%),86.78%,0.00%
EBITDAR,1.20%,(1.09%),(1.53%),21.10%,
Effective Tax Rate,,,53.25%,(3.59%),0.00%
Normalized Net Income,(47.29%),184.63%,116.35%,9.89%,0.00%
Interest on Long-Term Debt,(5.59%),(2.81%),(8.97%),(7.61%),
Foreign Sales,132.63%,(7.50%),(0.70%),6.18%,
