Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,(4.54%),6.32%,6.15%,5.56%,9.64%
Total Revenues,(4.54%),6.32%,6.15%,5.56%,9.64%
Cost Of Revenues,(6.99%),1.76%,0.87%,4.98%,5.11%
Gross Profit,(1.57%),11.54%,11.66%,6.10%,13.87%
Selling General & Admin Expenses,4.03%,3.46%,0.98%,6.87%,4.54%
R&D Expenses,(4.15%),5.25%,3.64%,18.84%,18.84%
Total Operating Expenses,3.76%,3.52%,1.06%,7.26%,4.97%
Operating Income,(19.74%),46.97%,44.61%,3.57%,32.93%
Interest Expense,(25.89%),-37.35%,(1.66%),(8.26%),(54.97%)
Interest And Investment Income,85.24%,292.93%,97.19%,20.45%,(53.10%)
Net Interest Expenses,(21.26%),-76.64%,,62.03%,
Other Non Operating Income (Expenses),869.74%,,,108.91%,
"EBT, Excl. Unusual Items",(20.20%),50.69%,46.55%,3.89%,30.52%
"EBT, Incl. Unusual Items",,,49.04%,3.63%,30.00%
Income Tax Expense,,,(39.21%),0.15%,35.45%
Earnings From Continuing Operations,(95.33%),"1,903.40%",131.05%,4.48%,28.58%
Net Income to Company,(95.33%),"1,903.40%",131.05%,4.48%,28.58%
Net Income,(95.33%),"1,903.40%",131.05%,4.48%,28.58%
NI to Common Incl Extra Items,(95.33%),"1,903.40%",131.05%,4.48%,28.58%
NI to Common Excl. Extra Items,(95.33%),"1,903.40%",131.05%,4.48%,28.58%
Revenue Per Share,(2.88%),7.14%,13.74%,10.23%,12.11%
Basic EPS,(95.25%),"1,901.14%",147.69%,9.06%,31.49%
Basic EPS - Continuing Ops,(95.25%),"1,901.14%",147.69%,9.06%,31.49%
Basic Weighted Average Shares Outst.,(1.71%),(0.76%),(6.67%),(4.24%),(2.21%)
Diluted EPS,(95.18%),"1,888.89%",146.93%,8.82%,31.27%
Diluted EPS - Continuing Ops,(95.18%),"1,888.89%",146.93%,8.82%,31.27%
Diluted Weighted Average Shares Outst.,(2.07%),(1.11%),(6.54%),(4.04%),(2.17%)
Normalized Basic EPS,(18.85%),52.02%,57.14%,8.42%,33.46%
Normalized Diluted EPS,(18.60%),52.46%,56.83%,8.35%,33.41%
EBITDA,(14.59%),33.06%,35.42%,1.52%,29.34%
EBITA,(19.74%),46.97%,47.37%,2.68%,32.07%
EBIT,(19.74%),46.97%,44.61%,3.57%,32.93%
EBITDAR,(10.73%),22.97%,27.41%,4.45%,
Effective Tax Rate,723.45%,,(59.21%),(3.37%),4.19%
Normalized Net Income,(20.20%),50.69%,46.55%,3.89%,30.52%
R&D Expense From Footnotes,(4.15%),5.25%,3.64%,18.84%,18.84%
Foreign Sales,(1.01%),,,(1.49%),
