Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,635.1,695.9,756.6,805.0,787.4,767.7
Other Revenue,115.3,122.1,131.1,138.6,100.7,85.1
Total Revenues,750.4,818.0,887.7,943.6,888.1,852.8
Property Expenses,237.9,258.0,280.9,298.2,305.4,297.9
Selling General & Admin Exp.,35.0,36.2,38.6,38.1,39.6,38.8
Depreciation & Amortization,248.9,276.8,309.9,357.7,385.2,380.3
Total Operating Expenses,521.7,571.0,629.4,694.0,730.3,717.0
Operating Income,228.6,246.9,258.3,249.6,157.8,135.9
Total Interest Expense,(146.1),(145.2),(133.4),(143.3),(142.9),(142.7)
Net Interest Expenses,(146.1),(145.2),(133.4),(143.3),(142.9),(142.7)
Other Non Operating Income,(0.7),2.7,3.7,4.4,0.2,(0.2)
"EBT, Excl. Unusual Items",81.8,104.4,128.6,110.8,15.2,(7.0)
Gain (Loss) on Sale of Assets,14.3,,,,6.4,6.4
"EBT, Incl. Unusual Items",96.1,104.4,128.6,418.7,38.6,16.4
Earnings From Continuing Operations,96.1,104.4,128.6,418.7,38.6,16.4
Net Income to Company,96.1,104.4,128.6,418.7,38.6,16.4
Minority Interest,(10.7),(10.0),(12.5),(55.0),11.9,18.7
Net Income,85.4,94.4,116.1,363.7,50.4,35.1
Pref. Dividends and Other Adj.,0.5,0.6,0.5,1.6,0.8,0.8
NI to Common Incl Extra Items,84.9,93.8,115.5,362.1,49.6,34.3
NI to Common Excl. Extra Items,84.9,93.8,115.5,362.1,49.6,34.3
Revenue Per Share,$5.03,$5.08,$5.23,$5.44,$5.06,$4.86
Basic EPS,$0.57,$0.58,$0.68,$2.09,$0.28,$0.20
Basic EPS - Continuing Ops,$0.57,$0.58,$0.68,$2.09,$0.28,$0.20
Basic Weighted Average Shares Outst.,149.3,160.9,169.9,173.4,175.4,175.4
Diluted EPS,$0.55,$0.58,$0.68,$2.09,$0.28,$0.19
Diluted EPS - Continuing Ops,$0.55,$0.58,$0.68,$2.09,$0.28,$0.19
Diluted Weighted Average Shares Outst.,153.2,161.2,169.9,173.4,175.4,175.4
Normalized Basic EPS,$0.27,$0.34,$0.40,$0.08,$0.12,$0.08
Normalized Diluted EPS,$0.26,$0.34,$0.40,$0.08,$0.12,$0.08
Dividend Per Share,$0.89,$0.94,$1.01,$1.06,$1.12,$1.12
Payout Ratio,153.19%,154.62%,146.30%,49.40%,389.39%,
FFO,325.7,,,424.8,372.5,350.6
FFO Payout Ratio %,40.16%,,,42.29%,52.70%,
AFFO,325.7,,,424.8,372.5,
Funds Available for Distribution,325.7,,,424.8,372.5,
EBITDA,459.3,505.7,546.2,591.1,527.2,512.0
EBITA,210.4,228.9,236.3,233.4,141.9,135.9
EBIT,228.6,246.9,258.3,249.6,157.8,135.9
EBITDAR,460.1,506.4,546.9,591.8,527.9,
Normalized Net Income,40.4,55.3,67.9,14.2,21.3,14.3
Interest Capitalized,1.2,2.7,3.5,3.8,4.8,
