Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,7922.0,8590.5,8436.6,8750.7,9584.0,9584.0
Total Revenues,7922.0,8590.5,8436.6,8750.7,9584.0,9584.0
Cost Of Revenues,5509.8,6101.4,5998.8,6183.1,6510.3,6510.3
Gross Profit,2412.2,2489.1,2437.8,2567.7,3073.7,3073.7
Selling General & Admin Expenses,1826.5,1968.7,1986.6,2120.2,2163.5,2163.5
Other Operating Expense/(Income),,,,,(17.0),(17.0)
Total Operating Expenses,1866.8,1997.8,1993.0,2125.4,2157.2,2157.2
Operating Income,545.4,491.3,444.7,442.2,916.5,916.5
Interest Expense,(5.9),(8.0),(10.2),(17.0),(48.8),(48.8)
Net Interest Expenses,(5.9),(8.0),(10.2),(17.0),(48.8),(48.8)
Other Non Operating Income (Expenses),10.4,19.8,(2.6),15.3,19.1,19.1
"EBT, Excl. Unusual Items",549.9,503.0,431.9,440.5,886.7,886.7
"EBT, Incl. Unusual Items",458.4,501.3,431.9,407.7,711.7,711.7
Income Tax Expense,171.0,177.9,112.1,110.2,181.5,181.5
Earnings From Continuing Operations,287.4,323.4,319.9,297.5,530.3,530.3
Net Income to Company,287.4,323.4,319.9,297.5,530.3,530.3
Net Income,287.4,323.4,319.9,297.5,530.3,530.3
NI to Common Incl Extra Items,287.4,323.4,319.9,297.5,530.3,530.3
NI to Common Excl. Extra Items,287.4,323.4,319.9,297.5,530.3,530.3
Revenue Per Share,$71.31,$80.30,$86.31,$100.01,$113.75,$113.75
Basic EPS,$2.59,$3.02,$3.27,$3.40,$6.29,$6.29
Basic EPS - Continuing Ops,$2.59,$3.02,$3.27,$3.40,$6.29,$6.29
Basic Weighted Average Shares Outst.,111.1,107.0,97.7,87.5,84.3,84.3
Diluted EPS,$2.56,$3.01,$3.24,$3.34,$5.72,$5.72
Diluted EPS - Continuing Ops,$2.56,$3.01,$3.24,$3.34,$5.72,$5.72
Diluted Weighted Average Shares Outst.,112.2,107.6,98.8,89.1,92.6,92.6
Normalized Basic EPS,$3.09,$2.94,$2.76,$3.15,$6.58,$6.58
Normalized Diluted EPS,$3.06,$2.92,$2.73,$3.09,$5.98,$5.98
Dividend Per Share,$0.61,$0.68,$0.90,$1.10,$1.25,$1.25
Payout Ratio,23.65%,22.60%,27.91%,33.05%,20.26%,20.26%
EBITDA,779.2,712.6,736.9,754.7,1238.3,1238.3
EBITA,548.9,497.7,451.1,447.5,920.8,920.8
EBIT,545.4,491.3,444.7,442.2,916.5,916.5
EBITDAR,1281.1,1245.3,1267.8,1467.0,1941.5,1941.5
Effective Tax Rate,37.3%,35.5%,25.9%,27.0%,25.5%,25.5%
Normalized Net Income,343.7,314.4,270.0,275.3,554.2,554.2
Interest on Long-Term Debt,,,,,36.4,36.4
