Income Statement,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,(2.90%),5.03%,6.78%,(4.21%),(4.21%)
Total Revenues,(2.90%),5.03%,6.78%,(4.21%),(4.21%)
Cost Of Revenues,(1.45%),8.12%,8.16%,(4.67%),(4.67%)
Gross Profit,(8.17%),(7.02%),0.50%,(1.93%),(1.93%)
Selling General & Admin Expenses,2.73%,9.51%,(1.56%),(1.95%),(1.95%)
Depreciation & Amortization,10.01%,10.38%,4.43%,(6.22%),(6.22%)
Total Operating Expenses,5.51%,9.86%,0.84%,(3.72%),(3.72%)
Operating Income,(27.44%),(41.59%),(0.78%),5.06%,5.06%
Interest Expense,(3.51%),(15.12%),(14.23%),-41.66%,-41.66%
Net Interest Expenses,(3.51%),(15.12%),(14.23%),-41.66%,-41.66%
Other Non Operating Income (Expenses),-11.36%,(83.45%),-5.25%,-55.54%,-55.54%
"EBT, Excl. Unusual Items",(32.49%),(56.83%),(10.28%),46.80%,46.80%
"EBT, Incl. Unusual Items",(28.95%),(50.52%),(10.79%),(24.60%),(24.60%)
Income Tax Expense,(71.47%),(5.49%),(15.16%),16.69%,16.69%
Earnings From Continuing Operations,(3.74%),(58.43%),(9.05%),(39.99%),(39.99%)
Net Income to Company,(3.74%),(58.43%),(9.05%),(39.99%),(39.99%)
Net Income,(3.74%),(58.43%),(9.05%),(39.99%),(39.99%)
NI to Common Incl Extra Items,(3.74%),(58.43%),(9.05%),(39.99%),(39.99%)
NI to Common Excl. Extra Items,(3.74%),(58.43%),(9.05%),(39.99%),(39.99%)
Revenue Per Share,(2.24%),4.66%,5.93%,(4.71%),(4.71%)
Basic EPS,(2.99%),(58.58%),(9.63%),(40.42%),(40.30%)
Basic EPS - Continuing Ops,(2.99%),(58.58%),(9.63%),(40.42%),(40.30%)
Basic Weighted Average Shares Outst.,(0.67%),0.35%,0.79%,0.53%,0.53%
Diluted EPS,(3.51%),(58.53%),(8.63%),(40.56%),(40.56%)
Diluted EPS - Continuing Ops,(3.51%),(58.53%),(8.63%),(40.56%),(40.56%)
Diluted Weighted Average Shares Outst.,(0.20%),0.22%,(0.53%),0.84%,0.84%
Normalized Basic EPS,(32.09%),(56.96%),(10.80%),46.27%,46.02%
Normalized Diluted EPS,(32.31%),(56.87%),(9.73%),45.52%,45.57%
EBITDA,(14.34%),(18.24%),2.38%,(1.92%),(1.92%)
EBITA,(25.24%),(37.91%),(1.66%),3.83%,3.83%
EBIT,(27.44%),(41.59%),(0.78%),5.06%,5.06%
EBITDAR,,,,(2.62%),
Effective Tax Rate,(59.85%),90.94%,(4.91%),54.75%,54.76%
Normalized Net Income,(32.49%),(56.83%),(10.28%),46.80%,46.80%
