Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,14.75%,39.49%,41.36%,40.63%,53.98%
Total Revenues,14.75%,39.49%,41.36%,40.63%,53.98%
Cost Of Revenues,13.65%,66.61%,34.83%,12.02%,20.74%
Gross Profit,15.85%,12.98%,50.78%,77.52%,93.90%
Selling General & Admin Expenses,(0.14%),41.71%,32.84%,12.75%,15.08%
Total Operating Expenses,0.93%,50.17%,44.04%,10.80%,12.67%
Operating Income,39.49%,(29.67%),67.28%,218.21%,251.75%
Interest Expense,-13.16%,(50.00%),(287.88%),-18.49%,-16.58%
Net Interest Expenses,-13.16%,(50.00%),(287.88%),-18.49%,-16.58%
Other Non Operating Income (Expenses),(30.77%),77.78%,6.25%,176.47%,156.25%
"EBT, Excl. Unusual Items",42.99%,(33.07%),40.31%,294.19%,324.85%
"EBT, Incl. Unusual Items",19.56%,(31.28%),(5.03%),426.10%,447.07%
Income Tax Expense,(1.91%),(47.78%),21.81%,345.85%,388.03%
Earnings From Continuing Operations,32.16%,(24.09%),(13.08%),459.82%,469.56%
Net Income to Company,59.46%,(24.09%),(13.08%),459.82%,469.56%
Net Income,59.46%,(24.09%),(13.08%),459.82%,469.56%
NI to Common Incl Extra Items,59.46%,(24.09%),(13.08%),459.82%,469.56%
NI to Common Excl. Extra Items,32.16%,(24.09%),(13.08%),459.82%,469.56%
Revenue Per Share,10.35%,16.37%,37.49%,37.40%,50.13%
Basic EPS,53.18%,(36.79%),(15.34%),446.17%,455.33%
Basic EPS - Continuing Ops,27.49%,(36.79%),(15.34%),446.17%,455.33%
Basic Weighted Average Shares Outst.,3.98%,19.86%,2.79%,2.33%,2.56%
Diluted EPS,51.13%,(28.65%),(14.75%),445.19%,449.41%
Diluted EPS - Continuing Ops,26.50%,(28.65%),(14.75%),445.19%,449.41%
Diluted Weighted Average Shares Outst.,2.03%,2.19%,1.95%,2.67%,3.47%
Normalized Basic EPS,37.95%,(44.16%),35.90%,285.35%,314.24%
Normalized Diluted EPS,40.23%,(34.48%),37.46%,282.79%,310.61%
EBITDA,31.45%,(11.22%),69.83%,129.50%,154.12%
EBITA,38.35%,(16.20%),81.59%,158.90%,187.57%
EBIT,39.49%,(29.67%),67.28%,218.21%,251.75%
EBITDAR,31.27%,(10.15%),,,
Effective Tax Rate,(17.96%),(24.00%),28.25%,(15.26%),(10.79%)
Normalized Net Income,42.99%,(33.07%),40.31%,294.19%,324.85%
Interest on Long-Term Debt,,,,83.33%,
R&D Expense From Footnotes,(8.89%),46.61%,58.40%,3.67%,9.65%
Foreign Sales,,14.13%,57.07%,(1.56%),
