Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,253.0,274.0,299.0,330.8,362.7,372.0
Other Revenue,0.1,0.1,,,0.4,0.3
Total Revenues,253.0,274.2,299.0,330.8,363.0,372.3
Property Expenses,74.5,80.1,86.4,93.3,103.4,105.4
Selling General & Admin Exp.,13.2,15.0,13.7,16.8,15.1,16.0
Depreciation & Amortization,77.9,83.9,91.7,104.7,116.4,118.8
Total Operating Expenses,165.7,179.0,191.8,214.8,234.8,240.2
Operating Income,87.4,95.2,107.2,116.0,128.2,132.1
Total Interest Expense,(35.2),(34.8),(35.1),(34.5),(33.9),(33.7)
Net Interest Expenses,(35.2),(34.8),(35.1),(34.5),(33.9),(33.7)
Other Non Operating Income,1.0,1.0,2.2,0.7,0.9,0.9
"EBT, Excl. Unusual Items",53.2,61.4,74.3,82.2,95.2,99.3
Gain (Loss) on Sale of Assets,42.9,22.1,14.4,41.2,13.1,13.1
"EBT, Incl. Unusual Items",96.1,83.6,88.6,123.3,108.4,112.5
Earnings From Continuing Operations,96.1,83.6,88.6,123.3,108.4,112.5
Net Income to Company,96.1,83.6,88.6,123.3,108.4,112.5
Minority Interest,(0.6),(0.4),(0.1),(1.7),(0.0),(0.0)
Net Income,95.5,83.2,88.5,121.7,108.4,112.4
NI to Common Incl Extra Items,95.5,83.2,88.5,121.7,108.4,112.4
NI to Common Excl. Extra Items,95.5,83.2,88.5,121.7,108.4,112.4
Revenue Per Share,$7.77,$8.06,$8.44,$8.84,$9.26,$9.45
Basic EPS,$2.93,$2.45,$2.50,$3.25,$2.77,$2.85
Basic EPS - Continuing Ops,$2.93,$2.45,$2.50,$3.25,$2.77,$2.85
Basic Weighted Average Shares Outst.,32.6,34.0,35.4,37.4,39.2,39.4
Diluted EPS,$2.93,$2.44,$2.49,$3.24,$2.76,$2.85
Diluted EPS - Continuing Ops,$2.93,$2.44,$2.49,$3.24,$2.76,$2.85
Diluted Weighted Average Shares Outst.,32.6,34.0,35.5,37.5,39.3,39.5
Normalized Basic EPS,$1.00,$1.12,$1.31,$1.33,$1.52,$1.57
Normalized Diluted EPS,$1.00,$1.12,$1.30,$1.32,$1.51,$1.57
Dividend Per Share,$2.44,$2.52,$2.72,$2.94,$3.08,$3.12
Payout Ratio,84.70%,104.26%,80.55%,89.42%,110.52%,108.25%
FFO,131.2,144.8,165.4,186.9,211.6,218.1
FFO Payout Ratio %,61.67%,59.89%,43.11%,58.22%,56.61%,55.80%
AFFO,131.2,144.8,165.4,186.9,211.6,
Funds Available for Distribution,131.2,144.8,165.4,186.9,211.6,
FFO Per Share (Diluted),$4.02,$4.25,$4.66,$4.98,$5.38,$5.52
FFO Shares (Diluted),32.6,34.0,35.5,37.5,39.3,39.5
Adjusted FFO Per Share (Diluted),$4.02,$4.25,$4.66,$4.98,$5.38,
EBITDA,154.9,168.2,186.7,206.3,228.7,234.9
EBITA,91.1,99.2,110.7,119.7,132.4,136.6
EBIT,87.4,95.2,107.2,116.0,128.2,132.1
EBITDAR,155.6,169.0,187.5,207.3,229.7,
Normalized Net Income,32.7,38.0,46.3,49.7,59.5,62.0
Interest Capitalized,5.3,5.8,6.3,8.5,9.7,
Interest on Long-Term Debt,39.9,38.9,,42.9,43.6,
