Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,1634.2,1755.7,1797.7,2494.5,2744.8,2856.6
Total Revenues,1634.2,1755.7,1797.7,2494.5,2744.8,2856.6
Cost Of Revenues,910.9,943.3,966.6,1432.0,1630.9,1693.6
Gross Profit,723.3,812.4,831.1,1062.5,1113.9,1163.0
Selling General & Admin Expenses,435.0,461.7,479.5,562.1,589.9,595.4
R&D Expenses,26.6,22.0,22.4,31.7,34.1,33.1
Total Operating Expenses,464.4,494.9,513.4,637.0,680.5,686.7
Operating Income,258.9,317.5,317.7,425.5,433.4,476.3
Interest Expense,(54.3),(53.1),(98.4),(226.0),(195.0),(195.5)
Interest And Investment Income,2.3,2.0,1.4,7.7,0.6,0.6
Net Interest Expenses,(52.0),(51.1),(97.0),(218.3),(194.4),(194.9)
Currency Exchange Gains (Loss),(0.1),(4.7),(8.1),(5.2),(8.7),(10.4)
Other Non Operating Income (Expenses),(1.9),(0.7),0.7,(6.1),0.3,0.4
"EBT, Excl. Unusual Items",204.9,261.0,213.3,195.9,230.6,271.4
"EBT, Incl. Unusual Items",165.7,273.3,175.2,73.1,67.7,96.3
Income Tax Expense,38.0,71.8,81.7,8.4,20.9,28.2
Earnings From Continuing Operations,127.7,201.5,93.5,64.7,46.8,68.1
Earnings Of Discontinued Operations,,,,(13.6),(140.1),(140.4)
Net Income to Company,127.7,201.5,93.5,51.1,(93.3),(72.3)
Net Income,127.7,201.5,93.5,51.1,(93.3),(72.3)
Preferred Dividend and Other Adjustments,,,,12.0,16.2,16.2
NI to Common Incl Extra Items,127.7,201.5,93.5,39.1,(109.5),(88.5)
NI to Common Excl. Extra Items,127.7,201.5,93.5,52.7,30.6,51.9
Revenue Per Share,$26.40,$28.46,$30.06,$37.57,$39.90,$41.61
Basic EPS,$2.06,$3.27,$1.56,$0.59,($1.59),($1.29)
Basic EPS - Continuing Ops,$2.06,$3.27,$1.56,$0.79,$0.44,$0.76
Basic Weighted Average Shares Outst.,61.9,61.7,59.8,66.4,68.8,68.7
Diluted EPS,$2.04,$3.22,$1.52,$0.58,($1.58),($1.29)
Diluted EPS - Continuing Ops,$2.04,$3.22,$1.52,$0.78,$0.44,$0.76
Diluted Weighted Average Shares Outst.,62.5,62.6,61.4,67.3,69.5,68.7
Normalized Basic EPS,$2.07,$2.64,$2.23,$1.84,$2.09,$2.47
Normalized Diluted EPS,$2.05,$2.61,$2.17,$1.82,$2.07,$2.47
Dividend Per Share,$1.00,$1.10,$1.16,$1.20,$1.20,$1.20
Payout Ratio,49.10%,34.29%,74.87%,178.08%,NM,NM
EBITDA,289.6,362.4,355.4,493.5,537.2,584.3
EBITA,261.7,328.7,329.2,453.0,489.9,534.5
EBIT,258.9,317.5,317.7,425.5,433.4,476.3
EBITDAR,302.6,376.2,,,561.5,
Effective Tax Rate,22.9%,26.3%,46.6%,11.5%,30.9%,29.3%
Normalized Net Income,128.1,163.1,133.3,122.4,144.1,169.6
Interest on Long-Term Debt,,,,,3.0,
R&D Expense From Footnotes,26.6,22.0,22.4,32.8,35.4,34.1
Foreign Sales,810.1,832.7,861.9,1058.7,1102.9,
