Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,2316.2,2367.1,2581.9,2808.0,3087.9,2946.2
Total Revenues,2316.2,2367.1,2581.9,2808.0,3087.9,2946.2
Cost Of Revenues,1704.5,1713.1,1920.0,2104.6,2306.1,2218.0
Gross Profit,611.8,654.0,661.9,703.4,781.7,728.2
Selling General & Admin Expenses,352.8,364.8,383.5,442.9,530.3,492.5
Total Operating Expenses,352.8,364.8,383.5,442.9,530.3,492.2
Operating Income,259.0,289.2,278.3,260.5,251.5,235.9
Interest Expense,(22.3),(22.2),(25.0),(30.9),(43.7),(40.9)
Net Interest Expenses,(22.3),(22.2),(25.0),(30.9),(43.7),(40.9)
Currency Exchange Gains (Loss),(5.4),0.7,(5.5),3.0,(0.3),(8.5)
Other Non Operating Income (Expenses),(0.3),(1.6),(0.6),(0.9),1.3,(0.1)
"EBT, Excl. Unusual Items",230.9,266.1,247.3,231.7,208.8,186.4
"EBT, Incl. Unusual Items",181.9,212.7,238.3,182.2,146.9,134.3
Income Tax Expense,50.1,54.5,118.5,21.6,9.8,26.2
Earnings From Continuing Operations,131.8,158.2,119.8,160.6,137.1,108.0
Net Income to Company,131.8,158.2,119.8,160.6,137.1,108.0
Minority Interest,4.3,2.0,(0.2),(0.4),,
Net Income,136.2,160.2,119.6,160.2,137.1,108.0
NI to Common Incl Extra Items,136.2,160.2,119.6,160.2,137.1,108.0
NI to Common Excl. Extra Items,136.2,160.2,119.6,160.2,137.1,108.0
Revenue Per Share,$52.31,$54.56,$60.59,$66.33,$72.81,$69.40
Basic EPS,$3.07,$3.69,$2.81,$3.79,$3.23,$2.54
Basic EPS - Continuing Ops,$3.07,$3.69,$2.81,$3.79,$3.23,$2.54
Basic Weighted Average Shares Outst.,44.3,43.4,42.6,42.3,42.4,42.5
Diluted EPS,$2.99,$3.64,$2.77,$3.73,$3.20,$2.51
Diluted EPS - Continuing Ops,$2.99,$3.64,$2.77,$3.73,$3.20,$2.51
Diluted Weighted Average Shares Outst.,45.5,44.0,43.1,43.0,42.9,43.1
Normalized Basic EPS,$3.36,$3.88,$3.62,$3.41,$3.08,$2.74
Normalized Diluted EPS,$3.27,$3.82,$3.58,$3.36,$3.04,$2.71
Dividend Per Share,$0.70,$0.70,$0.70,$0.70,$0.70,$0.70
Payout Ratio,22.68%,18.97%,24.81%,18.56%,21.66%,27.54%
EBITDA,315.0,343.2,332.6,323.8,338.8,327.7
EBITA,267.3,297.8,286.8,275.2,282.5,267.5
EBIT,259.0,289.2,278.3,260.5,251.5,235.9
EBITDAR,349.6,379.2,370.8,364.1,383.5,
Effective Tax Rate,27.5%,25.6%,49.7%,11.8%,6.7%,19.5%
Normalized Net Income,148.7,168.3,154.3,144.4,130.5,116.5
Interest Capitalized,1.5,0.8,1.1,1.6,2.0,
Interest on Long-Term Debt,,,,,0.0,
Foreign Earnings,61.5,55.6,279.8,262.0,257.1,
Foreign Sales,1040.2,1034.8,2049.9,2160.5,2067.3,
