Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,422.7,530.1,649.5,777.4,862.6,862.6
Total Interest And Dividend Income,27.9,40.2,64.1,83.5,80.1,80.1
Gain (Loss) on Sale of Investments,1.9,2.0,1.3,3.2,2.7,2.7
Other Revenues,5.7,4.1,4.5,3.4,9.8,9.8
Total Revenues,458.3,576.5,719.4,867.6,955.2,955.2
Policy Benefits,15.5,27.2,11.6,33.0,301.3,301.3
Policy Acquisition / Underwriting Costs,46.4,126.8,135.8,54.1,41.4,41.4
Other Operating Expenses,,,,17.6,20.2,20.2
Total Operating Expenses,146.0,172.8,162.5,198.4,456.0,456.0
Operating Income,312.3,403.7,556.9,669.2,499.2,499.2
"Interest Expense, Total",(0.4),(5.2),(10.2),(10.2),(9.1),(9.1)
"EBT, Excl. Unusual Items",311.9,398.6,546.7,659.1,490.1,490.1
"EBT, Incl. Unusual Items",311.9,398.6,546.7,659.1,490.1,490.1
Income Tax Expense,89.3,18.8,79.3,103.3,77.1,77.1
Earnings From Continuing Operations,222.6,379.7,467.4,555.7,413.0,413.0
Net Income to Company,222.6,379.7,467.4,555.7,413.0,413.0
Net Income,222.6,379.7,467.4,555.7,413.0,413.0
NI to Common Incl Extra Items,222.6,379.7,467.4,555.7,413.0,413.0
NI to Common Excl. Extra Items,222.6,379.7,467.4,555.7,413.0,413.0
Revenue Per Share,$5.04,$6.18,$7.39,$8.87,$9.00,$9.00
Basic EPS,$2.45,$4.07,$4.80,$5.68,$3.89,$3.89
Basic EPS - Continuing Ops,$2.45,$4.07,$4.80,$5.68,$3.89,$3.89
Basic Weighted Average Shares Outst.,90.9,93.3,97.4,97.8,106.1,106.1
Diluted EPS,$2.41,$3.99,$4.77,$5.66,$3.88,$3.88
Diluted EPS - Continuing Ops,$2.41,$3.99,$4.77,$5.66,$3.88,$3.88
Diluted Weighted Average Shares Outst.,92.2,95.2,98.0,98.2,106.4,106.4
Normalized Basic EPS,$2.14,$2.67,$3.51,$4.21,$2.89,$2.89
Normalized Diluted EPS,$2.11,$2.62,$3.49,$4.19,$2.88,$2.88
Dividend Per Share,,,,$0.30,$0.64,$0.64
Payout Ratio,,,,5.28%,16.80%,16.80%
EBITDA,316.4,407.7,560.3,673.0,502.5,502.5
EBITA,312.3,403.7,556.9,669.2,499.2,499.2
EBIT,312.3,403.7,556.9,669.2,499.2,499.2
EBITDAR,318.3,409.8,562.4,675.4,504.9,504.9
Effective Tax Rate,28.6%,4.7%,14.5%,15.7%,15.7%,15.7%
Normalized Net Income,194.9,249.1,341.7,411.9,306.3,306.3
Interest on Long-Term Debt,0.4,5.2,10.2,10.2,9.1,9.1
Foreign Sales,458.3,,,,,
