Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,25.41%,22.52%,19.70%,10.95%,0.00%
Total Interest And Dividend Income,44.23%,59.33%,30.35%,(4.14%),0.00%
Gain (Loss) on Sale of Investments,4.19%,(34.59%),144.99%,(16.48%),0.00%
Other Revenues,(27.71%),7.54%,(24.28%),190.89%,0.00%
Total Revenues,25.80%,24.78%,20.60%,10.10%,0.00%
Policy Benefits,75.41%,(57.49%),184.98%,813.40%,0.00%
Policy Acquisition / Underwriting Costs,173.48%,7.08%,(60.14%),(23.50%),0.00%
Other Operating Expenses,,,,15.01%,0.00%
Total Operating Expenses,18.37%,(5.96%),22.08%,129.88%,0.00%
Operating Income,29.28%,37.93%,20.17%,(25.41%),0.00%
"Interest Expense, Total","(1,115.49%)",(96.58%),-0.28%,-10.61%,0.00%
"EBT, Excl. Unusual Items",27.79%,37.17%,20.55%,(25.64%),0.00%
"EBT, Incl. Unusual Items",27.79%,37.17%,20.55%,(25.64%),0.00%
Income Tax Expense,(78.92%),321.53%,30.27%,(25.44%),0.00%
Earnings From Continuing Operations,70.59%,23.07%,18.90%,(25.67%),0.00%
Net Income to Company,70.59%,23.07%,18.90%,(25.67%),0.00%
Net Income,70.59%,23.07%,18.90%,(25.67%),0.00%
NI to Common Incl Extra Items,70.59%,23.07%,18.90%,(25.67%),0.00%
NI to Common Excl. Extra Items,70.59%,23.07%,18.90%,(25.67%),0.00%
Revenue Per Share,22.56%,19.50%,20.08%,1.49%,0.00%
Basic EPS,66.08%,17.89%,18.42%,(31.46%),0.00%
Basic EPS - Continuing Ops,66.08%,17.89%,18.42%,(31.46%),0.00%
Basic Weighted Average Shares Outst.,2.66%,4.36%,0.37%,8.53%,0.00%
Diluted EPS,65.56%,19.55%,18.66%,(31.45%),0.00%
Diluted EPS - Continuing Ops,65.56%,19.55%,18.66%,(31.45%),0.00%
Diluted Weighted Average Shares Outst.,3.22%,2.90%,0.26%,8.30%,0.00%
Normalized Basic EPS,24.72%,31.38%,20.04%,(31.42%),0.00%
Normalized Diluted EPS,24.00%,33.11%,20.16%,(31.28%),0.00%
Dividend Per Share,,,,113.33%,0.00%
Payout Ratio,,,,218.27%,0.00%
EBITDA,28.86%,37.44%,20.11%,(25.33%),0.00%
EBITA,29.28%,37.93%,20.17%,(25.41%),0.00%
EBIT,29.28%,37.93%,20.17%,(25.41%),0.00%
EBITDAR,28.75%,37.24%,20.10%,(25.25%),
Effective Tax Rate,(83.50%),207.45%,8.07%,0.27%,0.00%
Normalized Net Income,27.79%,37.17%,20.55%,(25.64%),0.00%
Interest on Long-Term Debt,"1,115.49%",96.58%,(0.28%),(10.61%),
