Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,22.30%,66.95%,9.04%,(7.33%),(15.11%)
Total Revenues,22.30%,66.95%,9.04%,(7.33%),(15.11%)
Cost Of Revenues,22.49%,92.68%,1.17%,(6.81%),(14.85%)
Gross Profit,22.28%,64.25%,10.00%,(7.38%),(15.14%)
Selling General & Admin Expenses,6.39%,54.11%,(8.80%),15.10%,22.85%
Depreciation & Amortization,54.21%,81.87%,29.32%,14.18%,12.04%
Total Operating Expenses,32.09%,86.89%,15.35%,15.05%,15.09%
Operating Income,19.69%,57.67%,8.16%,(15.63%),(26.18%)
Interest Expense,(124.96%),(193.21%),(115.12%),(19.39%),(27.39%)
Interest And Investment Income,(32.04%),(3.52%),(3.86%),(4.29%),(4.47%)
Net Interest Expenses,(310.97%),(231.75%),(121.90%),(19.98%),(28.16%)
Other Non Operating Income (Expenses),(76.41%),12.89%,(46.90%),547.31%,316.30%
"EBT, Excl. Unusual Items",13.74%,51.91%,4.17%,(13.60%),(34.17%)
"EBT, Incl. Unusual Items",10.21%,11.14%,,,
Income Tax Expense,116.20%,(60.86%),(39.02%),107.74%,185.10%
Earnings From Continuing Operations,(16.69%),58.56%,,,
Net Income to Company,(16.69%),58.56%,,,
Minority Interest,(8.60%),-16.23%,-52.61%,(54.85%),-14.17%
Preferred Dividend and Other Adjustments,,,,,0.00%
Revenue Per Share,22.22%,66.94%,8.78%,(31.36%),(44.86%)
Basic Weighted Average Shares Outst.,0.00%,0.00%,0.18%,34.94%,53.96%
Diluted Weighted Average Shares Outst.,(0.24%),0.24%,(0.06%),34.95%,53.99%
Normalized Basic EPS,112.67%,674.92%,60.45%,(50.78%),(60.04%)
Normalized Diluted EPS,112.67%,673.10%,60.45%,(50.79%),(60.05%)
Dividend Per Share,,,339.02%,(66.67%),(60.00%)
EBITDA,24.32%,65.37%,11.93%,(9.26%),(18.12%)
EBITA,20.75%,62.85%,8.97%,(14.00%),(24.27%)
EBIT,19.69%,57.67%,8.16%,(15.63%),(26.18%)
EBITDAR,,,,(9.02%),
Effective Tax Rate,96.20%,(64.78%),,,
Normalized Net Income,102.06%,680.83%,60.40%,(33.63%),(38.48%)
Interest Capitalized,(50.00%),168.09%,134.13%,(36.95%),
Interest on Long-Term Debt,,193.34%,115.12%,19.39%,
