Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Total Interest Expense,16.7,20.0,17.8,20.1,21.4,19.9
Net Interest Income,(16.7),(20.0),(17.8),(20.1),(21.4),(19.9)
Asset Management Fee,63.4,59.6,48.2,50.6,54.4,56.6
Underwriting & Invest. Banking Fee,1364.0,1575.9,2015.2,1932.8,2237.2,2446.7
Gain (Loss) on Sale of Investments,12.2,5.3,(4.8),14.5,15.8,15.8
Other Revenue,17.2,14.4,23.8,30.9,8.7,30.9
Revenue Before Loan Losses,1440.1,1635.3,2064.7,2008.7,2294.7,2530.0
Total Revenues,1440.1,1635.3,2064.7,2008.7,2294.7,2530.0
Salaries & Other Empl. Benefits,900.6,962.5,1197.2,1201.0,1372.3,1497.0
Cost of Services Provided,217.0,237.7,262.9,285.8,248.7,240.2
Other Operating Expenses,27.2,23.4,30.5,42.0,42.9,41.2
Total Operating Expenses,1169.6,1248.4,1517.6,1559.8,1690.3,1804.3
Operating Income,270.5,386.8,547.1,448.9,604.4,725.7
Currency Exchange Gains (Loss),,(16.3),,,,
"EBT, Excl. Unusual Items",277.1,379.4,556.4,459.9,618.8,740.0
Restructuring Charges,,(3.9),(2.0),(2.9),(43.3),(21.1)
Impairment of Goodwill,,(7.1),,(2.9),,
Asset Writedown,,,(2.1),(4.4),(3.3),(1.8)
Gain (Loss) on Sale of Assets,,7.8,,,(30.8),(30.8)
Other Unusual Items,(9.2),63.1,(0.9),,,
"EBT, Incl. Unusual Items",267.8,437.6,551.4,448.7,540.8,685.6
Income Tax Expense,119.3,258.4,108.5,95.0,128.2,146.3
Earnings From Continuing Operations,148.5,179.2,442.9,353.7,412.7,539.4
Net Income to Company,148.5,179.2,442.9,353.7,412.7,539.4
Minority Interest,(41.0),(53.8),(65.6),(56.2),(62.1),(75.6)
Net Income,107.5,125.5,377.2,297.4,350.6,463.8
NI to Common Incl Extra Items,107.5,125.5,377.2,297.4,350.6,463.8
NI to Common Excl. Extra Items,107.5,125.5,377.2,297.4,350.6,463.8
Revenue Per Share,$36.72,$41.25,$50.86,$50.22,$56.59,$61.86
Basic EPS,$2.74,$3.16,$9.29,$7.44,$8.64,$11.34
Basic EPS - Continuing Ops,$2.74,$3.16,$9.29,$7.44,$8.64,$11.34
Basic Weighted Average Shares Outst.,39.2,39.6,40.6,40.0,40.6,40.9
Diluted EPS,$2.43,$2.80,$8.33,$6.89,$8.22,$10.74
Diluted EPS - Continuing Ops,$2.43,$2.80,$8.33,$6.89,$8.22,$10.74
Diluted Weighted Average Shares Outst.,44.2,44.8,45.3,43.2,42.6,43.2
Normalized Basic EPS,$3.37,$4.63,$6.95,$5.78,$8.01,$9.46
Normalized Diluted EPS,$2.99,$4.09,$6.23,$5.35,$7.62,$8.96
Dividend Per Share,$1.27,$1.42,$1.90,$2.24,$2.35,$2.45
Payout Ratio,47.95%,45.05%,20.49%,32.55%,30.40%,
Effective Tax Rate,44.5%,59.1%,19.7%,21.2%,23.7%,21.3%
Normalized Net Income,132.2,183.4,282.1,231.2,324.7,386.9
Interest on Long-Term Debt,10.2,10.0,9.2,12.9,18.2,
Foreign Sales,369.8,436.3,471.5,518.8,523.7,
