Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,15.75%,25.46%,14.23%,(14.73%),(18.13%)
Total Interest Income,16.50%,24.65%,13.96%,(15.26%),(18.25%)
Interest On Deposits,38.19%,101.69%,60.08%,(50.84%),(65.03%)
Total Interest On Borrowings,14.74%,28.67%,27.07%,(14.42%),(17.07%)
Total Interest Expense,33.58%,89.36%,56.30%,(47.44%),(60.25%)
Net Interest Income,14.76%,17.00%,5.86%,(6.17%),(6.80%)
Service Charges On Deposits,,(2.79%),(1.35%),24.58%,33.96%
Trust Income,10.90%,(2.50%),21.45%,5.72%,4.61%
Gain (Loss) on Sale of Assets,"2,335.12%",(59.33%),,,
Gain (Loss) on Sale of Invest. & Securities,(9.34%),(17.15%),(0.89%),-38.82%,-11.27%
Total Other Non Interest Income,(29.78%),17.71%,28.26%,(3.76%),5.86%
Total Non Interest Income,67.95%,(26.94%),2.13%,33.59%,22.94%
Revenue Before Loan Losses,19.41%,11.60%,5.56%,(3.08%),(4.16%)
Provision For Loan Losses,68.37%,38.88%,53.58%,113.46%,(8.80%)
Total Revenues,18.19%,10.63%,3.43%,(10.78%),(3.68%)
Salaries And Other Employee Benefits,11.73%,12.25%,6.38%,1.05%,2.66%
Occupancy Expense,(5.71%),95.61%,1.21%,(4.65%),89.28%
Total Selling General & Admin Expenses,1.11%,(21.84%),2.64%,(1.15%),(29.23%)
Total Other Non Interest Expense,(3.99%),6.86%,7.19%,(12.60%),(12.80%)
Total Non Interest Expense,5.19%,8.95%,3.88%,(1.78%),(1.07%)
"EBT, Excl. Unusual Items",30.87%,11.95%,3.08%,(17.70%),(5.76%)
Other Unusual Items,,,,,0.00%
"EBT, Incl. Unusual Items",28.47%,11.37%,3.08%,(18.74%),(6.84%)
Income Tax Expense,63.32%,(49.89%),47.73%,(30.56%),(18.18%)
Earnings From Continuing Operations,17.13%,39.17%,(4.22%),(15.76%),(4.10%)
Net Income to Company,17.13%,39.17%,(4.22%),(15.76%),(4.10%)
Net Income,17.13%,39.17%,(4.22%),(15.76%),(4.10%)
Net Income to Common Incl Extra Items,17.13%,39.17%,(4.22%),(15.76%),(4.10%)
Net Income to Common Excl. Extra Items,17.13%,39.17%,(4.22%),(15.76%),(4.10%)
Revenue Per Share,17.93%,10.35%,3.03%,(8.79%),(1.07%)
Basic EPS,16.68%,38.79%,(4.68%),(13.84%),(1.50%)
Basic EPS - Continuing Ops,16.68%,38.79%,(4.68%),(13.84%),(1.50%)
Basic Weighted Average Shares Outst.,0.25%,0.29%,0.44%,(2.17%),(2.64%)
Diluted EPS,16.84%,38.62%,(4.16%),(13.88%),(1.77%)
Diluted EPS - Continuing Ops,16.84%,38.62%,(4.16%),(13.88%),(1.77%)
Diluted Weighted Average Shares Outst.,0.51%,0.18%,0.01%,(2.18%),(2.49%)
Normalized Basic EPS,30.75%,11.78%,2.70%,(15.99%),(3.21%)
Normalized Diluted EPS,29.98%,11.84%,3.09%,(15.91%),(3.36%)
Dividend Per Share,0.00%,7.50%,22.67%,3.77%,5.00%
Payout Ratio,(13.89%),(22.50%),28.56%,21.10%,
Effective Tax Rate,27.10%,(55.01%),43.27%,(14.54%),(12.18%)
Normalized Net Income,30.87%,11.95%,3.08%,(17.70%),(5.76%)
Interest on Long-Term Debt,13.81%,28.20%,27.12%,(14.41%),
