Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,136.34%,88.70%,13.35%,2.04%,5.27%
Total Revenues,136.34%,88.70%,13.35%,2.04%,5.27%
Cost Of Revenues,129.11%,82.09%,25.94%,5.58%,11.60%
Gross Profit,136.57%,88.91%,12.96%,1.92%,5.05%
Selling General & Admin Expenses,37.18%,29.52%,10.60%,28.53%,44.03%
R&D Expenses,16.88%,62.48%,84.88%,62.58%,61.17%
Total Operating Expenses,28.00%,43.14%,45.44%,48.83%,54.64%
Operating Income,,163.27%,(15.73%),(69.59%),(83.68%)
Interest Expense,-73.75%,,,,
Interest And Investment Income,89.41%,162.95%,117.75%,(28.95%),(47.32%)
Net Interest Expenses,-87.55%,,117.75%,(28.95%),(47.32%)
Other Non Operating Income (Expenses),"(1,592.34%)",,71.28%,(98.24%),
"EBT, Excl. Unusual Items",,183.64%,(11.87%),(66.57%),(80.61%)
"EBT, Incl. Unusual Items",,185.09%,(11.94%),(67.14%),(81.28%)
Income Tax Expense,,,,(75.28%),(94.54%)
Earnings From Continuing Operations,,347.44%,(53.48%),(65.18%),(77.96%)
Net Income to Company,,347.44%,(53.48%),(65.18%),(77.96%)
Net Income,,347.44%,(53.48%),(65.18%),(77.96%)
NI to Common Incl Extra Items,,348.51%,(53.48%),(65.18%),(77.96%)
NI to Common Excl. Extra Items,,348.51%,(53.48%),(65.18%),(77.96%)
Revenue Per Share,102.79%,86.12%,11.44%,0.11%,3.15%
Basic EPS,,345.48%,(54.27%),(65.79%),(78.40%)
Basic EPS - Continuing Ops,,345.48%,(54.27%),(65.79%),(78.40%)
Basic Weighted Average Shares Outst.,17.19%,1.47%,1.58%,1.88%,2.06%
Diluted EPS,,351.02%,(53.85%),(65.69%),(77.93%)
Diluted EPS - Continuing Ops,,351.02%,(53.85%),(65.69%),(77.93%)
Diluted Weighted Average Shares Outst.,24.54%,0.26%,0.71%,0.95%,1.29%
Normalized Basic EPS,,179.66%,(13.16%),(66.98%),(81.01%)
Normalized Diluted EPS,,182.97%,(12.92%),(66.78%),(80.86%)
EBITDA,,164.34%,(14.78%),(67.85%),(81.42%)
EBITA,,163.27%,(15.73%),(69.59%),(83.68%)
EBIT,,163.27%,(15.73%),(69.59%),(83.68%)
EBITDAR,,160.18%,(15.03%),(66.17%),
Effective Tax Rate,,,,(24.81%),(70.85%)
Normalized Net Income,,183.64%,(11.87%),(66.57%),(80.61%)
R&D Expense From Footnotes,16.88%,62.48%,84.88%,62.58%,61.17%
Foreign Sales,,161.20%,(10.58%),18.79%,
