Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,1143.5,1211.2,1386.5,1393.2,1450.8,1631.3
Total Revenues,1143.5,1211.2,1386.5,1393.2,1450.8,1631.3
Cost Of Revenues,876.9,899.2,1047.8,1068.7,1119.7,1242.0
Gross Profit,266.6,312.0,338.8,324.6,331.1,389.4
Selling General & Admin Expenses,37.2,33.9,41.2,37.4,41.6,33.3
Total Operating Expenses,37.2,33.9,41.2,37.4,42.2,33.9
Operating Income,229.4,278.1,297.6,287.2,288.9,355.4
Interest Expense,(15.9),(21.6),(26.4),(27.3),(37.0),(42.4)
Interest And Investment Income,0.0,0.0,0.0,0.1,0.0,0.1
Net Interest Expenses,(15.9),(21.6),(26.4),(27.2),(36.9),(42.4)
Other Non Operating Income (Expenses),1.6,1.1,2.5,1.2,(1.5),(3.1)
"EBT, Excl. Unusual Items",254.3,300.0,317.1,299.8,293.1,348.5
"EBT, Incl. Unusual Items",219.3,294.5,272.0,79.7,45.7,178.3
Income Tax Expense,66.7,96.3,15.3,10.9,(25.2),1.1
Earnings From Continuing Operations,152.6,198.2,256.6,68.9,70.9,177.2
Net Income to Company,152.6,198.2,256.6,68.9,70.9,345.9
Net Income,152.6,198.2,256.6,68.9,70.9,345.9
NI to Common Incl Extra Items,152.6,198.2,256.6,68.9,70.9,345.9
NI to Common Excl. Extra Items,152.6,198.2,256.6,68.9,70.9,177.2
Revenue Per Share,$23.11,$25.27,$28.80,$29.88,$34.53,$39.38
Basic EPS,$3.08,$4.14,$5.33,$1.48,$1.69,$8.35
Basic EPS - Continuing Ops,$3.08,$4.14,$5.33,$1.48,$1.69,$4.28
Basic Weighted Average Shares Outst.,49.5,47.9,48.1,46.6,42.0,41.4
Diluted EPS,$3.05,$4.10,$5.28,$1.47,$1.68,$8.30
Diluted EPS - Continuing Ops,$3.05,$4.10,$5.28,$1.47,$1.68,$4.25
Diluted Weighted Average Shares Outst.,50.1,48.4,48.6,46.9,42.3,41.7
Normalized Basic EPS,$3.21,$3.91,$4.12,$4.02,$4.36,$5.26
Normalized Diluted EPS,$3.17,$3.88,$4.07,$3.99,$4.33,$5.23
Dividend Per Share,$0.40,$0.40,$0.40,$0.40,$0.40,$0.10
Payout Ratio,13.12%,9.76%,7.57%,27.49%,24.18%,2.36%
EBITDA,326.5,369.9,411.6,409.8,402.4,491.1
EBITA,242.3,282.9,302.0,291.5,291.4,357.9
EBIT,229.4,278.1,297.6,287.2,288.9,355.4
EBITDAR,336.8,381.2,,,417.2,
Effective Tax Rate,30.4%,32.7%,5.6%,13.6%,NM,0.6%
Normalized Net Income,158.9,187.5,198.2,187.4,183.2,217.8
Interest on Long-Term Debt,16.6,22.7,27.7,28.5,38.5,
