Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,5.92%,14.47%,0.48%,4.13%,17.91%
Total Revenues,5.92%,14.47%,0.48%,4.13%,17.91%
Cost Of Revenues,2.54%,16.53%,1.99%,4.77%,18.44%
Gross Profit,17.04%,8.56%,(4.18%),2.02%,16.25%
Selling General & Admin Expenses,(8.75%),21.41%,(9.30%),11.34%,(43.07%)
Total Operating Expenses,(8.75%),21.41%,(9.30%),12.99%,(42.02%)
Operating Income,21.22%,6.99%,(3.47%),0.59%,28.60%
Interest Expense,(35.89%),(22.40%),(3.39%),(35.23%),(21.23%)
Interest And Investment Income,566.67%,(65.00%),778.57%,(72.36%),137.04%
Net Interest Expenses,(35.69%),(22.57%),(2.98%),(35.71%),(21.14%)
Other Non Operating Income (Expenses),(34.79%),136.03%,(50.42%),,
"EBT, Excl. Unusual Items",17.99%,5.69%,(5.44%),(2.26%),22.76%
"EBT, Incl. Unusual Items",34.33%,(7.66%),(70.68%),(42.66%),340.36%
Income Tax Expense,44.46%,(84.08%),(29.06%),,(82.42%)
Earnings From Continuing Operations,29.90%,29.47%,(73.17%),2.95%,419.98%
Net Income to Company,29.90%,29.47%,(73.17%),2.95%,
Net Income,29.90%,29.47%,(73.17%),2.95%,
NI to Common Incl Extra Items,29.90%,29.47%,(73.17%),2.95%,
NI to Common Excl. Extra Items,29.90%,29.47%,(73.17%),2.95%,419.98%
Revenue Per Share,9.35%,13.97%,3.77%,15.55%,22.42%
Basic EPS,34.27%,28.76%,(72.29%),13.99%,
Basic EPS - Continuing Ops,34.27%,28.76%,(72.29%),13.99%,439.88%
Basic Weighted Average Shares Outst.,(3.11%),0.44%,(3.16%),(9.86%),(3.69%)
Diluted EPS,34.43%,28.78%,(72.16%),14.29%,
Diluted EPS - Continuing Ops,34.43%,28.78%,(72.16%),14.29%,436.50%
Diluted Weighted Average Shares Outst.,(3.41%),0.59%,(3.52%),(9.90%),(3.16%)
Normalized Basic EPS,21.86%,5.28%,(2.44%),8.43%,27.46%
Normalized Diluted EPS,22.30%,4.99%,(1.90%),8.56%,26.77%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,(75.00%)
Payout Ratio,(25.63%),(22.40%),263.09%,(12.04%),
EBITDA,13.28%,11.27%,(0.44%),(1.78%),28.97%
EBITA,16.75%,6.73%,(3.46%),(0.03%),27.52%
EBIT,21.22%,6.99%,(3.47%),0.59%,28.60%
EBITDAR,13.17%,,,,
Effective Tax Rate,7.56%,(82.76%),141.82%,,(96.01%)
Normalized Net Income,17.99%,5.69%,(5.44%),(2.26%),22.76%
Interest on Long-Term Debt,36.66%,21.97%,3.06%,34.94%,
