Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,63.53%,0.06%,4.69%,(12.51%),(15.60%)
Total Revenues,63.53%,0.06%,4.69%,(12.51%),(15.60%)
Cost Of Revenues,72.12%,(2.19%),3.93%,(14.89%),(18.32%)
Gross Profit,56.66%,2.03%,5.34%,(10.53%),(13.35%)
Selling General & Admin Expenses,59.27%,1.29%,5.05%,(6.24%),(9.69%)
Depreciation & Amortization,73.33%,(22.22%),(2.46%),0.48%,(1.55%)
Total Operating Expenses,60.25%,(0.49%),4.61%,(5.87%),(9.23%)
Operating Income,45.71%,10.49%,7.54%,(24.22%),(25.81%)
Interest Expense,(18.28%),(21.38%),(16.67%),-13.78%,-17.39%
Interest And Investment Income,112.65%,53.04%,(56.83%),45.97%,46.04%
Net Interest Expenses,(14.66%),(19.12%),(23.39%),-15.69%,-19.38%
"EBT, Excl. Unusual Items",51.76%,8.93%,6.30%,(26.12%),(25.35%)
"EBT, Incl. Unusual Items",84.40%,19.15%,9.40%,(36.02%),(31.79%)
Income Tax Expense,(14.71%),83.33%,15.14%,(38.13%),(34.85%)
Earnings From Continuing Operations,139.31%,6.47%,7.45%,(35.26%),(30.67%)
Net Income to Company,139.31%,6.47%,7.45%,(35.26%),(30.67%)
Net Income,139.31%,6.47%,7.45%,(35.26%),(30.67%)
NI to Common Incl Extra Items,139.31%,6.47%,7.45%,(35.26%),(30.67%)
NI to Common Excl. Extra Items,139.31%,6.47%,7.45%,(35.26%),(30.67%)
Revenue Per Share,19.59%,6.94%,8.97%,(9.31%),(12.86%)
Basic EPS,74.82%,13.67%,11.89%,(32.95%),(28.43%)
Basic EPS - Continuing Ops,74.82%,13.67%,11.89%,(32.95%),(28.43%)
Basic Weighted Average Shares Outst.,36.74%,(6.43%),(3.92%),(3.53%),(3.13%)
Diluted EPS,74.42%,13.67%,11.73%,(32.81%),(28.13%)
Diluted EPS - Continuing Ops,74.42%,13.67%,11.73%,(32.81%),(28.13%)
Diluted Weighted Average Shares Outst.,36.81%,(6.27%),(3.73%),(3.72%),(3.35%)
Normalized Basic EPS,11.01%,16.56%,10.74%,(23.44%),(22.94%)
Normalized Diluted EPS,10.93%,16.29%,10.25%,(23.15%),(22.76%)
Dividend Per Share,35.09%,18.18%,12.09%,5.88%,3.85%
Payout Ratio,(22.28%),4.16%,0.11%,57.26%,45.06%
EBITDA,50.23%,4.15%,6.12%,(20.78%),(22.31%)
EBITA,47.33%,8.56%,5.95%,(24.18%),(25.75%)
EBIT,45.71%,10.49%,7.54%,(24.22%),(25.81%)
EBITDAR,,,,(13.46%),
Effective Tax Rate,(53.75%),53.90%,5.24%,(3.29%),(4.49%)
Normalized Net Income,51.76%,8.93%,6.30%,(26.12%),(25.35%)
Interest on Long-Term Debt,18.28%,21.38%,16.67%,(13.78%),
Foreign Sales,16.90%,14.24%,20.51%,(17.55%),
