Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(0.15%),12.18%,16.02%,4.61%,5.69%
Total Revenues,(0.15%),12.18%,16.02%,4.61%,5.69%
Cost Of Revenues,0.40%,9.26%,15.57%,8.98%,9.50%
Gross Profit,(1.24%),18.18%,16.86%,(3.58%),(1.70%)
Selling General & Admin Expenses,(1.11%),8.25%,7.86%,(3.76%),(6.42%)
Total Operating Expenses,(1.03%),7.50%,7.72%,(3.27%),(5.88%)
Operating Income,(1.86%),49.11%,35.98%,(4.09%),5.77%
Interest Expense,(2.17%),(7.06%),-29.26%,(3.12%),(3.46%)
Interest And Investment Income,(10.23%),37.30%,(12.61%),(21.55%),
Net Interest Expenses,(4.86%),(1.45%),-33.44%,(11.25%),(76.86%)
Currency Exchange Gains (Loss),,,,(34.13%),(181.52%)
Other Non Operating Income (Expenses),,(426.62%),,,
"EBT, Excl. Unusual Items",(7.22%),56.82%,42.34%,(5.39%),1.85%
"EBT, Incl. Unusual Items",(31.84%),138.55%,38.82%,(9.02%),(1.83%)
Income Tax Expense,,,25.43%,(27.83%),(18.62%)
Earnings From Continuing Operations,26.24%,39.50%,43.90%,(2.79%),3.61%
Net Income to Company,26.24%,39.50%,43.90%,(2.79%),3.61%
Net Income,26.24%,39.50%,43.90%,(2.79%),3.61%
NI to Common Incl Extra Items,26.24%,39.50%,43.90%,(2.79%),3.61%
NI to Common Excl. Extra Items,26.24%,39.50%,43.90%,(2.79%),3.61%
Revenue Per Share,5.64%,17.00%,17.05%,8.05%,11.04%
Basic EPS,33.49%,45.51%,45.16%,0.47%,8.85%
Basic EPS - Continuing Ops,33.49%,45.51%,45.16%,0.47%,8.85%
Basic Weighted Average Shares Outst.,(5.49%),(4.13%),(0.87%),(3.19%),(4.81%)
Diluted EPS,34.15%,42.91%,44.78%,(0.35%),8.34%
Diluted EPS - Continuing Ops,34.15%,42.91%,44.78%,(0.35%),8.34%
Diluted Weighted Average Shares Outst.,(6.03%),(2.23%),(0.54%),(2.52%),(4.56%)
Normalized Basic EPS,(1.67%),63.91%,43.68%,(2.22%),7.00%
Normalized Diluted EPS,(1.07%),60.22%,43.22%,(2.96%),6.72%
EBITDA,0.97%,37.47%,30.09%,(3.54%),5.06%
EBITA,(1.59%),44.44%,34.72%,(3.28%),6.34%
EBIT,(1.86%),49.11%,35.98%,(4.09%),5.77%
EBITDAR,,,,(1.13%),
Effective Tax Rate,,,(9.65%),(20.69%),(17.11%)
Normalized Net Income,(7.22%),56.82%,42.34%,(5.39%),1.85%
Interest on Long-Term Debt,,,77.33%,3.19%,
Foreign Sales,6.48%,20.31%,21.63%,14.91%,
