Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,21.72%,59.53%,7.06%,22.95%,35.90%
Total Interest Income,21.03%,56.17%,5.05%,16.87%,29.33%
Interest On Deposits,100.35%,170.87%,41.47%,(50.49%),(56.35%)
Total Interest On Borrowings,38.22%,61.47%,(1.83%),(21.50%),(19.32%)
Total Interest Expense,66.19%,120.84%,26.99%,(43.00%),(46.30%)
Net Interest Income,15.53%,44.84%,(0.82%),37.36%,53.14%
Service Charges On Deposits,1.88%,20.26%,(0.75%),12.12%,13.56%
Trust Income,2.50%,5.56%,0.00%,30.00%,31.40%
Total Mortgage Banking Activities,,,(9.09%),"1,190.00%",0.00%
Gain (Loss) on Sale of Invest. & Securities,(43.23%),,,,(585.98%)
Total Other Non Interest Income,(12.02%),(7.93%),42.86%,35.21%,38.41%
Total Non Interest Income,(8.74%),44.29%,(9.54%),46.64%,58.11%
Revenue Before Loan Losses,5.10%,44.63%,(4.07%),40.61%,54.93%
Provision For Loan Losses,,,462.50%,691.11%,(14.21%)
Total Revenues,6.01%,44.04%,(5.99%),24.52%,62.28%
Salaries And Other Employee Benefits,0.64%,15.50%,3.62%,41.95%,60.08%
Amort. of Goodwill & Intang. Assets,67.91%,197.89%,(3.85%),60.00%,104.80%
Occupancy Expense,,,(37.65%),43.40%,"431,900.00%"
Total Selling General & Admin Expenses,19.18%,(0.17%),1.28%,21.01%,1.53%
Total Other Non Interest Expense,(12.64%),130.92%,(37.24%),40.00%,75.57%
Total Non Interest Expense,4.27%,32.11%,(7.04%),38.24%,55.63%
"EBT, Excl. Unusual Items",10.08%,70.33%,(4.20%),1.75%,76.31%
Restructuring Charges,,,,-82.09%,-71.46%
Legal Settlements,(32.98%),,,,
Other Unusual Items,,,,,"901,594.92%"
"EBT, Incl. Unusual Items",(10.56%),131.16%,(17.93%),59.22%,155.65%
Income Tax Expense,23.48%,19.04%,(14.65%),(43.28%),27.93%
Earnings From Continuing Operations,(25.80%),214.72%,(18.85%),89.60%,194.44%
Net Income to Company,(25.80%),214.72%,(18.85%),89.60%,194.44%
Minority Interest,0.00%,(4.67%),-8.33%,(9.09%),(4.38%)
Net Income,(27.10%),229.28%,(19.08%),91.61%,200.61%
Preferred Dividend and Other Adjustments,0.00%,(3.23%),0.00%,283.33%,367.74%
Net Income to Common Incl Extra Items,(27.86%),238.32%,(19.29%),88.97%,197.63%
Net Income to Common Excl. Extra Items,(27.86%),238.32%,(19.29%),88.97%,197.63%
Revenue Per Share,2.10%,7.29%,(2.85%),(9.63%),2.94%
Basic EPS,(30.54%),151.77%,(16.45%),36.85%,88.80%
Basic EPS - Continuing Ops,(30.54%),151.77%,(16.45%),36.85%,88.80%
Basic Weighted Average Shares Outst.,3.75%,34.35%,(3.31%),37.78%,57.64%
Diluted EPS,(30.85%),153.85%,(16.36%),36.96%,87.29%
Diluted EPS - Continuing Ops,(30.85%),153.85%,(16.36%),36.96%,87.29%
Diluted Weighted Average Shares Outst.,3.89%,33.95%,(3.60%),37.48%,57.68%
Normalized Basic EPS,6.97%,28.72%,(0.90%),(26.40%),13.41%
Normalized Diluted EPS,6.75%,30.02%,(0.79%),(26.15%),13.38%
Dividend Per Share,28.57%,33.33%,16.67%,7.14%,5.26%
Payout Ratio,69.45%,(48.86%),50.83%,(29.54%),
Effective Tax Rate,38.06%,(48.50%),3.99%,(64.38%),(49.96%)
Normalized Net Income,10.59%,73.34%,(4.09%),1.56%,78.78%
Interest on Long-Term Debt,23.83%,47.07%,0.00%,20.75%,
