Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,881.4,935.0,1000.1,1160.1,1294.6,1331.9
Total Revenues,881.4,935.0,1000.1,1160.1,1294.6,1331.9
Cost Of Revenues,265.2,287.6,312.9,336.8,361.1,360.1
Gross Profit,616.2,647.4,687.2,823.2,933.4,971.8
Selling General & Admin Expenses,328.9,337.2,376.9,414.1,420.9,396.6
R&D Expenses,103.7,110.9,128.4,149.5,166.5,172.4
Total Operating Expenses,446.6,460.7,511.9,569.7,592.4,572.9
Operating Income,169.6,186.6,175.4,253.5,341.0,398.9
Interest Expense,(26.6),(25.8),(31.3),(39.8),(42.2),(40.7)
Net Interest Expenses,(26.6),(25.8),(31.3),(39.8),(42.2),(40.7)
Currency Exchange Gains (Loss),0.2,(1.1),(0.4),,(1.0),3.0
Other Non Operating Income (Expenses),1.4,1.0,1.8,3.0,2.1,(1.3)
"EBT, Excl. Unusual Items",144.6,160.8,145.5,216.8,300.0,359.8
"EBT, Incl. Unusual Items",144.6,156.3,156.9,216.1,257.0,332.4
Income Tax Expense,35.1,22.9,30.5,23.9,20.6,54.1
Earnings From Continuing Operations,109.4,133.4,126.5,192.1,236.4,278.4
Net Income to Company,109.4,133.4,126.5,192.1,236.4,278.4
Net Income,109.4,133.4,126.5,192.1,236.4,278.4
NI to Common Incl Extra Items,109.4,133.4,126.5,192.1,236.4,278.4
NI to Common Excl. Extra Items,109.4,133.4,126.5,192.1,236.4,278.4
Revenue Per Share,$28.31,$30.30,$33.66,$40.03,$44.54,$45.82
Basic EPS,$3.52,$4.32,$4.26,$6.63,$8.13,$9.58
Basic EPS - Continuing Ops,$3.52,$4.32,$4.26,$6.63,$8.13,$9.58
Basic Weighted Average Shares Outst.,31.1,30.9,29.7,29.0,29.1,29.1
Diluted EPS,$3.39,$4.14,$4.06,$6.34,$7.90,$9.37
Diluted EPS - Continuing Ops,$3.39,$4.14,$4.06,$6.34,$7.90,$9.37
Diluted Weighted Average Shares Outst.,32.3,32.2,31.2,30.3,29.9,29.7
Normalized Basic EPS,$2.90,$3.26,$3.06,$4.68,$6.45,$7.74
Normalized Diluted EPS,$2.80,$3.12,$2.92,$4.47,$6.26,$7.56
Dividend Per Share,$0.08,$0.04,,,,
Payout Ratio,2.27%,0.93%,,,,
EBITDA,193.9,216.3,203.2,283.2,369.6,426.0
EBITA,176.3,192.8,179.6,257.7,344.2,401.4
EBIT,169.6,186.6,175.4,253.5,341.0,398.9
EBITDAR,211.5,234.9,,,397.7,
Effective Tax Rate,24.3%,14.6%,19.4%,11.1%,8.0%,16.3%
Normalized Net Income,90.4,100.5,90.9,135.5,187.5,224.8
Interest on Long-Term Debt,,,,,0.2,
R&D Expense From Footnotes,103.7,117.4,130.8,151.5,168.3,173.8
Foreign Sales,313.9,935.0,1000.1,1160.1,1294.6,
