Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,27.77%,22.01%,18.41%,6.25%,6.25%
Total Revenues,27.77%,22.01%,18.41%,6.25%,6.25%
Cost Of Revenues,26.64%,22.05%,17.93%,11.69%,11.69%
Gross Profit,29.79%,21.94%,19.27%,(3.21%),(3.21%)
Selling General & Admin Expenses,26.03%,23.30%,19.41%,6.61%,6.61%
Depreciation & Amortization,24.81%,25.00%,32.53%,26.00%,26.00%
Total Operating Expenses,25.90%,23.49%,20.85%,8.94%,8.94%
Operating Income,38.11%,18.93%,16.08%,(28.76%),(28.76%)
Interest Expense,,,,,(70.70%)
Interest And Investment Income,387.63%,217.08%,(7.31%),,
Net Interest Expenses,387.63%,217.08%,(7.31%),,
"EBT, Excl. Unusual Items",39.02%,20.75%,15.52%,(30.92%),(30.92%)
"EBT, Incl. Unusual Items",39.02%,20.75%,15.52%,(30.92%),(30.92%)
Income Tax Expense,32.95%,(25.24%),10.32%,(36.13%),(36.13%)
Earnings From Continuing Operations,42.61%,46.06%,16.98%,(29.53%),(29.53%)
Net Income to Company,42.61%,46.06%,16.98%,(29.53%),(29.53%)
Net Income,42.61%,46.06%,16.98%,(29.53%),(29.53%)
NI to Common Incl Extra Items,42.61%,46.06%,16.98%,(29.53%),(29.53%)
NI to Common Excl. Extra Items,42.61%,46.06%,16.98%,(29.53%),(29.53%)
Revenue Per Share,26.93%,20.81%,18.28%,6.27%,6.26%
Basic EPS,41.66%,44.28%,17.01%,(29.61%),(29.52%)
Basic EPS - Continuing Ops,41.66%,44.28%,17.01%,(29.61%),(29.52%)
Basic Weighted Average Shares Outst.,0.66%,1.00%,0.11%,(0.01%),(0.01%)
Diluted EPS,41.54%,44.57%,17.29%,(29.49%),(29.49%)
Diluted EPS - Continuing Ops,41.54%,44.57%,17.29%,(29.49%),(29.49%)
Diluted Weighted Average Shares Outst.,0.78%,1.19%,(0.10%),(0.19%),(0.19%)
Normalized Basic EPS,38.33%,19.43%,15.38%,(30.89%),(30.91%)
Normalized Diluted EPS,37.45%,19.12%,15.75%,(30.91%),(30.79%)
EBITDA,35.59%,19.94%,19.08%,(17.67%),(17.67%)
EBITA,38.11%,18.93%,16.08%,(28.76%),(28.76%)
EBIT,38.11%,18.93%,16.08%,(28.76%),(28.76%)
EBITDAR,31.83%,20.36%,31.64%,(3.37%),
Effective Tax Rate,(4.38%),(38.08%),(4.49%),(7.54%),(7.55%)
Normalized Net Income,39.02%,20.75%,15.52%,(30.92%),(30.92%)
