Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,(0.16%),0.79%,4.36%,6.40%,0.00%
Total Revenues,(0.16%),0.79%,4.36%,6.40%,0.00%
Cost Of Revenues,(0.86%),2.85%,4.30%,1.88%,0.00%
Gross Profit,0.59%,(1.37%),4.42%,11.36%,0.00%
Selling General & Admin Expenses,0.92%,2.21%,3.76%,8.87%,0.00%
Depreciation & Amortization,4.15%,(1.77%),0.07%,(1.97%),0.00%
Total Operating Expenses,1.20%,1.85%,3.43%,7.95%,0.00%
Operating Income,(2.52%),(18.39%),10.89%,32.31%,0.00%
Interest Expense,(4.73%),-2.38%,(8.86%),-0.15%,0.00%
Interest And Investment Income,11.61%,21.00%,(0.02%),(3.80%),0.00%
Net Interest Expenses,-5.11%,-41.77%,(39.92%),(8.98%),0.00%
"EBT, Excl. Unusual Items",(2.40%),(17.29%),9.93%,33.29%,0.00%
"EBT, Incl. Unusual Items",(40.17%),32.06%,7.57%,(5.36%),0.00%
Income Tax Expense,,,18.86%,1.78%,0.00%
Earnings From Continuing Operations,(8.34%),4.69%,4.69%,(7.43%),0.00%
Net Income to Company,(8.34%),4.69%,4.69%,(7.43%),0.00%
Net Income,(8.34%),4.69%,4.69%,(7.43%),0.00%
NI to Common Incl Extra Items,(8.34%),4.69%,4.69%,(7.43%),0.00%
NI to Common Excl. Extra Items,(8.34%),4.69%,4.69%,(7.43%),0.00%
Revenue Per Share,(0.65%),0.09%,4.05%,6.31%,0.00%
Basic EPS,(9.33%),3.44%,5.08%,(7.79%),0.00%
Basic EPS - Continuing Ops,(9.33%),3.44%,5.08%,(7.79%),0.00%
Basic Weighted Average Shares Outst.,0.51%,0.69%,0.28%,0.08%,0.00%
Diluted EPS,(8.97%),4.23%,5.08%,(7.79%),0.00%
Diluted EPS - Continuing Ops,(8.97%),4.23%,5.08%,(7.79%),0.00%
Diluted Weighted Average Shares Outst.,0.04%,0.57%,0.16%,0.18%,0.00%
Normalized Basic EPS,(2.57%),(18.14%),9.97%,33.32%,0.00%
Normalized Diluted EPS,(2.97%),(17.42%),9.78%,32.96%,0.00%
Dividend Per Share,6.35%,5.97%,5.63%,5.33%,0.00%
Payout Ratio,17.35%,1.78%,1.73%,12.94%,0.00%
EBITDA,(0.63%),(13.98%),4.67%,21.59%,0.00%
EBITA,(1.51%),(17.29%),11.11%,29.66%,0.00%
EBIT,(2.52%),(18.39%),10.89%,32.31%,0.00%
EBITDAR,(0.94%),(12.33%),5.43%,17.20%,
Effective Tax Rate,,,10.49%,7.54%,0.00%
Normalized Net Income,(2.40%),(17.29%),9.93%,33.29%,0.00%
Interest on Long-Term Debt,4.73%,(2.38%),8.86%,(0.15%),
R&D Expense From Footnotes,3.17%,98.46%,12.40%,(8.28%),0.00%
