Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,0.21%,2.02%,0.83%,(5.71%),(5.71%)
Total Revenues,0.21%,2.02%,0.83%,(5.71%),(5.71%)
Cost Of Revenues,3.40%,17.86%,0.94%,(1.78%),(1.78%)
Gross Profit,(4.06%),(20.78%),0.59%,(14.16%),(14.16%)
Selling General & Admin Expenses,3.28%,(27.70%),2.17%,(0.73%),(0.73%)
Depreciation & Amortization,9.49%,2.89%,0.56%,(1.68%),(1.68%)
Total Operating Expenses,3.70%,(25.50%),2.01%,(0.82%),(0.82%)
Operating Income,(22.01%),(6.26%),(2.86%),(48.39%),(48.39%)
Interest Expense,(9.09%),-8.33%,-9.09%,(30.00%),(30.00%)
Interest And Investment Income,55.56%,42.86%,5.00%,(71.43%),(71.43%)
Net Interest Expenses,,350.00%,22.22%,,
Other Non Operating Income (Expenses),(25.00%),133.33%,57.14%,(63.64%),(63.64%)
"EBT, Excl. Unusual Items",(21.83%),(4.82%),(2.13%),(50.41%),(50.41%)
"EBT, Incl. Unusual Items",(42.43%),23.36%,(5.75%),(26.49%),(26.49%)
Income Tax Expense,(13.53%),(41.50%),5.23%,(5.52%),(5.52%)
Earnings From Continuing Operations,(57.23%),90.49%,(9.24%),(34.22%),(34.22%)
Net Income to Company,(57.23%),90.49%,(9.24%),(34.22%),(34.22%)
Net Income,(57.23%),90.49%,(9.24%),(34.22%),(34.22%)
NI to Common Incl Extra Items,(57.23%),90.49%,(9.24%),(34.22%),(34.22%)
NI to Common Excl. Extra Items,(57.23%),90.49%,(9.24%),(34.22%),(34.22%)
Revenue Per Share,5.55%,12.25%,7.23%,(1.73%),(1.73%)
Basic EPS,(54.99%),109.86%,(3.48%),(31.49%),(31.44%)
Basic EPS - Continuing Ops,(54.99%),109.86%,(3.48%),(31.49%),(31.44%)
Basic Weighted Average Shares Outst.,(5.07%),(9.12%),(5.97%),(4.05%),(4.05%)
Diluted EPS,(54.79%),109.91%,(3.43%),(31.56%),(31.56%)
Diluted EPS - Continuing Ops,(54.79%),109.91%,(3.43%),(31.56%),(31.56%)
Diluted Weighted Average Shares Outst.,(5.33%),(9.23%),(6.03%),(3.67%),(3.67%)
Normalized Basic EPS,(17.62%),4.78%,4.21%,(48.31%),(48.32%)
Normalized Diluted EPS,(17.37%),4.87%,4.08%,(48.46%),(48.52%)
Dividend Per Share,12.73%,11.29%,10.14%,(53.95%),(53.95%)
Payout Ratio,149.69%,(47.17%),14.35%,(32.33%),(32.34%)
EBITDA,(17.73%),(4.60%),(2.19%),(39.01%),(39.01%)
EBITA,(21.92%),(6.23%),(2.98%),(48.18%),(48.18%)
EBIT,(22.01%),(6.26%),(2.86%),(48.39%),(48.39%)
EBITDAR,(8.69%),(1.71%),15.16%,(22.88%),
Effective Tax Rate,50.22%,(52.58%),11.67%,28.54%,28.52%
Normalized Net Income,(21.83%),(4.82%),(2.13%),(50.41%),(50.41%)
Interest on Long-Term Debt,0.00%,800.00%,0.00%,(11.11%),
Foreign Sales,2.09%,1.87%,0.96%,(15.00%),
