Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2904.6,2941.3,2244.0,3063.1,2711.3,2982.6
Total Revenues,2904.6,2941.3,2244.0,3063.1,2711.3,2982.6
Cost Of Revenues,2266.1,2392.4,1851.9,2513.9,1998.2,2169.7
Gross Profit,638.4,548.9,392.2,549.2,713.2,812.9
Selling General & Admin Expenses,262.0,202.7,176.9,205.5,222.9,216.4
R&D Expenses,124.8,88.6,84.5,96.6,93.7,88.0
Total Operating Expenses,387.8,333.9,352.1,348.0,357.2,351.8
Operating Income,250.6,215.0,40.1,201.2,356.0,461.1
Interest Expense,(20.5),(25.8),(25.9),(27.1),(24.0),(20.2)
Interest And Investment Income,25.2,35.7,59.8,48.9,16.6,8.2
Net Interest Expenses,4.7,9.9,33.9,21.8,(7.5),(12.1)
Currency Exchange Gains (Loss),(14.9),(9.1),0.5,2.3,(2.3),(5.0)
Other Non Operating Income (Expenses),(7.9),23.4,(16.7),(23.1),(29.8),(15.3)
"EBT, Excl. Unusual Items",376.8,243.5,92.4,202.0,314.2,426.7
"EBT, Incl. Unusual Items",(392.9),206.4,147.8,(120.4),291.1,545.7
Income Tax Expense,23.2,372.0,3.4,(5.5),(107.3),28.4
Earnings From Continuing Operations,(416.1),(165.6),144.3,(114.9),398.4,517.3
Net Income to Company,(416.1),(165.6),144.3,(114.9),398.4,517.3
Net Income,(416.1),(165.6),144.3,(114.9),398.4,517.3
NI to Common Incl Extra Items,(416.1),(165.6),144.3,(114.9),398.4,517.3
NI to Common Excl. Extra Items,(416.1),(165.6),144.3,(114.9),398.4,517.3
Revenue Per Share,$28.24,$28.19,$21.42,$29.09,$25.61,$28.14
Basic EPS,($4.05),($1.59),$1.38,($1.09),$3.76,$4.88
Basic EPS - Continuing Ops,($4.05),($1.59),$1.38,($1.09),$3.76,$4.88
Basic Weighted Average Shares Outst.,102.9,104.3,104.7,105.3,105.9,106.0
Diluted EPS,($4.05),($1.59),$1.36,($1.09),$3.73,$4.84
Diluted EPS - Continuing Ops,($4.05),($1.59),$1.36,($1.09),$3.73,$4.84
Diluted Weighted Average Shares Outst.,102.9,104.3,106.1,105.3,106.7,106.8
Normalized Basic EPS,$2.29,$1.46,$0.55,$1.20,$1.86,$2.52
Normalized Diluted EPS,$2.29,$1.46,$0.54,$1.20,$1.84,$2.50
EBITDA,481.6,330.3,170.8,406.7,588.9,700.9
EBITA,266.8,227.2,52.9,216.3,372.0,477.2
EBIT,250.6,215.0,40.1,201.2,356.0,461.1
EBITDAR,506.1,352.4,189.7,439.6,612.9,
Effective Tax Rate,NM,180.2%,2.3%,NM,NM,5.2%
Normalized Net Income,235.5,152.2,57.7,126.2,196.4,266.7
Interest Capitalized,5.6,1.7,5.8,2.6,1.8,
R&D Expense From Footnotes,124.8,88.6,84.5,96.6,93.7,88.0
Foreign Sales,485.6,667.6,766.0,403.2,867.9,
