Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.94%,12.11%,(0.44%),0.25%,7.18%
Total Revenues,10.94%,12.11%,(0.44%),0.25%,7.18%
Cost Of Revenues,9.88%,13.42%,2.02%,1.13%,7.07%
Gross Profit,11.86%,10.98%,(2.58%),(0.56%),7.28%
Selling General & Admin Expenses,5.24%,7.64%,(4.67%),(3.21%),(0.52%)
R&D Expenses,(0.59%),6.60%,7.02%,6.86%,9.72%
Total Operating Expenses,4.39%,7.49%,(3.04%),(1.66%),1.07%
Operating Income,21.75%,14.94%,(2.09%),0.59%,13.99%
Interest Expense,-7.89%,-11.21%,-8.86%,-13.96%,-6.96%
Net Interest Expenses,-7.89%,-11.21%,-8.86%,-13.96%,-6.96%
Currency Exchange Gains (Loss),,,-33.33%,0.00%,0.00%
Other Non Operating Income (Expenses),(49.95%),,,(20.77%),
"EBT, Excl. Unusual Items",24.39%,14.39%,(1.19%),0.99%,17.11%
"EBT, Incl. Unusual Items",259.11%,18.34%,(1.19%),(7.69%),8.01%
Income Tax Expense,69.13%,(26.37%),(11.03%),(28.75%),(4.14%)
Earnings From Continuing Operations,520.57%,35.12%,0.82%,(3.90%),10.12%
Net Income to Company,520.57%,35.12%,0.82%,(3.90%),10.12%
Net Income,520.57%,35.12%,0.82%,(3.90%),10.12%
NI to Common Incl Extra Items,520.57%,35.12%,0.82%,(3.90%),10.12%
NI to Common Excl. Extra Items,520.57%,35.12%,0.82%,(3.90%),10.12%
Revenue Per Share,10.19%,12.51%,0.05%,(0.37%),6.80%
Basic EPS,526.30%,35.85%,1.23%,(4.21%),9.73%
Basic EPS - Continuing Ops,526.30%,35.85%,1.23%,(4.21%),9.73%
Basic Weighted Average Shares Outst.,0.64%,(0.33%),(0.51%),0.57%,0.36%
Diluted EPS,504.17%,35.86%,1.52%,(4.00%),10.55%
Diluted EPS - Continuing Ops,504.17%,35.86%,1.52%,(4.00%),10.55%
Diluted Weighted Average Shares Outst.,2.01%,(0.63%),(0.92%),0.22%,0.14%
Normalized Basic EPS,23.75%,14.47%,(0.43%),0.64%,16.69%
Normalized Diluted EPS,21.46%,14.90%,(0.13%),0.63%,16.95%
Dividend Per Share,9.44%,13.78%,16.96%,7.95%,8.21%
Payout Ratio,(82.34%),(18.29%),18.83%,14.34%,(0.93%)
EBITDA,18.02%,13.83%,(1.64%),1.90%,13.95%
EBITA,19.63%,14.57%,(2.04%),0.85%,13.72%
EBIT,21.75%,14.94%,(2.09%),0.59%,13.99%
Effective Tax Rate,(52.90%),(37.79%),(9.95%),(22.80%),(11.25%)
Normalized Net Income,24.39%,14.39%,(1.19%),0.99%,17.11%
R&D Expense From Footnotes,(0.59%),6.60%,7.02%,6.86%,9.72%
Foreign Sales,13.74%,15.80%,(4.99%),(4.71%),
