Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,564.0,636.0,713.0,785.4,789.0,825.8
Total Revenues,564.0,636.0,713.0,785.4,789.0,825.8
Cost Of Revenues,134.7,150.5,159.4,180.0,217.5,223.6
Gross Profit,429.3,485.5,553.6,605.4,571.6,602.2
Selling General & Admin Expenses,222.2,267.3,311.6,354.8,354.8,359.1
R&D Expenses,40.5,43.7,55.5,60.1,84.5,84.0
Total Operating Expenses,266.2,318.9,376.7,428.6,456.1,461.0
Operating Income,163.1,166.6,176.9,176.8,115.5,141.2
Interest And Investment Income,3.1,6.6,13.3,17.4,14.0,12.3
Net Interest Expenses,3.1,6.6,13.3,17.4,14.0,12.3
Currency Exchange Gains (Loss),(0.5),0.9,0.4,0.1,(0.3),(0.1)
Other Non Operating Income (Expenses),4.6,3.2,2.7,(0.6),1.4,1.9
"EBT, Excl. Unusual Items",170.3,177.4,193.2,193.6,130.5,155.4
"EBT, Incl. Unusual Items",157.3,169.9,188.6,189.9,125.9,150.6
Income Tax Expense,52.9,62.6,32.1,34.7,23.6,28.9
Earnings From Continuing Operations,104.3,107.3,156.5,155.2,102.3,121.7
Net Income to Company,104.3,107.3,156.5,155.2,102.3,121.7
Net Income,104.3,107.3,156.5,155.2,102.3,121.7
NI to Common Incl Extra Items,104.3,107.3,156.5,155.2,102.3,121.7
NI to Common Excl. Extra Items,104.3,107.3,156.5,155.2,102.3,121.7
Revenue Per Share,$5.90,$6.61,$7.28,$7.92,$8.00,$8.37
Basic EPS,$1.09,$1.12,$1.60,$1.57,$1.04,$1.23
Basic EPS - Continuing Ops,$1.09,$1.12,$1.60,$1.57,$1.04,$1.23
Basic Weighted Average Shares Outst.,95.6,96.2,97.9,99.2,98.6,98.6
Diluted EPS,$1.08,$1.10,$1.54,$1.52,$1.01,$1.20
Diluted EPS - Continuing Ops,$1.08,$1.10,$1.54,$1.52,$1.01,$1.20
Diluted Weighted Average Shares Outst.,96.4,97.9,101.3,102.0,101.0,101.0
Normalized Basic EPS,$1.11,$1.15,$1.23,$1.22,$0.83,$0.98
Normalized Diluted EPS,$1.10,$1.13,$1.19,$1.19,$0.81,$0.96
EBITDA,201.9,208.7,218.5,229.5,178.3,206.7
EBITA,166.6,174.5,186.5,190.6,132.3,159.0
EBIT,163.1,166.6,176.9,176.8,115.5,141.2
EBITDAR,203.4,,,232.7,181.9,
Effective Tax Rate,33.7%,36.8%,17.0%,18.3%,18.8%,19.2%
Normalized Net Income,106.5,110.9,120.8,121.0,81.6,97.1
R&D Expense From Footnotes,48.0,43.7,55.5,60.1,84.5,84.0
Foreign Sales,,106.1,119.1,137.7,124.6,
