Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,13.32%,10.22%,11.89%,22.47%,0.00%
Total Revenues,13.32%,10.22%,11.89%,22.47%,0.00%
Cost Of Revenues,13.64%,10.30%,11.32%,21.93%,0.00%
Gross Profit,12.60%,10.05%,13.19%,23.66%,0.00%
Selling General & Admin Expenses,11.61%,9.21%,14.78%,20.80%,0.00%
Depreciation & Amortization,16.15%,5.26%,5.42%,15.86%,0.00%
Total Operating Expenses,11.64%,10.45%,17.27%,20.48%,0.00%
Operating Income,20.08%,7.19%,(17.13%),57.11%,0.00%
Interest Expense,(5.66%),(11.57%),-15.47%,-54.51%,0.00%
Interest And Investment Income,17.69%,19.36%,49.11%,(12.22%),0.00%
Net Interest Expenses,(5.41%),(11.40%),-17.04%,-56.36%,0.00%
"EBT, Excl. Unusual Items",60.96%,(0.49%),(17.30%),289.60%,0.00%
"EBT, Incl. Unusual Items",52.30%,(15.21%),(23.20%),419.21%,0.00%
Income Tax Expense,(23.10%),15.72%,(77.22%),,0.00%
Earnings From Continuing Operations,102.01%,(22.97%),(2.83%),592.09%,0.00%
Net Income to Company,102.01%,(22.97%),(2.83%),592.09%,0.00%
Net Income,102.01%,(22.97%),(2.83%),592.09%,0.00%
NI to Common Incl Extra Items,102.01%,(22.97%),(2.83%),592.09%,0.00%
NI to Common Excl. Extra Items,102.01%,(22.97%),(2.83%),592.09%,0.00%
Revenue Per Share,13.37%,9.83%,(3.08%),5.43%,0.00%
Basic EPS,101.28%,(22.75%),(15.19%),481.11%,0.00%
Basic EPS - Continuing Ops,101.28%,(22.75%),(15.19%),481.11%,0.00%
Basic Weighted Average Shares Outst.,(0.04%),0.35%,15.44%,16.16%,0.00%
Diluted EPS,100.00%,(23.33%),(17.39%),468.42%,0.00%
Diluted EPS - Continuing Ops,100.00%,(23.33%),(17.39%),468.42%,0.00%
Diluted Weighted Average Shares Outst.,0.01%,0.31%,19.43%,20.26%,0.00%
Normalized Basic EPS,66.33%,(1.04%),(29.10%),230.26%,0.00%
Normalized Diluted EPS,66.09%,(1.14%),(31.54%),226.12%,0.00%
Payout Ratio,(99.25%),"15,166.62%",(97.56%),(98.28%),0.00%
EBITDA,18.64%,7.85%,(8.52%),39.62%,0.00%
EBITA,17.97%,(6.58%),(17.13%),57.11%,0.00%
EBIT,20.08%,7.19%,(17.13%),57.11%,0.00%
EBITDAR,21.61%,8.05%,0.75%,27.68%,
Effective Tax Rate,(49.51%),36.51%,(70.34%),,0.00%
Normalized Net Income,60.96%,(0.49%),(17.30%),289.60%,0.00%
Interest on Long-Term Debt,8.70%,18.49%,(13.54%),(58.92%),
